,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The teacher graded the papers.,The crew worked diligently on set.,[ 0.6128182  2.2859948  2.5181057 ... -2.305041  -1.7372106  2.5575502],"[-0.65376633 -1.9619137   1.039709   ... -0.71031606 -0.9060504
  1.7201372 ]"
1,He spent roughly 20 hours working on the project., The landscape is incredibly dramatic.,"[-0.44929257 -1.7664601  -0.39439    ...  0.49392653  2.286527
  1.264664  ]","[-1.2838117  -3.522618    2.2158823  ... -0.6122077  -0.07354625
  1.0323354 ]"
2,The skis glide effortlessly,They learn rapidly,"[ 2.525523    1.7427559  -1.3308908  ... -2.842857    0.36769244
  2.9286726 ]","[ 0.668503    5.449242    1.1167809  ... -0.30675426 -1.619947
  3.5791252 ]"
3,The cardinals flash red,The business model might have been successful.,[-0.3778245  1.989461   1.0657513 ... -1.0799756 -1.3225524  3.5522385],"[-0.11709088 -0.36195558  2.053554   ... -1.3413959  -1.2034869
  1.5251341 ]"
4,I have 4 dogs., He is capable of repairing the washing machine.,"[-1.2033346  -3.9497597  -0.5483903  ... -0.87026995 -1.610691
  1.5165796 ]",[2.175658   8.722374   0.06608529 ... 0.9898938  0.09035432 0.9308746 ]
5,They sound excited,The farmer has 20 sheep.,[-1.711245   3.5048313  0.9114384 ... -1.0605017 -0.2547342  2.8148499],[-2.6385968  0.7412025  1.5397022 ... -2.3867264 -2.064179   1.325087 ]
6, A long flight is anticipated.,The packing could have been tedious.,"[-0.11297182  0.0357221   2.2027903  ... -1.3958188   1.2123854
  1.4871088 ]","[ 0.17239682  1.2799639   2.6192367  ... -0.73212665  1.7217844
 -0.07701797]"
7,The landscaper mowed the lawn.,The researcher conducted a thorough study.,[ 4.114972  -0.7039682  1.306073  ... -1.7239151 -1.5660331  1.38014  ],"[ 0.3676798  -2.4193456   1.2077318  ... -0.12094603 -0.5101833
  0.45423025]"
8, The answer is perfectly correct.,The building was built by the contractor.,"[-0.8390549   3.9692943  -0.03910189 ... -0.11947584  0.6181043
  2.1416838 ]","[-2.69429    -0.10030234 -0.1051259  ... -0.7759071   0.04536715
  2.5092714 ]"
9,The seals did not gracefully balance on the ice floes.,The dragonfly elegantly captured its prey.,"[-0.22613485  2.270465   -0.40254688 ... -2.9255733   1.7045902
  1.3596107 ]","[ 1.1659055   1.36773    -0.57657754 ... -0.8782632  -1.9895753
  3.1121666 ]"
10,The swans glided elegantly,The coach motivated the team.,"[ 1.9190732  -0.06704549 -1.4139812  ... -1.8895357  -1.3593941
  2.4672434 ]","[ 2.4612522   4.7673836   0.06685301 ...  0.21790402 -1.2128242
  5.4427056 ]"
11,The witness did not testify truthfully,The researcher conducted the study.,"[ 1.530449    4.256844    0.02038319 ... -0.7117446  -0.6082634
  1.7526947 ]","[ 1.5153557  -0.73294926  1.4355627  ... -0.1706292  -0.9082608
  1.6170815 ]"
12,He celebrated the company's success.,The environment is clean.,[-0.4425036  2.170946  -1.3996726 ... -1.186146  -1.2586082  4.3516974],[ 2.8084204  3.3763251  4.147307  ... -1.6551771 -2.7365723  2.5192008]
13,We oscillated regularly,She decelerates smoothly,"[ 0.3239458  -0.9668603   0.8424993  ... -0.34672707 -0.65410614
  2.4783082 ]",[ 2.0018249  4.030223  -0.1108803 ... -2.77113   -1.6750848  1.9222419]
14,Monkeys swung playfully,The threat could have been neutralized.,"[ 1.1336582  -1.8881623   0.09730606 ... -1.3049046   0.5984685
  2.0741582 ]","[-0.3851728   8.222495    1.2144576  ... -0.12970138 -1.6562322
  1.5032079 ]"
15,The impact was far-reaching.,The bears hibernated peacefully.,[-1.2262886  4.3600316  0.6895128 ...  0.5234955  0.2088875  0.7054617],"[ 1.5918909   0.27485222 -0.73532915 ... -2.2898614   1.7357827
  2.8406885 ]"
16,The innovation is groundbreaking.,A black hole warped space-time,"[ 0.6302625   3.6251864   0.91397464 ... -1.1900114  -1.5769897
  0.41028038]","[-2.6157172  -0.5832359   0.9378403  ... -2.5375197  -5.3242126
  0.16400218]"
17,A conversation was started,The cameraman shoots footage,"[ 1.1233382  -3.3533094   1.3981881  ... -0.95047927 -2.103016
  2.824644  ]","[-0.7740288  -0.00380392  0.94361097 ... -1.1669842   0.1372354
  2.5263531 ]"
18,The film was edited by the editor., The aroma was very pleasant.,"[ 0.21359968  1.9253254   1.4432955  ...  0.9359553  -0.28212363
  3.186241  ]","[-0.89298445  2.649895    1.1538055  ...  0.62676376 -1.1814685
  0.7113588 ]"
19,The damage was minimal.,A forgiveness was granted,"[ 0.6352803   3.87323     3.284677   ... -0.57676125 -1.3858842
  1.5126219 ]","[ 1.7966757   6.425853    0.94691783 ... -0.62875473  0.7762544
  2.580985  ]"
20,The company produced over 40000 products.,The community was friendly.,[-1.9041662 -0.5775543  1.2731915 ... -1.9597338 -1.5080886  1.6935998],"[ 2.7419047  -0.75336343  3.452786   ...  0.02805262 -1.5287373
  1.5948844 ]"
21,The article was written by the journalist.,The transformation was successful.,"[-0.9608037   1.2838842   0.79984254 ... -0.5140463  -1.05697
  2.2826185 ]","[ 0.22329798  2.8286312   0.14652503 ... -1.5469526  -0.940258
  1.8039181 ]"
22, We are expecting guests tonight.,A community thrived,"[-1.730103    1.6644678   0.96662766 ... -2.114747   -1.3815999
  2.66156   ]","[ 2.456202   -1.2869091   0.3313164  ... -0.86819506 -1.6720405
  2.4704156 ]"
23,He read at least 15 chapters.,The cheese was sharp.,"[-2.201802   -0.9469949   0.42760843 ...  0.02134121  0.6584749
  4.413421  ]","[ 0.4389859   2.7010083   4.7260385  ...  0.32619557 -1.7322102
  0.85719717]"
24,The reindeer have thick coats,She inspired others.,"[ 0.80463934  2.4314177   0.3788351  ... -4.8288865  -2.084322
 -0.92112964]","[-1.5403942   6.694996    0.20206772 ...  0.1054037  -1.4856825
  2.8871264 ]"
25,Their time was volunteered by the parents.,Giraffes reached high leaves,[ 2.1066918  1.4084911  3.2099411 ... -0.939116  -2.1798105  1.1304826],"[-1.5964192  -1.4477298   1.4833616  ... -0.93189925 -0.73932487
  2.342994  ]"
