,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The cat sat on the mat,A cat sat on a mat,"[ 4.277947    1.7252339   1.2556672  ... -0.24437411 -3.2659683
  3.7708728 ]","[ 2.0843093   0.88622063  1.1430537  ... -0.76606685 -1.6036032
  2.6744754 ]"
1,The bird flew away,A bird flew away,[ 0.4913262  2.987215   2.0683012 ... -1.9635042  0.4209968  3.4458938],"[-0.20571822  2.447084    2.3768153  ... -1.9388744   0.14829206
  3.9119556 ]"
2,The sun is shining,A sun is shining,"[-0.27021903  4.478322    2.160019   ...  1.2012905  -5.708357
  2.2563782 ]","[-0.53902435  4.658928    2.0893433  ...  1.3071039  -4.9191256
  3.1533315 ]"
3,The children are playing,Children are playing,"[ 1.2399703e-03  1.2783390e+00  8.3091843e-01 ... -1.6498727e+00
 -4.9152403e+00  2.7591734e+00]",[-1.5143563  3.8452806 -0.3105007 ... -2.9905462 -4.1991196  3.1530244]
4,The car is red,A car is red,"[-0.63423073  5.193927    0.3474713  ... -0.9382989  -4.097503
  3.0574806 ]","[ 0.6365479   5.469887    0.53713685 ... -1.8941152  -5.156387
  3.4982293 ]"
5,The flowers are blooming,Flowers are blooming,"[ 2.276526    2.367939   -0.06360984 ...  0.34149158 -3.8322792
  0.00649299]","[ 2.7159915   1.4764484  -0.6320717  ...  0.13289095 -2.9963474
  0.40632924]"
6,The book is interesting,A book is interesting,"[-1.3304169  -0.363012    1.7226214  ... -0.72440696  1.2949893
  2.4475577 ]",[-1.3017519  1.3047235  2.4394872 ... -2.1703398  2.574504   1.6282375]
7,The movie was exciting,A movie was exciting,"[-0.24153215  1.4759514   1.2975663  ... -0.33641607 -0.03800181
  3.639229  ]","[-0.86935353  0.34281892  1.9894718  ... -2.420259   -1.84165
  3.832312  ]"
8,The food was delicious,Food was delicious,"[-0.122569    2.2764163   0.35717314 ... -0.2951255  -0.8577471
  1.3886851 ]","[-0.19035523  2.0472174   1.0510286  ... -0.6132584  -1.0420089
  1.8805732 ]"
9,The music is loud,Music is loud,"[-1.175152    1.84485    -0.40547857 ... -0.9383563  -0.48930988
  0.6260273 ]","[-1.2500008   4.6542735   1.3664633  ... -1.7125162  -0.46705613
  1.0417913 ]"
10,The dog barked loudly,A dog barked loudly,"[-0.5277467   2.9663112   0.34919304 ... -2.6780465  -1.0697912
  0.31957182]","[-0.64189047  2.9936066   0.06411906 ... -1.627531   -0.7214608
  0.20673506]"
11,The rain is falling,Rain is falling,"[ 8.8889831e-01  3.4779248e+00  9.5252067e-01 ... -6.0279071e-03
 -4.8169336e+00  4.6734512e-04]","[ 0.26209852  4.3102093   0.6398785  ... -1.6475204  -5.0422707
  1.8628588 ]"
12,The teacher explained the lesson,A teacher explained a lesson,"[ 1.8062865   0.66611195  1.438562   ... -1.548831   -3.0265892
  2.617392  ]","[ 0.26791278  0.51484543  1.0946016  ... -1.6004654  -3.072942
  2.2715285 ]"
13,The student answered the question,A student answered a question,"[-1.4037781   3.150928   -0.97032535 ... -0.48729983 -2.798378
  2.6635747 ]","[-2.1499755   1.4772547   0.11117417 ... -0.97480077 -2.51053
  1.8053219 ]"
14,The answer is correct,An answer is correct,"[-0.17401463  3.0653014   0.39318007 ... -0.5596417  -0.6221593
  3.200266  ]","[ 0.38676995  4.4758873   0.65236247 ...  0.03990653 -0.19688064
  2.014419  ]"
15,The problem is difficult,A problem is difficult,"[ 0.78510875  0.447376    1.6060854  ... -0.5342748  -1.4207516
  2.0075402 ]","[-0.3227021   0.65297556  2.131861   ... -1.3389254  -0.71047854
  2.814856  ]"
16,The solution is simple,A solution is simple,"[ 2.2984214   4.6908846  -0.10458387 ...  0.569147   -0.4318233
  1.3476912 ]",[ 2.4080348  8.116018   0.5224888 ... -0.2854643 -2.5924034  0.8550636]
17,The solution is elegant,An elegant solution exists.,"[ 1.9768568   3.8140728  -1.2258087  ...  0.48954058 -0.8651191
  1.3419818 ]","[ 0.841967    1.2518445   0.3681795  ... -0.93055457  0.64794445
  2.346092  ]"
18,The assignment is due tomorrow,An assignment is due tomorrow,"[-0.82625467 -0.47808772  1.3605281  ...  0.08081403 -3.193668
  2.337372  ]","[-0.45714265  0.21807751  2.1391323  ... -0.7504179  -2.3546507
  2.8961139 ]"
19,The report is long,A report is long,"[-0.6623933  -1.8940369   0.39717847 ... -1.6123004  -0.09475736
  2.3542578 ]",[-1.2335165 -0.5380429  0.7010738 ... -1.7740159 -0.2728911  2.8323228]
20,The meeting is at 3 PM,A meeting is at 3 PM,"[ 0.49607918 -4.769544    0.07091173 ... -0.02598906 -3.1470835
  2.1720018 ]","[-0.19161157 -3.674584   -0.02378857 ... -0.80321056 -1.4407866
  2.5195825 ]"
21,The presentation was successful,A presentation was successful,"[-0.04422075  0.24708988 -0.50177145 ... -1.7364902  -0.15434551
  2.6032848 ]","[-0.8812762  -0.32709455 -0.7677069  ... -3.0570793  -0.78245866
  3.1304781 ]"
22,The project is complete,A project is complete,"[ 0.40140548  0.15088418  0.9890419  ... -0.03130952 -0.94488996
  1.269452  ]","[ 1.0345926  -0.43017766  1.3102462  ... -0.14499494 -1.1931845
  0.42992744]"
23,The team celebrated,A team celebrated,"[ 1.5107728  -0.17841785 -0.29154477 ... -0.69665784 -2.3591092
  5.0144677 ]","[ 1.0337639   0.04880202  0.08119927 ... -1.7521237  -2.0153348
  4.742447  ]"
24,The party was fun,A party was fun,"[ 2.4393568  -2.6184137   0.61684525 ... -0.87371325 -1.0365698
  2.0630307 ]","[ 2.337782   -4.8150444   0.63204855 ... -2.874605   -2.3859372
  1.4680591 ]"
25,The cake was delicious,Cake was delicious,"[-0.39025187  1.2459483   1.1550312  ... -1.7021282   0.64307106
  2.662932  ]","[-0.06116031  0.93107826  0.38030377 ... -1.3017675   1.6641407
  2.7105725 ]"
26,The coffee is hot,Coffee is hot,[-2.9248493  3.6439862  4.478318  ... -1.4189881 -1.0231147  3.7103467],"[-0.05116427  4.400108    3.4473226  ... -1.7237449   0.39583313
  4.530127  ]"
27,The weather is nice,Weather is nice,[ 1.3796654 -0.6124972  0.7581149 ... -2.06953   -2.3282106  2.101903 ],[ 3.0184402 -1.2661344  1.8855675 ... -1.7581087 -2.1565006  2.4417064]
28,The sky is blue,A sky is blue.,"[-0.0620603  -0.31644034  3.0495758  ... -1.443859   -5.3026886
  1.269503  ]","[ 0.09369252  0.6491337   4.586259   ... -0.94395846 -4.828722
  2.1231623 ]"
29,The grass is green,Grass is green.,[ 1.1746691  0.895833   3.142332  ... -1.5303468 -6.1748867  3.9157438],[ 1.3932993  2.341643   4.34645   ... -1.2355301 -5.004313   3.5301826]
30,The tree is tall,A tree is tall,[-0.6137872  1.4070559  1.1775856 ... -1.7536047 -3.3973413  2.2938364],"[-0.82651705  2.1972444   1.474841   ... -3.815562   -3.6324902
  2.1578474 ]"
31,The house is big,A house is big,"[-0.08763516 -1.9439665   1.7549001  ... -1.2949967  -3.3935657
  2.711863  ]",[-0.803231  -0.6602699  2.2447877 ... -2.5921144 -2.8873253  2.4663544]
32,The car is fast,A car is fast,[-0.5684436  5.243538   0.748796  ... -0.0516161 -2.609274   3.033259 ],"[ 0.80921215  5.288204    1.1155668  ... -0.68318725 -3.3232536
  3.5170429 ]"
33,The train is late,A train is late,"[ 0.07855517  0.5475089   1.6885617  ... -1.0958285  -4.265414
  2.33086   ]","[ 1.3055637  -0.15517008  2.219835   ... -1.1113839  -6.610469
  2.3007874 ]"
