,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The dog chased the ball.,The dog might have chased the ball.,[ 3.143757   4.759751  -0.6153541 ... -3.6069238 -2.0013576  3.6279256],"[ 1.1577021   5.1994133  -0.24713975 ... -2.0249612  -1.5180461
  2.284933  ]"
1,The sun is shining.,The sun may be shining.,"[-0.07877648  4.362638    2.565195   ...  1.1244525  -4.479119
  2.0413625 ]","[-0.53412294  3.0189164   1.9288532  ...  1.7349697  -5.6810455
  1.8594961 ]"
2,The car is red.,The car could be red.,"[ 0.28685427  5.970041    1.2155411  ... -0.09262748 -4.372482
  3.560587  ]","[-0.40431753  4.473604    0.38800308 ... -0.6672345  -3.1712506
  3.8150074 ]"
3,She ate the cake.,She may have eaten the cake.,"[-0.23429036  3.049604    3.1192439  ... -0.3430104  -0.41594106
  3.703481  ]",[-1.4898202  4.28708    2.594878  ...  0.9318105 -1.969739   2.3535712]
4,He went to the store.,He might have gone to the store.,[1.6473628  2.137838   2.9991753  ... 0.19642757 3.491003   2.8868458 ],"[-0.86644495  2.996344    2.9272184  ...  0.3597886   1.5077459
  2.214681  ]"
5,The birds are singing.,The birds might be singing.,"[ 0.9970524   3.178748    0.21231589 ... -2.0535789  -2.1826713
  1.2867409 ]",[-0.1939338  2.6910522  0.5488516 ... -1.0976834 -2.0860107  1.4961971]
6,It is raining.,It may be raining.,"[-0.93685234  3.8409228   3.2777472  ...  0.10208857 -2.148337
  0.91911757]",[-2.4769053  1.7448988  1.4433147 ... -0.0981719 -3.7848866  1.6182945]
7,The flowers are blooming.,The flowers might be blooming.,"[ 2.6104424   2.4211981   0.4407722  ...  0.49887288 -3.5450563
  0.5603086 ]","[ 0.91138595  1.6460563   0.2450747  ...  1.353616   -3.7831442
  0.63682175]"
8,The train is late.,The train could be late.,"[-0.52640635  1.2571596   1.9418958  ... -0.57983893 -3.987908
  2.544268  ]","[ 0.13999236  0.9149561   1.8007911  ... -0.4958597  -3.0052538
  2.700265  ]"
9,The book is interesting.,The book might be interesting.,[-1.8380487  0.5600069  2.5707383 ... -0.3660286  1.3608935  3.2497413],"[-2.9582508  -0.52700585  2.4337013  ... -0.3698311   0.44327736
  3.512268  ]"
10,The movie is good.,The movie could be good.,"[-0.04500313  1.6352508   2.067744   ... -0.5981158   0.14578883
  4.357785  ]",[-0.7401433  1.4835907  1.8715898 ... -1.0404463  1.2607068  3.5683844]
11,He finished the project.,He might have finished the project.,[ 0.2799669  2.7610924  1.4764808 ... -0.6538929  0.5576739  4.803182 ],"[-1.3016998   2.605084    1.4775544  ... -0.21811059 -0.3619733
  3.6051567 ]"
12,She passed the exam.,She may have passed the exam.,[2.1890514  6.975749   0.83886516 ... 0.64024466 0.19309862 3.9025123 ],"[-0.65101767  4.6739745   1.6060556  ...  1.5630229  -2.2520223
  3.0448308 ]"
13,They won the game.,They might have won the game.,"[ 3.4930115   4.689599   -1.5928632  ...  0.15696797 -0.8154065
  5.5168996 ]","[-0.0489147   2.8880327  -0.9712309  ...  0.53662175 -2.7713256
  3.874719  ]"
14,The food is delicious.,The food may be delicious.,[-0.4161242  3.7570052  1.954546  ...  0.5394144 -1.7441746  2.3526871],[-1.5874405  3.2517166  1.4776025 ...  0.8932338 -3.0561752  1.8162719]
15,The music is loud.,The music could be loud.,"[-1.7456096   2.170508    0.74586743 ... -0.18988094 -0.6464327
  1.5341085 ]","[-0.95966005  2.1564932   0.8670493  ... -0.8409999   0.69221896
  0.7664661 ]"
16,He is happy.,He might be happy.,"[ 1.5615584   5.4952784   3.952877   ... -0.29024777 -0.4747929
  4.385143  ]","[-0.0812664   4.570829    2.431437   ... -0.2598176   0.44487053
  3.319825  ]"
17,She is sad.,She could be sad.,"[-0.3109946   3.2267      3.8822348  ... -0.63739383 -4.09984
  5.383171  ]","[ 0.57259464  3.5569243   3.1834514  ... -0.539174   -0.8066179
  4.170394  ]"
18,The sky is blue.,The sky might be blue.,"[ 0.20177583  0.88257074  3.4854786  ... -0.45430952 -4.9222727
  1.3614824 ]","[-0.77817386 -0.233128    2.2931652  ... -0.65717196 -6.124607
  0.09644058]"
19,The cat is sleeping.,The cat may be sleeping.,[ 4.372016   3.1576457  2.7918968 ...  1.3545465 -3.6373725  4.6732736],"[ 3.0111272   4.212672    3.1227095  ...  0.90662503 -3.8476107
  4.082766  ]"
20,The children are playing.,The children might be playing.,[-0.2115993  1.6497879  1.2542475 ... -1.4647968 -5.2084417  3.3922162],"[-0.42874554  2.730691    1.1687568  ... -0.6119466  -4.0582385
  2.9893293 ]"
21,The leaves are falling.,The leaves may be falling.,"[ 1.9313781  -2.1899345  -0.86831903 ... -1.5393941  -3.3849602
  0.03665719]","[ 1.2432044  -2.510852   -0.9874781  ... -1.4591337  -4.776176
 -0.01455466]"
22,The snow is melting.,The snow might be melting.,"[ 1.3436841  -0.7098335  -1.1155832  ... -3.076247   -1.4505026
 -0.79712594]","[ 0.48289216 -0.9286364  -1.3539743  ... -2.2751186  -2.3261125
  0.07751334]"
23,The river is flowing.,The river could be flowing.,"[ 1.1160661   3.0325794   2.0600479  ... -0.33227378 -3.284558
  0.7641581 ]","[ 1.378459    2.897461    1.7282943  ...  0.36090532 -2.3039625
  1.1479644 ]"
24,The wind is blowing.,The wind might be blowing.,"[ 2.1674688   4.110174    0.6922556  ...  0.65258193 -1.2462118
 -0.91514426]","[ 2.0337758   3.7294528   0.20329888 ...  1.3597254  -2.7655766
 -0.07714548]"
25,The stars are shining.,The stars may be shining.,"[-0.07228762  1.0859648   0.5872411  ... -0.26892477 -3.6217377
  1.136112  ]","[-0.58973944 -0.2790405   0.21458052 ...  0.7479973  -4.1624455
  0.79088515]"
26,The moon is full.,The moon might be full.,[-1.3332987 -0.0867759  3.199189  ... -2.4437714 -4.1757255  2.164472 ],"[-1.9753605  -0.43918335  2.5659869  ... -2.6539886  -4.151138
  1.9430157 ]"
27,The earth is round.,The earth is believed to be round.,[-2.4095407  3.8935769  3.157781  ... -2.7678843 -2.953036   5.1892996],[-3.0059204  2.9515476  1.7779354 ... -3.0288825 -3.2987432  5.018129 ]
28,The water is cold.,The water might be cold.,"[ 0.32455876  4.3163905   0.88400537 ... -0.53324986 -4.422895
  3.0547361 ]","[-0.6071371   3.0603626   0.91008306 ... -0.25464168 -4.641252
  2.5513256 ]"
29,The sand is hot.,The sand could be hot.,[-0.9392749  3.5831323  4.722539  ... -1.9409271 -1.2560982  2.7883143],"[-0.36497143  3.7098453   4.6334085  ... -2.0183275  -0.2142735
  2.7528002 ]"
30,The air is fresh.,The air may be fresh.,[ 2.8353066  3.0864463  2.135924  ... -0.3106906 -4.146624   1.3518871],[ 1.9256821  3.209452   1.521156  ... -0.2860982 -5.4857235  1.4496413]
31,The grass is green.,The grass might be green.,[ 2.264069   1.8800681  3.825795  ... -1.2114297 -5.857181   3.8399749],[ 0.7354424  1.1250768  3.8911905 ... -0.6318626 -6.4201393  3.7332504]
32,The trees are tall.,The trees could be tall.,"[-0.79724205  1.2393837   0.35175014 ... -1.4158674  -4.706196
  1.284655  ]","[-0.98083687  1.0996785   0.4474347  ... -1.523849   -1.32484
  1.4860262 ]"
33,The mountains are high.,The mountains might be high.,"[ 0.5450655   2.828177    0.8582546  ... -0.02565217 -1.9086664
  2.3556907 ]","[-0.8390929   2.1291144   0.7495658  ... -0.22830154 -2.6185179
  1.7688652 ]"
34,The ocean is deep.,The ocean may be deep.,"[-1.5416276   4.704095    4.4208217  ... -0.01256254 -3.5572
  1.0001234 ]","[-1.3629345   4.58576     2.998521   ... -0.45933518 -3.945303
  0.36787343]"
35,The clouds are white.,The clouds might be white.,"[ 1.6020082   1.7603343   0.4444124  ... -0.7133087  -4.993129
  0.74404764]","[ 0.6597498   0.2956212   0.03163986 ... -0.7220721  -5.217697
  0.5517535 ]"
36,The sun is setting.,The sun may be setting.,[-0.9563589  2.8397229  2.7038608 ...  2.371984  -3.2721493  2.0936425],[-0.7025984  2.0345728  2.4128668 ...  2.438382  -4.54674    1.4582105]
37,The birds are flying.,The birds might be flying.,"[ 1.2383049   2.6938937   0.71351135 ... -1.712546   -1.0491922
  2.2640452 ]","[ 0.66422534  1.9882609   1.1082456  ... -0.8731634  -1.245516
  2.3179963 ]"
38,The fish are swimming.,The fish could be swimming.,[-0.5230594  3.4014783  1.5726973 ...  0.7698845 -2.2826097  2.896473 ],"[-0.07798407  3.4898198   2.212024   ...  0.7193456  -0.671947
  3.431206  ]"
39,The bees are buzzing.,The bees might be buzzing.,"[ 1.9674574  -0.0950439  -0.08989905 ... -2.2519152  -1.1786152
 -0.8459617 ]","[ 1.534918    0.3007524   0.28932843 ... -1.8379968  -1.8273793
 -0.71812993]"
40,The ants are crawling.,The ants may be crawling.,[ 6.1768613  1.3581632  2.293     ... -1.0484362 -2.0198987  1.1366544],[ 5.5457606  1.4772772  2.6725864 ... -1.7360324 -2.6400387  0.5573359]
41,The spiders are spinning webs.,The spiders might be spinning webs.,"[ 2.6034620e+00  2.1430969e-02  7.6393610e-01 ...  2.6224453e-03
 -4.4461265e+00  1.8581840e+00]","[ 1.9402373   0.7004333   1.1142226  ...  0.14517018 -4.315585
  2.0829775 ]"
42,The worms are wriggling.,The worms could be wriggling.,"[ 1.0216553   1.355203    1.3275101  ...  0.01923234 -2.6129794
  0.5454585 ]","[ 1.5415789   2.2456586   1.6054035  ...  0.09001482 -1.2664037
  0.7941162 ]"
43,The butterflies are fluttering.,The butterflies might be fluttering.,[ 1.7722054 -1.2921307 -1.5416316 ... -0.6296442 -2.7914429  1.4497939],[ 1.0202662 -1.7406766 -1.9164511 ... -0.3203044 -2.6344187  1.2552172]
44,The flowers are fragrant.,The flowers may be fragrant.,"[ 2.7819192   5.2088656  -0.9861092  ...  0.08808583 -4.256329
  0.5542224 ]","[ 0.9101121   4.4892035  -1.7401981  ...  0.73278    -4.799755
  0.84341717]"
45,The fruit is ripe.,The fruit might be ripe.,"[ 0.39764032  4.7881866   3.9204876  ...  0.03590303 -0.53312224
  0.07548507]","[-0.46193966  4.064137    3.5249407  ...  0.46642935 -2.028191
  0.18367249]"
46,The vegetables are fresh.,The vegetables could be fresh.,[ 1.0189867  4.8608947  2.3718688 ...  1.3990021 -3.9774482  1.9480212],[ 0.6080817  3.9058516  1.4083306 ...  0.8946955 -2.4220076  2.0138416]
47,The bread is baked.,The bread might be baked.,"[-0.8340418   3.2945855   2.8721836  ... -0.30666515 -1.2369174
  3.2031662 ]",[-1.3943528  3.1065729  2.701624  ...  0.2298947 -1.7582644  2.9764264]
48,The cake is sweet.,The cake may be sweet.,"[ 1.2889982   4.022065    4.19435    ... -0.32002792 -0.5895506
  3.1198583 ]","[-0.1323507   2.3445652   2.9137611  ...  0.19337375 -1.7852407
  2.763562  ]"
49,The cookies are crunchy.,The cookies might be crunchy.,[-0.335542   4.080253   1.3030344 ... -0.9244254 -0.523959   1.2684639],"[-0.92133814  3.099212    1.8205786  ... -0.58444864 -1.4217229
  1.3867494 ]"
50,The ice cream is cold.,The ice cream could be cold.,"[ 0.71659213  3.18103     3.0835292  ... -1.6258274  -0.7328827
  0.79160494]","[ 1.0064853   3.2088857   3.21336    ... -1.7532151  -0.00455243
  1.5151602 ]"
51,The milk is fresh.,The milk might be fresh.,"[ 0.17215545  4.2671905   4.8374777  ...  0.0593668  -3.2473857
  2.0289996 ]","[-0.7516122   3.496432    4.513489   ...  0.28967586 -4.505538
  2.298824  ]"
52,The cheese is sharp.,The cheese may be sharp.,"[ 0.49629202  3.4178112   4.997822   ...  0.22327128 -2.602097
  1.2398922 ]","[-0.06107141  2.9395683   4.6727853  ...  0.1469402  -4.162309
  0.8786945 ]"
53,The coffee is hot.,The coffee might be hot.,[-2.5244706  4.6199145  5.494426  ... -1.1975194 -0.3823878  4.2504725],[-3.3072245  3.2451828  4.7093377 ... -1.1449002 -1.5786256  3.6318722]
54,The tea is strong.,The tea could be strong.,"[-2.3430107   4.071908    4.166759   ... -0.10534402 -1.2515656
  5.0189924 ]",[-1.1456074  3.9785016  4.0924535 ... -0.9590152  0.2870719  4.6401505]
55,The juice is sweet.,The juice might be sweet.,[-0.817764   6.524246   4.4754653 ...  2.3806717 -3.0041401  1.0450054],[-2.0894673  4.866549   3.5995255 ...  2.905349  -3.7472389  1.1261126]
56,The soda is fizzy.,The soda may be fizzy.,[-0.3878267  3.9735794  3.9986687 ...  1.6427995 -0.927679   2.852396 ],[-1.630999   3.7212682  3.378901  ...  1.207347  -2.0724866  3.1020133]
57,The water is clear.,The water might be clear.,"[ 1.197258    2.6393409   2.6631675  ... -0.84371436 -4.4004383
  2.5751426 ]",[ 0.1693294  2.1100218  1.9693985 ... -0.0512108 -5.6472054  2.4389288]
58,The air is clean.,The air could be clean.,[ 3.0918388  4.4319754  3.0636106 ... -0.9308506 -4.9252024  1.6874135],[ 2.1286466  3.8107147  2.2099125 ... -0.581122  -3.306771   1.382997 ]
59,The sky is clear.,The sky might be clear.,"[ 0.72254235  0.12966962  4.323163   ... -1.7073386  -4.379657
  1.5131068 ]","[ 0.20058608 -1.6121839   2.5345552  ... -1.191629   -5.699199
  0.45259735]"
60,He is a doctor.,He might be a doctor.,[ 1.5098242  8.028789   2.7481022 ...  1.4743804 -0.8942596  3.7439957],"[ 0.04986298  6.2495213   2.1701393  ...  1.1288524  -0.25520143
  2.9294212 ]"
61,She is a teacher.,She could be a teacher.,"[ 0.57347107  5.3586555   3.9688652  ...  1.1676562  -4.3835645
  4.645876  ]",[ 1.4100422  4.674978   2.9170473 ...  0.6613598 -1.7039547  3.927517 ]
62,They are students.,They might be students.,[-2.343619   3.7049472  2.692993  ...  0.7506826 -4.7084045  3.3005662],[-2.76338    2.2261512  1.6498463 ...  0.5212127 -4.3392034  2.2635093]
63,It is a car.,It could be a car.,"[-0.86402607  1.9041398   0.12666354 ...  0.1657776  -1.2085668
  1.4553264 ]","[-1.3258383   1.2352235   0.47256577 ... -0.546736    0.5162162
  2.5282147 ]"
64,This is a house.,This may be a house.,[-1.5503348 -2.4953694  0.778534  ... -0.6358851 -1.7917435  2.252933 ],"[-1.9648209  -4.755297    0.56986153 ... -1.749601   -1.7440494
  2.3680916 ]"
65,That is a tree.,That might be a tree.,"[-1.0632861   1.3423618   0.4788313  ... -0.42740098 -0.29478705
  1.3527806 ]","[-2.5341423   0.23089413  0.7562755  ... -1.2395551  -0.20096529
  2.1806858 ]"
66,The building is tall.,The building may be tall.,[-1.2867982 -1.3130724  2.154486  ...  0.5122792 -4.281096   2.8823895],"[-2.1780384  -1.9823388   2.1370862  ...  0.46917737 -4.8597684
  2.23397   ]"
67,The road is long.,The road might be long.,"[-0.519344    0.74957734  2.960054   ...  0.64731693 -2.376938
  2.2104926 ]","[-0.14381258  1.3096154   2.2706044  ...  0.60671574 -3.3497164
  1.7584648 ]"
68,The river is wide.,The river could be wide.,"[-0.20588243  2.3094795   2.4081593  ... -0.90411365 -2.5490088
  1.3333031 ]","[ 0.03245465  2.364273    1.3726097  ... -0.20041363 -1.627292
  1.1108333 ]"
69,The lake is deep.,The lake might be deep.,"[-0.47324538 -0.51831985  2.2153492  ... -0.7874478  -3.0618076
  3.3868217 ]","[-1.4761578  -0.26055333  1.439613   ... -0.18024087 -3.7504318
  2.8041422 ]"
70,The mountain is high.,The mountain may be high.,[ 1.0171196  2.9991257  2.9101346 ...  1.2574946 -2.139548   2.71046  ],"[ 0.15249951  2.538213    2.3670542  ...  0.7819724  -3.4990323
  1.8732991 ]"
71,The field is green.,The field might be green.,"[ 0.96520615  1.4339345   2.7534626  ... -0.262181   -4.1076975
  5.161714  ]","[ 0.35654464 -0.119362    2.7898388  ...  0.1431358  -3.883168
  4.0641403 ]"
72,The forest is dark.,The forest could be dark.,"[-0.54028976  0.29683116  2.201187   ... -1.3958863  -0.48189393
  1.2852509 ]","[-0.2390459   1.1726121   1.8322309  ... -1.3492433   0.28017053
  0.4569356 ]"
73,The desert is hot.,The desert might be hot.,"[-0.04914129  3.4722538   3.3097816  ... -0.2543431  -1.4955995
  3.394322  ]","[-0.3670118   1.6388162   2.3742645  ... -0.4533476  -0.72262764
  3.632909  ]"
74,The ocean is blue.,The ocean may be blue.,"[-0.01559722  4.40759     3.6563087  ...  0.18231979 -4.1947446
  1.342974  ]","[-0.75762004  4.0518613   2.7965508  ... -0.5557926  -4.4742694
  0.4054829 ]"
75,The beach is sandy.,The beach might be sandy.,"[ 2.2171717   0.6002709   4.4177246  ... -0.07025361 -0.97782785
  2.8059878 ]","[ 0.5897406  -0.45068756  3.7253914  ...  0.12685455 -0.94160956
  2.5826633 ]"
76,The city is big.,The city could be big.,"[-0.5480386   0.5657291   3.4023895  ... -0.03442845 -4.0392256
  2.3204546 ]","[-0.9047384   1.3331435   2.4895847  ...  0.35636595 -2.5121815
  1.8652592 ]"
77,The town is small.,The town might be small.,[ 1.9475691 -4.0397496  4.0059047 ...  1.3075151 -4.3782816  2.5786242],[ 0.7072482 -2.8234758  2.8204257 ...  1.3963064 -4.8370185  2.4107468]
78,The village is quiet.,The village may be quiet.,"[ 1.5870718  -3.5972543   1.3255128  ...  0.99284154 -0.7866045
  2.6974168 ]","[-0.06067514 -3.9493973   0.7794912  ...  1.2228051  -2.7326639
  2.2325919 ]"
79,The farm is peaceful.,The farm might be peaceful.,"[ 2.676365   -1.6519636   0.9812602  ... -0.7344425  -0.11934171
  2.5530236 ]","[ 0.96684283 -1.3727936   1.4586252  ... -0.50027394 -1.6070915
  1.9193536 ]"
80,The park is beautiful.,The park could be beautiful.,[ 3.9946208 -4.2123494  1.4156996 ... -1.261131  -2.6831536  2.3964906],"[ 2.4050946  -2.8008955   1.3154742  ... -0.80104834 -1.4941645
  1.8247623 ]"
81,The garden is lovely.,The garden might be lovely.,[ 1.946405  -3.3662372  0.697962  ... -0.4320972 -3.7337928  3.9567757],"[ 0.68171996 -3.1215303   0.9833164  ...  0.01864558 -3.5437791
  3.230664  ]"
82,The weather is nice.,The weather may be nice.,"[ 1.2585251   0.03454728  1.46538    ... -1.7104346  -1.9844004
  2.2622824 ]","[ 0.21884806 -1.1304257   0.35029998 ... -1.3761568  -3.176418
  2.021788  ]"
83,The day is sunny.,The day might be sunny.,"[ 0.71469    -0.8543533   2.4597766  ...  0.33569133 -1.4392172
  1.5997165 ]",[ 0.8667793 -2.8957102  1.0773062 ...  1.1651573 -2.4262109  1.6752363]
84,The night is dark.,The night could be dark.,"[-0.7675549  -0.531018    2.1416466  ...  0.04086213 -2.1704965
 -0.3289333 ]","[ 0.50951695 -0.559184    0.8934264  ...  0.2749338  -1.5489091
 -0.15271413]"
85,The morning is bright.,The morning might be bright.,"[ 0.36459738 -1.2441279   2.3263936  ...  0.9964715  -1.169214
  0.7797548 ]","[-0.18711169 -2.6802328   1.0885097  ...  1.1097369  -1.7769197
  0.88799316]"
86,The evening is calm.,The evening may be calm.,[ 1.4218204 -3.4402008  2.0086713 ...  1.4207388 -0.4218908  0.8879412],[ 1.1306909 -3.2503426  0.8540452 ...  1.8628706 -2.2549984  1.3597976]
87,The meeting is at 2 PM.,The meeting might be at 2 PM.,"[-0.32471412 -4.339143    0.5806159  ...  0.1926529  -2.491971
  1.9824909 ]","[-0.31240797 -4.187788   -0.1271206  ...  1.0059242  -2.6670024
  1.8465434 ]"
88,The restaurant is expensive.,The restaurant could be expensive.,[ 0.7463973 -1.2446009  2.4244897 ... -1.0037215 -4.075448   3.4159214],"[ 1.0643005e-03 -1.2888592e+00  2.2883632e+00 ... -7.0785904e-01
 -2.8421373e+00  2.7466476e+00]"
89,The book is overdue.,The book may be overdue.,"[-2.686668    0.7527192   2.0529144  ...  0.38909066  1.2825073
  3.2119656 ]","[-2.019247    0.45313534  1.6289455  ... -0.0368781   0.51025754
  3.3473988 ]"
90,The flight is delayed.,The flight could be delayed.,"[ 1.3281949   1.2117324   0.81249905 ...  0.5712482  -2.7711742
  2.7143598 ]","[ 2.1340916   1.0516267   1.1491114  ...  0.62807083 -3.2784321
  2.9919312 ]"
91,The train is on time.,The train might be on time.,"[-0.31982216  1.7697538   3.2090626  ... -0.3169576  -2.6205652
  1.5638674 ]","[-1.7341422   1.0840448   3.8218837  ...  0.08665413 -4.1380544
  1.9405388 ]"
92,The concert is sold out.,The concert may be sold out.,"[ 0.27172258 -0.460925    1.1498407  ... -0.05373307 -3.2328408
  1.7930087 ]",[-0.6893145 -1.7806866  1.0765698 ...  0.5887422 -4.5669675  1.8492874]
93,The game is cancelled.,The game might be cancelled.,"[ 1.6810131   0.16133806 -1.0029196  ... -0.9447204   0.87567586
  2.8982546 ]","[ 1.70184    -1.8953533  -1.4269546  ... -0.61857605 -0.8628618
  3.266824  ]"
