,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The coffee is hot., The coffee is incredibly hot.,[-2.5244706  4.6199145  5.494426  ... -1.1975194 -0.3823878  4.2504725],"[-3.8352757   4.37639     4.2766986  ... -1.482865   -0.12412135
  3.315239  ]"
1,He is happy., He is very happy.,"[ 1.5615584   5.4952784   3.952877   ... -0.29024777 -0.4747929
  4.385143  ]","[ 1.45184     7.4912415   2.9084136  ... -0.6204109  -0.66852283
  4.0334992 ]"
2,She is tired., She is utterly exhausted.,"[ 1.0773547   3.175276    4.758298   ... -0.05685669 -1.9799834
  5.826317  ]","[-0.16432075  5.7770014   2.7072675  ... -0.02191173  0.11057369
  3.5584488 ]"
3,The movie was good., The movie was exceptionally good.,"[ 0.17232887  0.59849703  2.0176818  ... -0.8509736   0.64267266
  3.892733  ]",[-0.6811109  2.0110018  1.3574005 ... -1.9264721  1.6558323  3.4908524]
4,I am hungry., I am ravenously hungry.,[-2.893909   2.9555225  2.573813  ... -0.5514103 -0.5568564  3.2304928],"[-3.0489254   3.4634585   0.91691124 ... -0.5474309   0.42505965
  1.5125302 ]"
5,The dog is small., The dog is remarkably small.,[ 3.7324333  4.7713423  2.6963727 ... -1.3330218 -3.9067397  2.093176 ],[ 2.2891905  2.9203327  1.8113798 ... -2.3089378 -2.1527054  2.7638824]
6,The task is easy., The task is surprisingly easy.,"[ 1.4077916   2.7762341   1.2733464  ... -0.05050858  1.169708
  1.8074402 ]","[ 2.168058    2.0951273   0.84871465 ... -1.0752023   0.86710143
  2.1057694 ]"
7,The music is loud., The music is deafeningly loud.,"[-1.7456096   2.170508    0.74586743 ... -0.18988094 -0.6464327
  1.5341085 ]","[-3.5528984   2.279465   -0.1357081  ... -0.6067239   0.8427158
 -0.28932858]"
8,The car is fast., The car is incredibly fast.,"[-0.53463954  5.749096    1.1255544  ... -0.21983676 -2.9671688
  3.430818  ]",[-1.9494976  4.555701   0.5097448 ... -0.3798058 -2.2342815  3.258488 ]
9,The food is delicious., The food is absolutely delicious.,[-0.4161242  3.7570052  1.954546  ...  0.5394144 -1.7441746  2.3526871],"[-0.8816511   4.6301994   1.2466187  ...  0.54744864  0.5943677
  1.0895841 ]"
10,She is intelligent., She is exceptionally intelligent.,"[-1.0816231   7.7341375   3.5228708  ... -0.20584828 -4.6297545
  4.492038  ]","[ 0.12039769  6.722438    2.5589917  ... -0.80043936 -3.5316231
  4.315649  ]"
11,The book is interesting., The book is intensely interesting.,[-1.8380487  0.5600069  2.5707383 ... -0.3660286  1.3608935  3.2497413],"[-2.2474918  -0.00739209  2.2505333  ... -0.48673066  0.7978547
  2.4781764 ]"
12,He is tall., He is remarkably tall.,"[-1.1056927   6.607529    2.9800243  ...  0.68362755 -2.569066
  5.3178363 ]","[-0.35092697  5.4015045   1.7444601  ... -0.70412385 -0.9906925
  4.6579065 ]"
13,The house is large., The house is enormously large.,"[-0.6973797  -3.0500205   3.1334128  ... -0.76710767 -3.3453212
  3.2534165 ]","[-1.3163528  -1.7051415   2.7454283  ... -0.83091635 -2.5558672
  2.2099688 ]"
14,The problem is complex., The problem is extremely complex.,"[-0.51907617 -0.12656803  2.6140282  ... -0.30675036 -2.1465309
  2.2628636 ]","[-1.1284369   0.6508935   1.7117119  ... -0.21064949 -1.6616715
  1.3603703 ]"
15,The weather is bad., The weather is truly awful.,"[-0.30698285  0.8915731   0.86766756 ... -2.0690413  -2.587519
  2.380572  ]","[-0.47218153  0.802116    0.46957707 ... -1.6639981  -2.1801233
  2.0806444 ]"
16,The meeting was long., The meeting was excessively long.,[ 0.9948963 -4.0130925  0.3840347 ...  0.3442861  0.1363656  1.9806612],"[ 1.5112551  -2.6364448   0.19084018 ...  0.21389842  1.4297767
  1.8872086 ]"
17,The cake is sweet., The cake is overwhelmingly sweet.,"[ 1.2889982   4.022065    4.19435    ... -0.32002792 -0.5895506
  3.1198583 ]","[-0.07203392  2.5023263   3.0093467  ... -0.43504822  0.9492033
  2.5213015 ]"
18,The flowers are beautiful., The flowers are strikingly beautiful.,"[ 2.253389    5.2515345   0.15161109 ... -0.3542491  -4.5287733
  2.0869348 ]","[ 1.3493729   2.3261502  -0.08341719 ... -0.2076608  -4.7693152
  1.5694869 ]"
19,He is angry., He is furious.,"[ 0.32527727  8.320098    3.3591423  ... -0.07452646 -1.6896546
  5.744301  ]","[ 0.34113738  7.600702    1.7477272  ... -0.8254599  -0.3965381
  4.811649  ]"
20,She is sad., She is deeply saddened.,"[-0.3109946   3.2267      3.8822348  ... -0.63739383 -4.09984
  5.383171  ]","[ 0.00544243  4.6106668   2.9542623  ... -0.4346121  -3.6491249
  4.422656  ]"
21,The game was exciting., The game was thrilling.,"[ 1.3143059  -0.6380696   0.09549966 ... -0.574451   -0.09745631
  4.225966  ]","[ 0.8419304   0.6375101   0.671117   ... -0.71564406  0.5608396
  4.487703  ]"
22,The journey was long., The journey was incredibly arduous.,"[ 0.19276953 -1.0861795   2.2821813  ...  0.7000464  -0.9331509
  1.8411001 ]","[-0.15346083 -0.37654716  2.2999942  ... -1.1222414  -0.75979394
  1.2951537 ]"
