,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The cat sat on the mat,The cat did not sit on the mat,"[ 4.277947    1.7252339   1.2556672  ... -0.24437411 -3.2659683
  3.7708728 ]","[ 4.867192    2.5284922   1.0856743  ... -0.35165197 -2.2720466
  3.9284492 ]"
1,The sun is shining brightly,The sun is not shining brightly,"[-1.044116    3.790371    1.7987534  ...  0.45720515 -5.641473
  2.267498  ]",[-1.6293281  4.0823126  2.2306335 ...  1.0414991 -5.565866   2.2327588]
2,She ate the entire cake,She did not eat the entire cake,[-1.528183   1.7061303  2.3951104 ... -0.6164274 -1.1486394  2.7529025],"[ 1.0737916   3.2489216   1.4815637  ...  0.08471189 -1.5628079
  3.761928  ]"
3,He went to the store,He did not go to the store,"[ 1.9971081   1.7057368   2.6816142  ... -0.10059325  3.2333672
  2.8602116 ]","[ 2.7065308   2.8580432   1.9323324  ... -0.90154797  1.4471493
  4.84358   ]"
4,The birds are singing sweetly,The birds are not singing sweetly,"[ 0.0690721   2.182564   -0.45961478 ... -3.335076   -2.5898502
 -0.11356201]","[ 0.37235084  1.1421741  -0.8254881  ... -2.983824   -2.2749958
  0.4302897 ]"
5,The flowers are blooming beautifully,The flowers are not blooming beautifully,"[ 2.3224986   1.4546357  -0.70248514 ... -0.26767328 -4.4284463
  0.5227974 ]","[ 1.121619    1.9396126  -1.1195399  ...  0.01065479 -5.1250887
  0.8322014 ]"
6,The dog barked loudly,The dog did not bark loudly,"[-0.5277467   2.9663112   0.34919304 ... -2.6780465  -1.0697912
  0.31957182]",[ 0.6146334  4.603844  -1.4077641 ... -1.3135719 -0.5622676  2.5980465]
7,The rain is falling heavily,The rain is not falling heavily,"[ 0.2141314   2.864697    0.3191877  ... -0.2991797  -4.747642
 -0.21528038]","[ 0.90930337  3.2662675   1.2286886  ... -0.3060893  -3.9461212
 -0.14503092]"
8,The children are playing happily,The children are not playing happily,"[-0.21624073  1.0600388   0.24702306 ... -2.5741632  -4.717562
  3.0434093 ]","[ 0.36409366  1.2455738   0.49771738 ... -1.8424565  -4.805201
  2.8503592 ]"
9,The car is parked in the driveway,The car is not parked in the driveway,"[-0.7163803   2.0966713   0.02069565 ...  0.7544309  -1.1858851
  2.3224537 ]","[-0.35127145  3.2933288   1.0267621  ...  0.53751194 -1.4829386
  2.5591571 ]"
10,The phone is ringing loudly,The phone is not ringing loudly,[-0.9182329  5.526593   0.6673986 ... -0.092267  -2.2328646  2.2086456],[-0.9514703  6.497518   2.3564868 ... -0.1780464 -2.6621335  1.8202238]
11,The book is on the table,The book is not on the table,"[-1.0790806   0.2550498   0.16740167 ... -0.09076909  1.2701645
  2.592942  ]","[-1.4296066   0.5436248   0.42066506 ... -0.9046262   0.7383024
  2.7908456 ]"
12,The lamp is on,The lamp is off,[-1.3756441  2.915092   2.0347595 ... -0.9697605 -3.3897107  1.6423291],"[-0.23642644  2.7549486   1.7315013  ... -0.6003896  -2.626094
  1.1622791 ]"
13,The television is on,The television is off,"[-0.86689115  2.670363   -0.1788744  ... -0.11072254 -2.3649294
  2.0204911 ]","[ 0.9145833   3.2110333  -0.41428813 ... -0.19216198 -1.7770187
  1.822978  ]"
14,The computer is working properly,The computer is not working properly,"[ 3.1323051   6.7830267   1.0330207  ... -0.98289967 -3.2296555
  1.8509823 ]","[ 2.857196    7.827621    0.7131946  ... -0.9291776  -3.4906828
  0.71728617]"
15,The coffee is hot,The coffee is not hot,[-2.9248493  3.6439862  4.478318  ... -1.4189881 -1.0231147  3.7103467],[-3.2777474  3.6530194  4.603661  ... -1.2790222 -0.9996403  3.7180977]
