,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The food was delicious., The food was not delicious.,"[-0.23485553  1.9371402   1.4514526  ...  0.05017326 -0.6093113
  1.4356887 ]","[ 0.69129634  2.3721542   2.016669   ...  0.05742009 -0.38143596
  1.1904397 ]"
1,She is a talented artist., She is not a talented artist.,[ 0.6204627  5.03297    2.0179086 ...  0.1276592 -4.9314313  5.3125896],"[ 1.9434946   4.9858384   1.9766854  ... -0.44786668 -3.6296062
  4.071268  ]"
2,He loves his job., He hates his job.,[ 3.4749045  5.057911   1.2254794 ... -1.469979  -1.5724715  3.6114202],"[ 1.474158    6.3146596   1.3581746  ...  0.01240641 -1.4552791
  3.5394168 ]"
3,The movie was exciting., The movie was boring.,"[-0.69990194  1.988826    2.1873798  ... -0.40910274  0.35274002
  4.0328684 ]","[ 0.77764046  0.9895275   1.495192   ... -0.4921492   2.349221
  1.7286389 ]"
4,I'm feeling happy today., I'm feeling unhappy today.,"[-1.2840337  -0.45513368  0.5916601  ... -2.258756    0.6865601
  2.4817002 ]","[-1.231665    1.6975669   0.99598247 ... -2.0880506   0.91002077
  1.725571  ]"
5,The weather is wonderful., The weather is terrible.,"[ 1.2384386   0.51226234  1.2076422  ... -2.1199708  -1.4636204
  2.559533  ]",[-0.2656342  1.5122194  0.2641034 ... -1.3549387 -2.289216   2.8838403]
6,This project is successful., This project is unsuccessful.,"[ 1.237445    1.5782769   0.17398827 ... -1.4582     -0.07662518
  0.96543294]","[-0.03828754  2.0813231  -0.40733543 ... -1.5913795   1.1594416
  1.2893178 ]"
7,The children are well-behaved., The children are badly-behaved.,"[ 2.2041755  -0.07129848  1.0272855  ... -2.1458855  -2.7246864
  3.5563502 ]","[ 0.53268534  0.7690391  -0.5795328  ... -1.6537907  -3.2688193
  4.125038  ]"
8,The team won the game., The team lost the game.,[ 4.164245   2.3644314 -1.1137491 ... -0.6289492 -2.1621294  5.6285954],"[ 1.5109261   0.71848345 -0.45291188 ... -0.91570693 -2.912843
  4.6229815 ]"
9,She passed the exam., She failed the exam.,[2.1890514  6.975749   0.83886516 ... 0.64024466 0.19309862 3.9025123 ],"[ 0.21433416  8.207193    0.984429   ... -0.78225994 -1.9489365
  3.4417038 ]"
10,He agreed to the proposal., He disagreed to the proposal.,[1.8295492  6.1071267  0.72029155 ... 0.35668728 0.9936163  1.8837614 ],"[ 1.6223935e+00  6.6389656e+00 -2.8338830e-03 ... -4.4338170e-01
  1.3522183e+00  3.0533550e+00]"
11,The car is reliable., The car is unreliable.,"[ 0.89905393  5.0264616   1.0106951  ... -0.35762787 -2.202477
  3.978067  ]","[-3.6935150e-03  4.4224348e+00  1.2830499e+00 ... -2.5491646e-01
 -2.3421025e+00  3.9696898e+00]"
