,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The dog bit the man.,The man was bitten by the dog.,"[ 4.1278543   4.9199824   1.1603104  ... -0.05841585 -0.59630275
  4.9338946 ]","[ 0.9215143   5.5039763  -0.6182663  ... -0.73083377  0.5590341
  4.533505  ]"
1,The bird sang a song.,A song was sung by the bird.,[ 1.4474882  2.507788  -0.4629991 ... -2.495981  -1.3439665  0.6754058],"[-0.43998176  2.987533    0.9358489  ... -0.39997926 -0.56988627
  1.560125  ]"
2,The chef prepared the meal.,The meal was prepared by the chef.,"[-0.54681927  1.5274767   1.2541091  ...  0.58204883 -1.7057424
  2.2139351 ]",[-1.1334817  1.60296    0.7608651 ...  0.466605  -1.3168894  1.618154 ]
3,The artist painted the portrait.,The portrait was painted by the artist.,"[-0.70784026 -0.5324645   1.9028269  ... -2.0242188  -0.7225992
  2.2280667 ]","[-3.841254    0.35613316  0.7112235  ... -1.470304    3.0321622
  3.2456205 ]"
4,The teacher graded the papers.,The papers were graded by the teacher.,[ 0.6128182  2.2859948  2.5181057 ... -2.305041  -1.7372106  2.5575502],[-1.3498285  1.8456478  2.2315416 ... -1.246068  -1.6790993  1.4652181]
5,The student wrote the essay.,The essay was written by the student.,"[-0.72915125  2.277921    1.4870113  ... -2.392972   -0.28647947
  2.377154  ]","[-1.9242545   2.3370626   0.7316414  ... -1.213438   -0.92737126
  2.18364   ]"
6,The mechanic fixed the car.,The car was fixed by the mechanic.,"[ 2.5012598   6.211472   -0.26492324 ... -1.4119787  -1.0823158
  2.5953612 ]","[ 1.1665481   5.7305193   2.06219    ... -0.36980033 -0.8311124
  2.2129269 ]"
7,The doctor examined the patient.,The patient was examined by the doctor.,"[ 1.756951    4.619448    3.1934779  ... -0.87495536  0.58114976
  1.0775653 ]","[ 1.3846904   4.1998215   2.928127   ... -0.5786419   1.5766275
  0.58727306]"
8,The baker baked the bread.,The bread was baked by the baker.,"[-0.8199485   1.0749475   0.44331822 ... -1.6274384  -1.1323744
  2.020074  ]","[-2.210631    3.3320951   2.8942914  ... -0.7298663   0.17459372
  3.042806  ]"
9,The carpenter built the house.,The house was built by the carpenter.,"[ 0.8160941   1.3427426   1.1558722  ... -0.5176261   3.160505
 -0.02389705]","[-2.396868   -0.11512958  0.38806292 ... -1.0396826   1.1452861
  2.4841564 ]"
10,The farmer planted the seeds.,The seeds were planted by the farmer.,[-1.3309199  3.325308   2.2964528 ...  0.4185145 -2.0294645  1.5263466],[-1.256012   4.86886    2.042469  ...  0.6379254 -1.5186446  2.408521 ]
11,The author wrote the book.,The book was written by the author.,"[ 0.33584955  0.44974008  0.59430104 ... -1.6702733   0.92077065
  2.4683092 ]","[-1.6855408   1.9490519   1.2714419  ... -0.07588963  1.0108969
  2.5982873 ]"
12,The composer wrote the symphony.,The symphony was composed by the composer.,"[ 0.48461327  2.9657843   2.8842587  ... -4.6040816   0.72163534
  0.8813361 ]","[ 0.33258232  3.1981366   1.592214   ... -2.9966345   1.399567
  1.8121675 ]"
13,The singer sang the song.,The song was sung by the singer.,"[ 0.903492    3.6896737   0.75320435 ... -0.6325749  -0.19155212
  1.496736  ]","[-0.7296818   3.0173435   0.95306575 ...  0.5150328  -0.13763025
  1.4987183 ]"
14,The dancer performed the routine.,The routine was performed by the dancer.,"[ 0.03003415  0.38627878 -0.83460575 ... -0.08034637 -2.8870802
  4.586615  ]","[ 0.852238    1.991286    0.4613999  ...  0.33649492 -0.91042936
  2.19081   ]"
15,The musician played the instrument.,The instrument was played by the musician.,"[-0.42500487  4.4261823  -0.3312033  ... -0.3851647   0.05897965
  2.780318  ]",[-1.383785   5.068781   0.6816311 ... -0.3378038  0.6924629  2.567727 ]
16,The team won the game.,The game was won by the team.,[ 4.164245   2.3644314 -1.1137491 ... -0.6289492 -2.1621294  5.6285954],"[ 2.3064857   0.18204454 -0.04797238 ... -0.49538943 -1.132685
  3.9534216 ]"
17,The player scored the goal.,The goal was scored by the player.,[ 3.4228585  4.625992  -0.2844387 ... -1.8809439 -0.7218073  5.4787602],"[ 0.72106814  2.8135452   1.6145792  ... -0.69466096 -0.6573494
  3.0223122 ]"
18,The company launched the product.,The product was launched by the company.,"[-0.66608876 -0.00513385  1.7455673  ... -0.03316403 -3.3258603
  1.8784581 ]","[-0.5168873   0.7622872   0.06033659 ...  0.01694698 -0.34054348
  1.6383667 ]"
19,The scientist discovered the cure.,The cure was discovered by the scientist.,"[ 1.4241294  10.100246    1.2068552  ... -0.19015706 -0.70764035
  0.681659  ]","[-1.6151326   8.073333    0.28897312 ...  2.1056156   1.7720716
  0.78522986]"
20,The inventor created the device.,The device was created by the inventor.,"[ 4.044214    6.53231    -0.3118718  ... -1.9810524   1.0991989
  0.23371308]","[-0.35607666  5.3289623   0.16818887 ... -0.44854522  1.6830792
  1.1181654 ]"
21,The programmer wrote the code.,The code was written by the programmer.,"[ 1.4494394   3.587865   -0.61352366 ... -1.3790308   2.0706365
  3.1141493 ]","[-0.42115808  1.4394207   0.45545584 ... -0.03835814  0.59778404
  1.956118  ]"
22,The engineer designed the bridge.,The bridge was designed by the engineer.,"[ 0.6332601   3.107745    0.15169883 ... -1.1832952  -1.1308521
  0.86209434]","[-1.5993593   4.083788   -0.93376213 ... -0.3298638   1.3588765
  1.2008375 ]"
23,The architect designed the building.,The building was designed by the architect.,"[-1.615244   -0.77432007 -0.17429303 ... -0.36081293 -1.7049066
  1.7324198 ]","[-3.3952863  -0.21386017 -1.0123872  ... -0.17288451 -0.46778002
  2.2361488 ]"
24,The lawyer argued the case.,The case was argued by the lawyer.,"[ 0.96388227  4.5288005   0.6174402  ... -1.7536374  -0.23092353
  3.5769503 ]","[ 1.4681873   1.866501   -0.17355335 ...  0.27018982  0.2998937
  2.2094545 ]"
25,The judge ruled on the case.,The case was ruled on by the judge.,[0.69888544 2.871271   1.0282023  ... 0.12947272 0.71842784 4.644297  ],"[-0.23831208  1.336062    1.2600632  ... -0.3865799   2.44754
  1.6713339 ]"
26,The jury delivered the verdict.,The verdict was delivered by the jury.,"[-2.7129266   4.9663243   1.4643999  ...  1.6850673   0.33032408
  4.4308076 ]",[-2.1111526  3.6358612  1.4075298 ...  1.424899  -0.5397991  3.3673456]
27,The police officer arrested the suspect.,The suspect was arrested by the police officer.,"[ 2.8487306   7.0849543   0.67938817 ... -1.6285182  -0.25892848
  4.212897  ]","[ 1.3873825   5.494666    1.4489883  ... -1.5047339   0.12852615
  1.4546313 ]"
28,The thief stole the money.,The money was stolen by the thief.,[2.8254035  6.4988     3.1365566  ... 1.3209138  3.0100963  0.36419106],"[-0.24206337  8.224614    3.0113246  ...  0.8456614   1.5856086
  0.7783537 ]"
29,The cat knocked over the vase.,The vase was knocked over by the cat.,[ 6.714492   2.236574   2.393953  ... -1.7287568  1.1851248  4.9550047],"[ 2.3589067   3.1068513   2.3014464  ... -1.5662339   0.83160716
  4.096393  ]"
30,The dog chased the squirrel.,The squirrel was chased by the dog.,"[ 3.2088988   3.9567487   0.08473746 ... -4.0423465  -1.5746088
  3.9353704 ]","[ 1.3195426   3.1105714   0.75023973 ... -3.321454   -1.0158106
  2.049061  ]"
31,The rain ruined the picnic.,The picnic was ruined by the rain.,"[ 3.3695107   0.49790743  1.849865   ... -0.64152926 -1.6646901
  2.1186821 ]","[ 1.8195412  -3.3512065   1.7400386  ...  2.1734962  -1.6829431
  0.34247494]"
32,The sun melted the snow.,The snow was melted by the sun.,"[ 0.182271    4.604871    1.3977069  ... -0.53502893 -1.4123287
  1.6214293 ]","[ 0.84902984  0.24002743  0.7530382  ... -1.2727393  -1.1985393
  1.2227376 ]"
33,The wind blew down the tree.,The tree was blown down by the wind.,"[ 2.2557805   2.4180315  -0.6515233  ... -0.40035614 -0.6312888
  0.34936014]","[ 1.2710865   2.8190906   0.8080242  ... -2.427725   -1.4789697
  0.76317674]"
34,The fire destroyed the house.,The house was destroyed by the fire.,"[-1.3251635   1.5943848   3.1189213  ... -0.06047604 -1.2914312
  1.4765253 ]",[-4.016384   1.7923591  2.605519  ... -0.8265444 -2.5802112  1.8858701]
35,The earthquake caused the damage.,The damage was caused by the earthquake.,[-2.4864805  4.6204123  3.940898  ... -1.6838102 -1.5285035  1.6003714],[-2.627488   5.6475315  3.1361775 ... -0.5495099 -1.5073419  1.9373026]
36,The storm flooded the streets.,The streets were flooded by the storm.,"[ 0.18691872  1.9087781   1.4597429  ...  4.034763   -3.1473598
  0.01086863]","[-2.335358   -0.38618666 -0.16827762 ...  2.1838531  -2.9392037
  0.7073751 ]"
37,The snow covered the ground.,The ground was covered by the snow.,"[-0.02585284 -1.0941459  -0.64632404 ... -3.2703724  -0.8482941
  1.290917  ]","[-0.2640005   1.5359153   1.1950686  ... -2.0222247  -0.31306195
  3.5761302 ]"
38,The fog obscured the view.,The view was obscured by the fog.,"[-1.485449    0.12138448  4.720528   ... -1.309087   -2.6855545
  0.6237808 ]","[-2.2081246  -2.0043113   4.5719347  ...  0.76426643 -2.5772495
  0.97289383]"
39,The clouds hid the sun.,The sun was hidden by the clouds.,"[-0.67798805  1.4130465   2.6810448  ...  1.9784857  -2.769284
  1.0330192 ]",[-1.8516228  0.5718793  3.3391008 ...  3.4087307 -3.278519   2.1679788]
