,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The dog barked loudly.,The dog barked noisily.,"[-0.71929693  3.8277607   0.6209942  ... -2.7161882  -0.2371748
  0.84154385]","[-0.6592565   3.7820673   0.5105952  ... -3.0024064  -0.41545546
  0.38357908]"
1,The sun shone brightly.,The sun gleamed brightly.,"[-0.27433774  2.73294     1.4305806  ...  0.06041124 -3.549381
  3.1128137 ]","[ 0.01500267  2.6851218   0.36805344 ...  0.335301   -3.3080006
  3.6678212 ]"
2,She walked quickly.,She walked rapidly.,"[ 2.2336361   0.6185291   0.85880446 ... -0.16875777  0.80981845
  3.2933452 ]","[ 2.0460706   0.17758812  0.47429913 ... -0.7055328   1.1964594
  2.566125  ]"
3,He ran swiftly.,He ran speedily.,"[ 0.7252822   3.6175392   0.70140034 ... -1.5110937   1.4032397
  3.07592   ]","[ 0.27011698  2.7155461  -0.44418103 ... -1.9151993   1.5258577
  2.5689018 ]"
4,The car moved slowly.,The car inched slowly.,[ 1.154834   1.4373442  2.1729367 ...  0.3535152 -0.8979856  2.5434833],"[-0.04825699  0.80122846  1.2589802  ...  0.70664597  0.0139757
  3.129369  ]"
5,The bird flew high.,The bird soared high.,"[ 2.2206388   3.5902667   2.2302308  ... -1.2016178  -0.50838834
  4.152145  ]","[ 2.4570997   2.301745    2.8179188  ... -0.38702524 -1.1682343
  3.5305068 ]"
6,The child slept soundly.,The child slept deeply.,[ 1.7915837  1.8535949  0.1381249 ... -1.4037232  2.5098665  2.7550652],[ 2.4569924  1.8096364  0.7938744 ... -0.7574046  1.342626   4.080296 ]
7,The food was delicious.,The food was scrumptious.,"[-0.23485553  1.9371402   1.4514526  ...  0.05017326 -0.6093113
  1.4356887 ]","[-1.0964065   1.3103161   1.0341555  ... -2.089969   -0.04163494
  0.21888559]"
8,The movie was exciting.,The movie was thrilling.,"[-0.69990194  1.988826    2.1873798  ... -0.40910274  0.35274002
  4.0328684 ]","[-1.2942951   1.4944286   2.3253894  ... -0.40412712  0.68970937
  3.9011579 ]"
9,The music was calming.,The music was soothing.,"[ 1.752492    2.3252387   0.35791045 ... -1.0207938   1.8518032
 -0.5980236 ]","[ 0.88367575  1.7861459   1.078518   ... -1.3331673   1.7812363
 -0.4876751 ]"
10,The weather was pleasant.,The weather was agreeable.,[ 1.7549047 -3.4536202  1.0983582 ... -2.0280101 -1.3313103  2.3012874],[ 2.364501  -2.9322634  1.6115111 ... -3.0288038 -0.6764702  1.1747524]
11,The day was beautiful.,The day was lovely.,"[ 1.5448015  -3.7553535   0.9620675  ...  0.61939067 -0.6283115
  1.4565928 ]","[ 1.8451303  -4.901311    0.727008   ...  0.84546185 -0.625171
  1.5457758 ]"
12,The night was dark.,The night was shadowy.,"[-0.23241028 -1.4409134   1.8754418  ...  0.04792137 -1.1157191
 -0.6070586 ]","[-0.50691557 -2.8371944   2.4582243  ...  0.51982194 -1.1432724
 -0.48280096]"
13,The road was long.,The road was extensive.,"[ 0.14207335 -0.07380488  2.6227455  ...  0.86406153 -1.3634975
  1.5447053 ]","[ 0.4955675  -0.81429815  3.370461   ...  0.29739696 -1.120176
  1.5751946 ]"
14,The journey was arduous.,The journey was strenuous.,"[-0.17689206 -0.82490766  2.9831407  ... -1.319155   -0.9930868
  1.3029846 ]","[ 0.41514716 -1.3534693   1.4190122  ... -0.13723348 -0.50459665
  2.2367046 ]"
