,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The dog chases the ball.,The dog chased the ball.,[ 3.0892253  4.046321  -0.0295716 ... -2.6122825 -2.7429862  3.0752213],[ 3.143757   4.759751  -0.6153541 ... -3.6069238 -2.0013576  3.6279256]
1,She sings beautifully.,She sang beautifully.,"[-1.119561    7.3310814   0.67126006 ... -1.1115649  -5.464576
  3.6060839 ]","[-1.2441512   5.3296194   0.27453446 ... -1.4372152  -3.23554
  3.186534  ]"
2,He eats pizza every Friday.,He ate pizza every Friday.,"[-1.4933485   0.94298095  3.417033   ... -1.2776327  -0.61876625
  2.4483247 ]","[-2.4515197  -0.57152647  3.8578942  ... -1.7420694   0.48407623
  3.6662457 ]"
3,They walk to school.,They walked to school.,"[-0.92608815  0.2568817  -0.14034382 ...  0.39508525 -2.1652265
  3.5135312 ]","[-0.34701413  0.25288802  0.3917659  ... -0.07187454 -1.2192116
  3.0480223 ]"
4,The sun shines brightly.,The sun shone brightly.,"[ 0.07422283  4.3097925   1.9207191  ...  0.73929083 -4.2257357
  3.1379895 ]","[-0.27433774  2.73294     1.4305806  ...  0.06041124 -3.549381
  3.1128137 ]"
5,Birds fly in the sky.,Birds flew in the sky.,"[ 0.02922851  2.0753713   0.04783566 ... -1.0424446  -1.2418877
  1.6043063 ]","[-0.04750951  0.92062575  0.52434933 ... -1.2630053  -0.19298862
  1.376804  ]"
6,The cat sleeps on the mat.,The cat slept on the mat.,"[ 5.253753    2.2587326   1.1357447  ...  0.69275963 -2.1760201
  4.2726645 ]","[ 6.4330497e+00  2.1782897e+00  1.0115435e+00 ...  4.9710446e-03
 -7.9057038e-01  5.2370734e+00]"
7,He drives a red car.,He drove a red car.,[ 0.5632127  5.301321  -0.7596591 ... -1.082374  -2.188382   4.2075043],"[ 0.16421355  4.707783   -1.0833944  ... -1.644749   -0.65506935
  3.9405336 ]"
8,She writes poems.,She wrote poems.,"[ 0.63231105  3.4907236   0.25047117 ... -0.5188812  -3.9346156
  3.2578135 ]","[-0.5115802   3.411502    0.10297478 ... -1.065576   -1.5626173
  2.777525  ]"
9,We play tennis every Sunday.,We played tennis every Sunday.,"[ 0.5261896  -0.903688   -0.01029642 ... -0.71583456 -4.2469444
  3.5874288 ]","[ 0.7822656  -1.5507613   0.29483894 ... -1.3348389  -3.388277
  3.9483395 ]"
10,The flower blooms beautifully.,The flower bloomed beautifully.,"[ 2.6616435   1.6248249  -0.8360548  ...  0.48291534 -4.772527
  3.8324578 ]","[ 1.5935726   1.5017322  -0.32131144 ...  0.2805597  -3.6492805
  2.8547661 ]"
11,He studies diligently.,He studied diligently.,"[-0.9511262   5.3140774   2.445212   ... -0.19924794 -2.3086526
  4.9406757 ]",[-1.3392082  4.7894597  1.9310255 ... -0.7458252 -0.6349179  4.444725 ]
12,The river flows swiftly.,The river flowed swiftly.,"[ 2.3676631   2.5409489   1.7503617  ... -0.72498184 -2.4068542
  1.0110319 ]",[ 1.8187516  2.1887734  1.4483448 ... -0.9075149 -2.1373026  0.7991239]
13,She dances gracefully.,She danced gracefully.,"[ 0.28487557  1.7431898   0.17248356 ...  1.0845447  -2.7396626
  4.8187103 ]","[ 0.5336578   0.48175853 -0.14537174 ...  0.16260011 -0.8065469
  4.498019  ]"
14,They cook delicious food.,They cooked delicious food.,"[-2.1297765   3.1153474   0.21719444 ... -1.4308145  -3.1357079
  3.6763089 ]","[-2.0277405   2.872931   -0.05566091 ... -3.024694   -1.7717384
  2.7382116 ]"
15,The train arrives at the station.,The train arrived at the station.,[-2.0525932 -0.7696503  2.6913478 ... -1.3542907 -2.753591   4.16892  ],[-1.4845054  0.3536504  3.05178   ... -0.9179831 -1.879103   4.608579 ]
16,He works hard every day.,He worked hard every day.,[-2.5583403  3.6379426  2.6130714 ... -1.1107756 -2.0403464  5.8034415],[-2.8810208  2.902135   1.7386757 ... -0.7428945 -0.457774   5.262791 ]
17,She laughs heartily.,She laughed heartily.,[ 1.2905881  4.411449   0.5517527 ... -1.1608193 -1.8140081  3.752541 ],"[ 1.3052262   3.7253346   0.00401025 ... -2.034287   -0.12542662
  3.7909656 ]"
18,The children play happily.,The children played happily.,"[ 0.55285627  1.6330589  -0.18118934 ... -2.8794813  -3.2649472
  3.5780888 ]","[ 0.98876154  0.99368685 -1.0904957  ... -4.0701733  -1.872442
  3.079639  ]"
19,The moon shines in the night.,The moon shone in the night.,[-0.332025   1.2112296  1.7642038 ... -0.9543815 -3.5459583  1.7691828],"[ 0.16195002  0.9796189   1.2853304  ... -0.89068055 -3.2174048
  2.180501  ]"
