,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The chef cooked the meal.,The meal was cooked by the chef.,"[-0.1251518   3.7213714   0.12329379 ... -0.5299727  -2.9369364
  3.2018785 ]","[-1.5864135   2.609275    1.4518015  ...  0.50395674 -1.8184992
  2.4359944 ]"
1,The dog chased the ball.,The ball was chased by the dog.,[ 3.143757   4.759751  -0.6153541 ... -3.6069238 -2.0013576  3.6279256],"[ 0.04387507  4.1538777   0.2982048  ... -1.4823048  -1.7589701
  3.4468727 ]"
2,The artist painted the portrait.,The portrait was painted by the artist.,"[-0.70784026 -0.5324645   1.9028269  ... -2.0242188  -0.7225992
  2.2280667 ]","[-3.841254    0.35613316  0.7112235  ... -1.470304    3.0321622
  3.2456205 ]"
3,The students read the book.,The book was read by the students.,"[-2.1770263   0.4637703   0.20189913 ... -0.45970467 -2.1074917
  3.9308054 ]","[-3.244169    1.4527276   2.5891366  ... -0.28624308  0.7079647
  4.525544  ]"
4,The teacher graded the papers.,The papers were graded by the teacher.,[ 0.6128182  2.2859948  2.5181057 ... -2.305041  -1.7372106  2.5575502],[-1.3498285  1.8456478  2.2315416 ... -1.246068  -1.6790993  1.4652181]
5,The cat sat on the mat.,The mat was sat on by the cat.,"[ 4.871701    1.7367922   1.7100245  ... -0.04479187 -2.9222147
  4.5027804 ]","[ 0.3036132  -1.1808825   2.1719992  ...  0.51965773 -1.1162908
  3.983914  ]"
6,The bird sang a beautiful song.,A beautiful song was sung by the bird.,"[ 0.9831844   3.132603   -1.2287245  ... -3.95556    -1.579756
  0.02880226]","[-0.570925    3.1471987  -0.19684015 ... -1.2294247  -1.0532479
  1.6171621 ]"
7,The wind blew the leaves.,The leaves were blown by the wind.,"[ 3.480344    2.1954381  -0.45948136 ...  0.46445885 -1.5943054
  1.4548608 ]","[ 2.8459554   0.07273227 -1.3096877  ... -0.9219359  -2.5323281
  0.5300116 ]"
8,The rain soaked the ground.,The ground was soaked by the rain.,"[ 1.6724223   1.8476897   2.220671   ... -0.08410605 -4.7619185
  0.5727275 ]",[-1.0129354  1.0394927  2.1012216 ... -1.5506979 -3.08348    4.772866 ]
9,The sun melted the snow.,The snow was melted by the sun.,"[ 0.182271    4.604871    1.3977069  ... -0.53502893 -1.4123287
  1.6214293 ]","[ 0.84902984  0.24002743  0.7530382  ... -1.2727393  -1.1985393
  1.2227376 ]"
