Rank,Feature,Importance
1,77,0.49369785966695257
2,149,0.6205644372357072
3,186,0.814698803081913
4,199,0.6198192578479892
5,209,1.0409725833745254
6,235,0.7378302511212266
7,256,0.6700614357433444
8,272,0.5440196554916511
9,312,0.6934081493072732
10,327,0.5677519375168523
11,359,0.6071365297735539
12,455,0.5825262206264818
13,515,0.6752043283217672
14,526,0.8710351011285826
15,543,0.5383531561828989
16,551,0.6193660252412317
17,578,0.902866696060444
18,671,0.48571668197850737
19,717,0.6406348370022467
20,724,0.6033900868210729
