dimension,edi_score,mi_score,wilcoxon_score,rfe_score
180,1.0,1.0,1.0,1.0
123,0.8824139036989106,0.6335818895252731,1.0,0.7784876289692797
319,0.8818637179210651,0.5825996110750948,1.0,0.8267189785302306
385,0.86393717319727,0.571605841478109,1.0,0.7480800245082415
109,0.8154654683675957,0.42784626621671085,1.0,0.6494810756212676
497,0.7973640375622251,0.09776114136781379,0.999999999999938,0.8890590464434975
683,0.7947738104430929,0.9738690522154645,1.0,0.0
172,0.7926325683444175,0.34879517627234025,1.0,0.6143676654497476
430,0.7907058332816519,0.27083033064011586,1.0,0.6826988357681432
286,0.7861610348096383,0.1195637560385853,1.0,0.811241418009606
467,0.7852096638823678,0.9260483194118388,1.0,0.0
315,0.7833514391512614,0.26153360266999887,1.0,0.6552235930863083
356,0.7820603494649349,0.2540392149783696,1.0,0.6562625323463049
527,0.7784164556491844,0.24270983910267266,1.0,0.6493724391432494
360,0.7732011787776116,0.19995071423399532,1.0,0.666055179654063
620,0.771066184557588,0.1444293224540563,1.0,0.710901600333884
35,0.7695057940804807,0.14932326113620417,1.0,0.6982057092661992
641,0.7646387991613274,0.12198175011873537,1.0,0.7012122456879017
553,0.7529451280493888,0.1189155938464973,1.0,0.6458100464004466
142,0.7442774628653596,0.721387314326798,1.0,0.0
144,0.7415568054054722,0.7077840270273609,1.0,0.0
390,0.7380033502323906,0.6900167511619533,1.0,0.0
400,0.7364826212430617,0.6824131062153086,1.0,0.0
265,0.7229510511003434,0.6147552555017174,1.0,0.0
317,0.7217028777132297,0.07536615948505915,0.9316845519863675,0.7380945731219873
331,0.7112605926718358,0.556302963359179,1.0,0.0
121,0.7105250457562219,0.5526252287811096,1.0,0.0
602,0.7098838801392802,0.5494194006964007,1.0,0.0
585,0.7048391624433181,0.5241958122165905,1.0,0.0
135,0.7033473293923491,0.5167366469617457,1.0,0.0
601,0.7007980285422717,0.5039901427113586,1.0,0.0
273,0.6997542849641575,0.4987714248207873,1.0,0.0
732,0.6985902997937908,0.4929514989689543,1.0,0.0
469,0.6982761369224805,0.49138068461240253,1.0,0.0
308,0.6970443481047687,0.48522174052384365,1.0,0.0
222,0.6953625137724101,0.4768125688620504,1.0,0.0
301,0.6949836538725591,0.47491826936279535,1.0,0.0
276,0.6932878427249403,0.46643921362470125,1.0,0.0
