Rank,Feature,Importance
1,35,2.3669767832053137
2,109,2.2017961278810434
3,123,2.6391393243109396
4,172,2.0827586786706913
5,180,3.3900851164522283
6,286,2.750177457043966
7,307,1.9888013161559688
8,315,2.221263750870245
9,317,2.50220342687501
10,319,2.802647704603924
11,356,2.2247858433924574
12,360,2.257983751281154
13,385,2.5360549570006077
14,430,2.3144071621568463
15,497,3.0139858409953115
16,527,2.20142784097381
17,553,2.189351026357477
18,578,2.2510367459392087
19,620,2.410016934553971
20,641,2.377169197580599
