dimension,edi_score,mi_score,wilcoxon_score,rfe_score
577,0.9558203372801712,1.0,1.0,0.8700598155299153
43,0.8974252357929222,0.8174370119634692,1.0,0.875503005426404
210,0.8751635889726841,0.7133802928417824,1.0,0.9110238009849878
745,0.8255092608072676,0.6628099519338179,1.0,0.8140646372620814
539,0.8151712930197134,0.5664886846829259,1.0,0.877147138453964
387,0.8127829899723282,0.4921504187408011,1.0,0.9422745640819524
60,0.7899370603616009,0.36344563745939684,1.0,1.0
16,0.76944420373975,0.5429655812617648,1.0,0.7654869468334339
54,0.7673398949022749,0.6177278730278221,1.0,0.6867344023620401
97,0.7577475279901994,0.37289868830589046,1.0,0.8961498848507514
483,0.7486069869120755,0.45439176484021304,1.0,0.7901697191611917
695,0.7471660141755241,0.446514664069987,1.0,0.793576985389495
352,0.7429286885855069,0.36818492698719174,1.0,0.8571401843521577
715,0.7358359402111294,0.2685773333310933,1.0,0.9329571182702016
71,0.7229938164284744,0.4851066177125238,1.0,0.6850253899510041
331,0.7048277096509217,0.4284718484296013,1.0,0.6865647049092742
418,0.702378697838541,0.462785355440007,1.0,0.6460574427745253
558,0.6849726107402254,0.2226835954897113,1.0,0.8279030124371195
765,0.6724060531572135,0.34891539621069656,1.0,0.6684234482578928
637,0.6324192522814921,0.2605218436798897,1.0,0.6366089525503779
303,0.5484682525117937,0.662025007611496,1.0,0.0
217,0.5334050894116495,0.6163790588231804,1.0,0.0
441,0.5291481390252208,0.6034792091673357,1.0,0.0
376,0.527888644282427,0.5996625584315968,1.0,0.0
164,0.5239208397456558,0.5876389083201692,1.0,0.0
431,0.5212832589170642,0.5796462391426186,1.0,0.0
691,0.5176119618007731,0.568521096365979,1.0,0.0
348,0.5143827201494238,0.5587355156043144,1.0,0.0
522,0.5125336585469604,0.5531322986271525,1.0,0.0
464,0.50846788409425,0.5408117699825756,1.0,0.0
221,0.5063027334456652,0.5342507074111068,1.0,0.0
207,0.5040315619389014,0.5273683695118223,1.0,0.0
548,0.49576228769923736,0.5023099627249616,1.0,0.0
56,0.49476662429158635,0.49929280088359485,1.0,0.0
509,0.48955298202794456,0.4834938849331653,1.0,0.0
192,0.4864906248539964,0.4742140147090799,1.0,0.0
179,0.48397662560563504,0.46659583516859104,1.0,0.0
614,0.47999613283571824,0.4545337358658128,1.0,0.0
301,0.4787019777387884,0.4506120537539043,1.0,0.0
76,0.4778509738942981,0.4480332542251457,1.0,0.0
497,0.4742324637304661,0.43706807191050345,1.0,0.0
731,0.4695468535690811,0.42286925323963975,1.0,0.0
448,0.46942646857107556,0.4225044502153804,1.0,0.0
633,0.46874068829924237,0.42042632817952225,1.0,0.0
756,0.46732119386360677,0.41612482988971744,1.0,0.0
620,0.4661556392760459,0.41259284629104814,1.0,0.0
528,0.4651334819687802,0.40949539990539446,1.0,0.0
574,0.4615508261093785,0.3986388669981164,1.0,0.0
292,0.4607090882209422,0.3960881461240672,1.0,0.0
544,0.4563355114430382,0.3828348831607218,1.0,0.0
632,0.4561998615324208,0.3824238228255175,1.0,0.0
676,0.45522466358892566,0.37946867754219893,1.0,0.0
744,0.4549154098801529,0.37853154509137227,1.0,0.0
108,0.4519440305054199,0.36952736516793905,1.0,0.0
335,0.4503814513902823,0.3647922769402493,1.0,0.0
72,0.45003856112330176,0.3637532155251567,1.0,0.0
476,0.44937453371368463,0.3617410112535898,1.0,0.0
685,0.44745920471752654,0.3559369839925047,1.0,0.0
640,0.44619454420659843,0.3521046794139346,1.0,0.0
400,0.4430542436074868,0.3425886169923841,1.0,0.0
14,0.44253608526803523,0.34101844020616723,1.0,0.0
617,0.4404713948036728,0.3347618024353722,1.0,0.0
403,0.4399534610558017,0.3331923062297021,1.0,0.0
120,0.4394660042951294,0.331715164530695,1.0,0.0
449,0.4385716419259353,0.3290049755331372,1.0,0.0
586,0.43756992897943203,0.32596948175585455,1.0,0.0
724,0.43739309517403163,0.3254336217394897,1.0,0.0
272,0.43730346521154845,0.325162015792571,1.0,0.0
251,0.4367005997495879,0.32333515075632696,1.0,0.0
636,0.4318734624567838,0.30870746199025395,1.0,0.0
327,0.4312776838822099,0.30690207237033285,1.0,0.0
613,0.43054733975569154,0.3046889083505804,1.0,0.0
338,0.4302620619227274,0.30382443006887083,1.0,0.0
184,0.42948665804193153,0.30147472133918646,1.0,0.0
33,0.42913115595306417,0.30039744228201254,1.0,0.0
563,0.4286278332240145,0.2988722218909529,1.0,0.0
9,0.4276381197625043,0.29587309018940694,1.0,0.0
136,0.42692435374839344,0.29371016287391943,1.0,0.0
248,0.4268979676327647,0.29363020494777176,1.0,0.0
263,0.42674768395379703,0.29317479985999084,1.0,0.0
598,0.42621141682270763,0.2915497479475988,1.0,0.0
708,0.42560783242905287,0.2897207043304631,1.0,0.0
382,0.4254060409379884,0.28910921496360115,1.0,0.0
200,0.42463602665887223,0.28677583836021875,1.0,0.0
84,0.42429666348532746,0.28574746510705296,1.0,0.0
479,0.42380316284575215,0.28425200862349126,1.0,0.0
702,0.4237515114538826,0.2840954892541897,1.0,0.0
701,0.4232018773838341,0.2824299314661639,1.0,0.0
208,0.42304446375512406,0.2819529204700728,1.0,0.0
243,0.42230297951432205,0.27970599852824857,1.0,0.0
306,0.42230061165778376,0.27969882320540523,1.0,0.0
329,0.42169196959486865,0.27785445331778375,1.0,0.0
173,0.42012703190012424,0.2731122178791643,1.0,0.0
73,0.41992869320064474,0.2725111915171051,1.0,0.0
766,0.4199218489395985,0.27249045133211663,1.0,0.0
111,0.4197803757932691,0.27206174482808804,1.0,0.0
421,0.4196319248887272,0.27161189360220356,1.0,0.0
439,0.41959923650888653,0.2715128379057168,1.0,0.0
113,0.41954659483571805,0.27135331768399396,1.0,0.0
446,0.4191324028768191,0.27009819053581535,1.0,0.0
371,0.4174714502289171,0.265065000693688,1.0,0.0
176,0.41717456075871623,0.2641653356324734,1.0,0.0
262,0.41625351646075437,0.2613742923053161,1.0,0.0
639,0.41554282521116626,0.25922068245807944,1.0,0.0
621,0.41506677764092476,0.25777811406340834,1.0,0.0
101,0.4147330681212486,0.25676687309469265,1.0,0.0
570,0.4144455697930119,0.2558956660394299,1.0,0.0
456,0.4144181569979367,0.2558125969634446,1.0,0.0
692,0.41416793405634694,0.2550543456252937,1.0,0.0
675,0.41213199912638226,0.24888484583752202,1.0,0.0
105,0.4120951750403281,0.2487732576979639,1.0,0.0
520,0.41196516811221934,0.2483792973097555,1.0,0.0
478,0.4112690848310901,0.24626995403360633,1.0,0.0
363,0.41068563459527063,0.24450192301597165,1.0,0.0
405,0.41037093025597077,0.2435482735029417,1.0,0.0
717,0.41024207985233296,0.2431578177343423,1.0,0.0
529,0.41001579990256654,0.24247212091686815,1.0,0.0
622,0.4098686121075643,0.24202609729564942,1.0,0.0
409,0.4097162041403975,0.2415642549709014,1.0,0.0
642,0.40948219999624774,0.24085515150378092,1.0,0.0
644,0.4093621569007291,0.24049138454766378,1.0,0.0
211,0.4090855537436806,0.23965319316266848,1.0,0.0
651,0.4090573028623937,0.23956758443149606,1.0,0.0
126,0.40825515668141954,0.2371368384285441,1.0,0.0
447,0.4078790013114208,0.235996973670972,1.0,0.0
541,0.40680279730647945,0.232735749413574,1.0,0.0
466,0.4057757335438349,0.2296234349813178,1.0,0.0
124,0.40529635272992715,0.22817076584826412,1.0,0.0
131,0.40485995312656164,0.22684834280776242,1.0,0.0
70,0.40476605807266397,0.2265638123414059,1.0,0.0
699,0.4044264483070602,0.22553469183957636,1.0,0.0
62,0.40401207934604505,0.2242790283213486,1.0,0.0
559,0.4031599549359853,0.2216968331393493,1.0,0.0
556,0.4021301156382141,0.21857610799458804,1.0,0.0
399,0.4016614891690737,0.21715602778507168,1.0,0.0
215,0.40086640633499665,0.21474668586362614,1.0,0.0
714,0.4007484858167959,0.21438935095998748,1.0,0.0
684,0.400736606080974,0.21435335176052717,1.0,0.0
264,0.3998434153943043,0.2116467133160736,1.0,0.0
257,0.3992921356046983,0.2099761684990856,1.0,0.0
605,0.39882572477895484,0.2085628023604692,1.0,0.0
761,0.39745881523761695,0.20442065223520273,1.0,0.0
653,0.39712189653307534,0.20339968646386464,1.0,0.0
5,0.39700866485105046,0.20305656015469828,1.0,0.0
26,0.39694973976772135,0.20287799929612532,1.0,0.0
110,0.39614003328111336,0.20042434327610092,1.0,0.0
253,0.39588953822833206,0.19966526735858198,1.0,0.0
330,0.39581611237828335,0.1994427647826768,1.0,0.0
543,0.39499744667365644,0.19696195961714058,1.0,0.0
289,0.3939698306465051,0.19384797165607592,1.0,0.0
140,0.3934852006242182,0.19237939583096422,1.0,0.0
572,0.393354003271979,0.19198182809690603,1.0,0.0
7,0.39305884577086225,0.19108741142685534,1.0,0.0
375,0.3926574119847374,0.18987094540829516,1.0,0.0
601,0.3921984435108655,0.18848013185110768,1.0,0.0
318,0.3921515996360361,0.18833818071526084,1.0,0.0
267,0.3921178349299111,0.1882358634239729,1.0,0.0
320,0.39135580683457577,0.18592668737750223,1.0,0.0
123,0.3912222752897664,0.18552204633262537,1.0,0.0
627,0.3907888099771722,0.18420851508233993,1.0,0.0
733,0.39072428309152546,0.18401297906522854,1.0,0.0
612,0.39044622293644854,0.1831703725346925,1.0,0.0
337,0.38992705746667033,0.18159714383839481,1.0,0.0
628,0.3897541617799888,0.18107321751511746,1.0,0.0
224,0.3895972684430254,0.180597783160683,1.0,0.0
290,0.38948975303653494,0.18027197889859067,1.0,0.0
410,0.38867415518202597,0.1778004702485635,1.0,0.0
50,0.38737686171932695,0.1738692779373544,1.0,0.0
458,0.3870771657503362,0.17296110833435202,1.0,0.0
63,0.38641311254827027,0.17094882590384916,1.0,0.0
488,0.3863607823582398,0.17079024957042355,1.0,0.0
629,0.38580018000663363,0.16909145456555646,1.0,0.0
397,0.3855525621543968,0.16834109743756615,1.0,0.0
125,0.38546477450362254,0.16807507425340165,1.0,0.0
679,0.38541306363939964,0.1679183746648474,1.0,0.0
316,0.38510575830469057,0.1669871463778501,1.0,0.0
526,0.38503125983414455,0.16676139343680163,1.0,0.0
763,0.38490494674602793,0.16637862650311488,1.0,0.0
228,0.38448462633869357,0.1651049282990714,1.0,0.0
537,0.3842247769127619,0.16431750579624818,1.0,0.0
630,0.3835333203463381,0.1622221828676911,1.0,0.0
757,0.38334991397483825,0.16166640598435827,1.0,0.0
402,0.3832993837756641,0.16151328416867894,1.0,0.0
69,0.38309444249266583,0.16089224997777524,1.0,0.0
546,0.3830855743372901,0.16086537677966706,1.0,0.0
297,0.3827085503968439,0.1597228799904361,1.0,0.0
21,0.3826871510855132,0.1596580335924643,1.0,0.0
95,0.3823891000077844,0.15875484850843757,1.0,0.0
10,0.3818174466392351,0.15702256557343974,1.0,0.0
37,0.3817562032763581,0.1568369796253276,1.0,0.0
388,0.38146102341472155,0.1559424951961259,1.0,0.0
657,0.3814081411841585,0.1557822460126014,1.0,0.0
407,0.3807607734594285,0.15382052563463183,1.0,0.0
739,0.3807174012712875,0.15368909476147724,1.0,0.0
706,0.3802350871320296,0.15222753676372602,1.0,0.0
429,0.38014786736865686,0.15196323445047527,1.0,0.0
