Rank,Feature,Importance
1,16,1.8676047891602325
2,43,2.1360176194020943
3,54,1.6754674446610938
4,60,2.4397604647419464
5,71,1.671297863746895
6,97,2.186391059541911
7,210,2.2226798520821083
8,331,1.6750534235248682
9,352,2.0912167345240174
10,387,2.298924228379099
11,418,1.5762254068335693
12,483,1.9278248412457226
13,539,2.1400289101615115
14,558,2.019885038384844
15,577,2.1227375398905584
16,637,1.5531733539331936
17,695,1.936137754682387
18,715,2.276191892455214
19,745,1.98612271773652
20,765,1.6307931027660907
