Baseline Accuracy: 0.9925
Low EDI Score Dimensions Accuracy: 0.5150

Cross-Property Accuracies:
tense: 0.8475
synonym: 0.8250
polarity: 0.8100
factuality: 0.7875
voice: 0.8475
quantity: 0.8550
negation: 0.8225
definiteness: 0.7850
control: 0.7400

Incremental Results:
Dimensions: 1, Test Accuracy: 0.6275
Dimensions: 2, Test Accuracy: 0.7050
Dimensions: 3, Test Accuracy: 0.7825
Dimensions: 4, Test Accuracy: 0.8225
Dimensions: 5, Test Accuracy: 0.8300
Dimensions: 6, Test Accuracy: 0.8250
Dimensions: 7, Test Accuracy: 0.8275
Dimensions: 8, Test Accuracy: 0.8225
Dimensions: 9, Test Accuracy: 0.8475
Dimensions: 10, Test Accuracy: 0.8725
Dimensions: 11, Test Accuracy: 0.8800
Dimensions: 12, Test Accuracy: 0.8875
Dimensions: 13, Test Accuracy: 0.8800
Dimensions: 14, Test Accuracy: 0.9125
Dimensions: 15, Test Accuracy: 0.9325
Dimensions: 16, Test Accuracy: 0.9275
Dimensions: 17, Test Accuracy: 0.9325
Dimensions: 18, Test Accuracy: 0.9300
Dimensions: 19, Test Accuracy: 0.9500
