Rank,Feature,Importance
1,26,2.60039872497372
2,139,3.035764887510596
3,144,2.6912303573762477
4,191,3.0222625909458696
5,269,2.8348380592149853
6,319,2.191512098203581
7,441,3.3251705884523393
8,442,2.7356113285412422
9,445,2.528322935749677
10,478,3.348614221251242
11,535,2.3145832015479497
12,581,2.214181341924932
13,602,2.3748120241200525
14,605,2.5715213720721133
15,661,2.6176594913886273
16,663,3.0065553980046267
17,686,3.029008167179537
18,692,3.308982982542243
19,732,2.7259788919002053
20,736,2.896083707553838
