dimension,edi_score,mi_score,wilcoxon_score,rfe_logistic_score
544,1.0,1.0,1.0,1.0
281,0.8146102740544708,0.5413685194587987,1.0,0.8998784195090213
251,0.8106467464108167,0.6384349053952093,1.0,0.7940094930305809
451,0.810371773768969,0.6854346563801589,1.0,0.7475833445985781
363,0.750480860818462,0.8443424410988727,1.0,0.41719957428186455
643,0.728980263409035,0.7791891156157603,1.0,0.41719957428186455
654,0.7223885695999976,0.4330630749356943,1.0,0.7337581025624071
96,0.7178064271048264,0.4766917898150458,1.0,0.6779356954878274
507,0.7039379636686423,0.3269670578935767,1.0,0.7824671604816527
679,0.6652273262943168,0.5859983970863114,1.0,0.41719957428186455
40,0.6642509264971468,0.5830396098221601,1.0,0.41719957428186455
392,0.6555853396543473,0.5567802557530704,1.0,0.41719957428186455
473,0.6532407045611756,0.5496753009252775,1.0,0.41719957428186455
322,0.6523985367480805,0.5471232772492316,1.0,0.41719957428186455
684,0.6504244679343696,0.5411412505410167,1.0,0.41719957428186455
229,0.6421084721096042,0.515941263193243,1.0,0.41719957428186455
264,0.6412150675239804,0.5132339765701405,1.0,0.41719957428186455
549,0.6228411295061482,0.4575553765161038,1.0,0.41719957428186455
691,0.621379537231444,0.4531263090170002,1.0,0.41719957428186455
604,0.6185389459587325,0.44451845667545,1.0,0.41719957428186455
414,0.6154889388465216,0.4352760108808714,1.0,0.41719957428186455
741,0.6149625753044226,0.13361157378535166,1.0,0.7084433998684012
186,0.6143213475375258,0.4317378553990661,1.0,0.41719957428186455
453,0.6138916663516031,0.43043579119930037,1.0,0.41719957428186455
348,0.6134013516703355,0.42894998913485305,1.0,0.41719957428186455
243,0.6119141334805412,0.42444326734759774,1.0,0.41719957428186455
188,0.6104055884309793,0.4198719187125614,1.0,0.41719957428186455
101,0.6091147377843331,0.16085124134770534,1.0,0.6648053768811478
191,0.6090748689375763,0.4158394353992193,1.0,0.41719957428186455
337,0.6072501197256408,0.41030989233274795,1.0,0.41719957428186455
44,0.606229122300938,0.4072159607427393,1.0,0.41719957428186455
122,0.6030652923703792,0.39762859731680356,1.0,0.41719957428186455
660,0.5990876401026449,0.38557510559639663,1.0,0.41719957428186455
231,0.5986894521201941,0.3843684753465458,1.0,0.41719957428186455
159,0.59833612037957,0.3832977731022303,1.0,0.41719957428186455
479,0.5976878936825967,0.3813334497780686,1.0,0.41719957428186455
439,0.5910382110772084,0.3611828964284074,1.0,0.41719957428186455
599,0.5903851224508082,0.3592038399847703,1.0,0.41719957428186455
166,0.5901614768927079,0.35852612617234536,1.0,0.41719957428186455
688,0.5895947330733782,0.35680872065922464,1.0,0.41719957428186455
452,0.5868907527047829,0.3486148407543905,1.0,0.41719957428186455
285,0.5844914711736526,0.34134429066005634,1.0,0.41719957428186455
758,0.5817269638142905,0.33296699563168625,1.0,0.41719957428186455
505,0.5797969073222257,0.3271183395951262,1.0,0.41719957428186455
735,0.5790192418770803,0.32476177764014036,1.0,0.41719957428186455
261,0.5789697949810947,0.3246119385613961,1.0,0.41719957428186455
171,0.5789022361588326,0.742694910057809,1.0,0.01121445835222235
364,0.5782954470917718,0.3225684601089025,1.0,0.41719957428186455
274,0.5767180217331049,0.3177883832644575,1.0,0.41719957428186455
500,0.5762351902852141,0.31632525766478803,1.0,0.41719957428186455
314,0.5741052104634935,0.30987077335654395,1.0,0.41719957428186455
395,0.5737595651762002,0.308823363395049,1.0,0.41719957428186455
461,0.5737203003787562,0.3087043791603704,1.0,0.41719957428186455
547,0.5713079633531123,0.30139426696144944,1.0,0.41719957428186455
67,0.5706930988133142,0.29953104108327333,1.0,0.41719957428186455
626,0.5706826051110845,0.2994992419856076,1.0,0.41719957428186455
743,0.569898693809413,0.2971237531926638,1.0,0.41719957428186455
521,0.5692557590595905,0.2951754660719893,1.0,0.41719957428186455
106,0.5684814056222547,0.29282894050430525,1.0,0.41719957428186455
272,0.5683516435051135,0.29243572196751366,1.0,0.41719957428186455
398,0.5675181947035824,0.28991011953863166,1.0,0.41719957428186455
105,0.5673787094456441,0.28948743693881845,1.0,0.41719957428186455
289,0.565594287878762,0.2840800988573576,1.0,0.41719957428186455
406,0.5650816981315262,0.28252679659300667,1.0,0.41719957428186455
729,0.565056738992327,0.28245116283785765,1.0,0.41719957428186455
515,0.5638700190326073,0.2788550417477976,1.0,0.41719957428186455
699,0.5636654676499079,0.27823518907295114,1.0,0.41719957428186455
449,0.5633149052264206,0.27717287869874735,1.0,0.41719957428186455
662,0.5622505363372681,0.27394751842858805,1.0,0.41719957428186455
126,0.5599729164168584,0.2670456398818922,1.0,0.41719957428186455
207,0.5590276012017174,0.26418104832085854,1.0,0.41719957428186455
102,0.558273816856191,0.26189685333441537,1.0,0.41719957428186455
189,0.5578119000506776,0.2604971054389202,1.0,0.41719957428186455
734,0.5576137796275358,0.25989674052030853,1.0,0.41719957428186455
297,0.5574472301988962,0.25939204528200666,1.0,0.41719957428186455
38,0.55636770713444,0.2561207632685031,1.0,0.41719957428186455
647,0.5557856649586262,0.25435699909937043,1.0,0.41719957428186455
596,0.5556315705965721,0.2538900464870852,1.0,0.41719957428186455
210,0.5552086203485884,0.25260837906895295,1.0,0.41719957428186455
