Rank,Feature,Importance
1,85,2.575817924236854
2,96,2.503383944186895
3,101,2.414763010641728
4,171,2.6222746515543744
5,195,2.1110323409164975
6,220,2.122126734020089
7,251,2.9966379191496193
8,281,2.5914280426656253
9,304,2.318572063297811
10,411,2.285478938745327
11,451,2.592305283080623
12,507,2.457607928075248
13,542,2.531839538943312
14,544,2.976536113096669
15,642,2.4325841228418796
16,654,2.2254780307410122
17,692,2.3225689544715573
18,693,1.9645046337000094
19,737,2.425345357794555
20,741,2.2098757421661284
