Rank,Feature,Importance
1,74,2.3150360684054165
2,96,2.663556341575652
3,127,2.6292239115687552
4,182,1.7539465441240443
5,190,2.483041360388683
6,304,2.299867971930111
7,366,2.293230879885967
8,397,2.695001988936709
9,407,2.0421322909730386
10,431,3.2969826885651856
11,460,2.090250693540155
12,461,2.292111383114708
13,500,2.8575314524716755
14,505,3.0982987843690637
15,594,2.24057009544028
16,609,2.5931686807448138
17,613,2.9098478981895144
18,616,1.783657963554142
19,623,3.3871386630125677
20,662,2.6206136180282074
