Rank,Feature,Importance
1,19,3.0802200042856307
2,67,2.3371742905261668
3,163,2.5573869832727967
4,168,2.4704140454534955
5,192,2.3565207353550166
6,243,3.0951445241637257
7,284,2.193521628976765
8,298,2.5337392178819127
9,304,2.3440259430282944
10,316,2.1308415006908024
11,354,2.185520745692819
12,387,2.3422699370688966
13,390,3.6830035391835048
14,454,2.361385950364835
15,457,2.7711120379436225
16,463,2.424301391717442
17,489,2.630569109657636
18,723,2.313363113927904
19,724,2.234375044639167
20,735,2.5590154349264305
