Rank,Feature,Importance
1,8,1.301200507536197
2,91,1.2769068679282658
3,100,1.0313933856777107
4,134,1.1696075700050508
5,218,0.7018334991761096
6,311,1.1552447830503734
7,316,0.9222756058757522
8,439,1.0035415748616454
9,443,1.0945247312175115
10,446,1.3582106140996384
11,506,1.2630245655973356
12,523,1.056707237034463
13,526,1.478094568156983
14,599,1.076044453395879
15,664,1.095176406807939
16,676,1.2395895644103399
17,697,0.9271484849829993
18,710,1.36103591702543
19,726,1.3103085013965245
20,748,1.3149856966480191
