Rank,Feature,Importance
1,4,2.7637512358678182
2,38,3.392532257353415
3,60,2.3014788787285037
4,156,2.4764504949919055
5,264,2.1836286761436146
6,330,2.0977331384545463
7,335,2.5921485973075025
8,393,2.720053047934076
9,411,2.643410680539988
10,448,2.8676350272842956
11,470,3.354398954281155
12,522,2.962796277635404
13,548,2.4653000883737035
14,556,2.447653085074192
15,586,2.743236729736728
16,620,2.940957803036021
17,641,2.383755495540922
18,653,2.470239143159525
19,684,2.5967096875411464
20,717,2.3298952094678915
