Rank,Feature,Importance
1,16,3.141293545870928
2,27,2.802711826552662
3,73,2.2724477072286335
4,95,3.0367875194921763
5,111,3.5508794375039923
6,113,2.744305114712125
7,205,2.1886167370899914
8,222,2.6336970242390696
9,281,1.3779219809801815
10,286,3.0781986343591883
11,339,1.3253848982916487
12,471,2.0118866497148042
13,486,2.249875224411713
14,523,4.040016499409611
15,592,2.3257997087798032
16,653,4.219787707639255
17,693,2.6110312547910532
18,694,1.49271023076509
19,757,1.7988541122843107
20,766,2.903372243610577
