Baseline Accuracy: 0.9400
Low EDI Score Dimensions Accuracy: 0.5800

Cross-Property Accuracies:
intensifier: 0.7667
tense: 0.7567
polarity: 0.8000
factuality: 0.7933
voice: 0.8200
quantity: 0.7867
negation: 0.7733

Incremental Results:
Dimensions: 1, Test Accuracy: 0.6367
Dimensions: 2, Test Accuracy: 0.7300
Dimensions: 3, Test Accuracy: 0.7767
Dimensions: 4, Test Accuracy: 0.7867
Dimensions: 5, Test Accuracy: 0.7600
Dimensions: 6, Test Accuracy: 0.8067
Dimensions: 7, Test Accuracy: 0.8200
Dimensions: 8, Test Accuracy: 0.8500
Dimensions: 9, Test Accuracy: 0.8567
Dimensions: 10, Test Accuracy: 0.8667
Dimensions: 11, Test Accuracy: 0.8700
Dimensions: 12, Test Accuracy: 0.8700
Dimensions: 13, Test Accuracy: 0.8667
Dimensions: 14, Test Accuracy: 0.8800
Dimensions: 15, Test Accuracy: 0.8800
Dimensions: 16, Test Accuracy: 0.8900
Dimensions: 17, Test Accuracy: 0.8967
Dimensions: 18, Test Accuracy: 0.8933
