dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
0,65218.0,2.373625741761085e-90,1.822944569672513e-87,4.446206267493935e-89
1,148329.0,3.661603042186266e-28,2.8121111363990523e-25,8.583989452905195e-28
2,204589.0,1.5216201486175162e-06,0.0011686042741382524,2.064671862435075e-06
3,225321.0,0.011559232935389133,1.0,0.01351216270072885
4,196963.0,1.6216766185892544e-08,1.2454476430765475e-05,2.404339079298354e-08
5,103902.0,6.727548951342274e-57,5.1667575946308666e-54,3.563281099745425e-56
6,120625.0,7.211280460109668e-45,5.538263393364225e-42,2.58797354830104e-44
7,188835.0,6.020007294769929e-11,4.623365602383306e-08,9.733401268175379e-11
8,71511.0,2.252023840416294e-84,1.729554309439714e-81,3.1446441989812978e-83
9,93233.0,2.433947704140431e-65,1.869271836779851e-62,1.6840286817836495e-64
10,242686.0,0.5398431394197405,1.0,0.5617879824855836
11,212966.0,0.00010195919733929207,0.07830466355657631,0.0001287905650601584
12,224109.0,0.007842181090140102,1.0,0.009237415762619015
13,138480.0,1.2156910290443086e-33,9.33650710306029e-31,3.2645129730980035e-33
14,242147.0,0.5013252193877029,1.0,0.5238336986255181
15,237275.0,0.2266930581254203,1.0,0.24383791126095627
16,217109.0,0.0006043705805143344,0.46415660583500884,0.0007402816679984192
17,200673.0,1.6091314068779463e-07,0.00012358129204822628,2.2927883496887994e-07
18,189926.0,1.3352954703236226e-10,1.0255069212085421e-07,2.1188159529102108e-10
19,157214.0,1.1786492440136415e-23,9.052026194024766e-21,2.5498665335281033e-23
20,79229.0,2.5072619637978016e-77,1.9255771881967118e-74,2.5674362509289488e-76
21,210127.0,2.6866693194922866e-05,0.020633620373700763,3.479531260320533e-05
22,204182.0,1.2148820122447842e-06,0.0009330293854039942,1.6513794431929101e-06
23,209709.0,2.1903296257380627e-05,0.01682173152566832,2.8415087036601892e-05
24,116885.0,1.9716732578538787e-47,1.5142450620317788e-44,7.725740112407036e-47
25,152616.0,6.167340180302294e-26,4.7365172584721615e-23,1.409677755497667e-25
26,87755.0,6.605017365458764e-70,5.0726533366723305e-67,5.17617687415544e-69
27,59447.0,5.142369010567335e-96,3.949339400115713e-93,1.161570411798739e-94
28,105721.0,1.6124795371017283e-55,1.2383842844941274e-52,8.041456392819008e-55
29,227680.0,0.02347933298106409,1.0,0.02679365190112514
30,217788.0,0.0007940159767135326,0.609804270115993,0.0009648801742341661
31,202218.0,3.9891483965250807e-07,0.0003063665968531262,5.550119508208808e-07
32,245983.0,0.8026048545595441,1.0,0.8142675406892073
33,212237.0,7.30396373365934e-05,0.05609444147450374,9.25650849414253e-05
34,168684.0,1.9128553522920072e-18,1.4690729105602615e-15,3.709780077172378e-18
35,121676.0,3.6737617981314965e-44,2.821449060964989e-41,1.2883329045502234e-43
36,238382.0,0.2770296935278226,1.0,0.29673473449005267
37,139616.0,5.5289667649857136e-33,4.246246475509028e-30,1.44923087901332e-32
38,187742.0,2.6719349860521903e-11,2.052046069288082e-08,4.356785709741151e-11
39,208748.0,1.3590368735358138e-05,0.010437403188755051,1.769051387924585e-05
40,208639.0,1.2865498344201952e-05,0.0098807027283471,1.6803916204671936e-05
41,235319.0,0.1543537566004763,1.0,0.16814707102009332
42,213015.0,0.00010424811514176455,0.08006255242887518,0.00013125008594897568
