dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
0,240447.0,0.2832440478030027,1.0,0.2947580334860516
1,160704.0,1.1046130799453916e-22,8.483428453980607e-20,1.706927254322054e-22
2,198701.0,1.674238478633562e-08,1.2858151515905756e-05,2.125314300149712e-08
3,72879.0,5.711884286720903e-84,4.386727132201653e-81,1.8827155073826838e-83
4,150913.0,1.5388239472648812e-27,1.1818167914994288e-24,2.536087535406499e-27
5,40927.0,3.4471015642552825e-116,2.647374001348057e-113,1.8009346947945965e-115
6,236527.0,0.13305757163471865,1.0,0.14153492384413285
7,44258.0,1.39267483007012e-112,1.069574269493852e-109,6.990681499959818e-112
8,225142.0,0.0059890000529081245,1.0,0.006646751503805549
9,18957.0,2.0292975235419184e-141,1.5585004980801934e-138,2.1060817541624234e-140
10,72981.0,7.098161335864933e-84,5.451387905944268e-81,2.3296529512582344e-83
11,233284.0,0.06329126528009502,1.0,0.0681734806944081
12,201810.0,1.1431465681743768e-07,8.779365643579213e-05,1.4275391290372707e-07
13,181494.0,5.223840597259329e-14,4.011909578695165e-11,7.281142611062005e-14
14,13762.0,9.438014211614274e-148,7.248394914519762e-145,1.271648230617502e-146
15,102052.0,3.5186551476091126e-59,2.7023271533637986e-56,8.28934709620797e-59
16,2339.0,3.6106421132045167e-162,2.7729731429410687e-159,4.6216219049017813e-160
17,125352.0,1.499760120768682e-42,1.1518157727503478e-39,2.886756322682576e-42
18,53816.0,1.486540746987714e-102,1.1416632936865643e-99,6.272875240036068e-102
19,156288.0,8.20774440841974e-25,6.30354770566636e-22,1.3132391053471583e-24
20,190946.0,8.495164957472096e-11,6.524286687338569e-08,1.1152626815963366e-10
21,76565.0,1.3571980079475635e-80,1.0423280701037288e-77,4.202935766547293e-80
22,185575.0,1.4469270618009505e-12,1.11123998346313e-09,1.9702836586225707e-12
23,174455.0,1.070379372370572e-16,8.220513579805993e-14,1.5336779066802227e-16
24,92759.0,1.3454184273225663e-66,1.0332813521837309e-63,3.5265575159854296e-66
25,148113.0,5.099475955886404e-29,3.9163975341207577e-26,8.588591083598154e-29
26,44848.0,5.978901178432769e-112,4.591796105036366e-109,2.9434590416899784e-111
27,242863.0,0.418745800796951,1.0,0.43109487267031954
28,111736.0,6.303998579308891e-52,4.841470908909228e-49,1.3523661756729688e-51
29,238126.0,0.18446810989366913,1.0,0.1946037203273872
30,69128.0,1.7741571145608303e-87,1.3625526639827177e-84,6.137624612534765e-87
31,57318.0,5.342593644812555e-99,4.103111919216042e-96,2.1941774969069742e-98
32,79722.0,9.2888138463015e-78,7.133809033959552e-75,2.7975721701802166e-77
33,27069.0,8.223851245753227e-132,6.315917756738479e-129,5.902726875456522e-131
34,205741.0,1.1043844186063398e-06,0.0008481672334896689,1.361424130802037e-06
35,192210.0,2.1088095932474386e-10,1.6195657676140329e-07,2.7543635503640016e-10
36,117908.0,1.4751365591567506e-47,1.1329048774323846e-44,3.0702029198709606e-47
37,57474.0,7.667560436075972e-99,5.888686414906347e-96,3.115707097834046e-98
38,161313.0,2.132688344071802e-22,1.637904648247144e-19,3.282374044583455e-22
39,157054.0,1.953103062995082e-24,1.4999831523802229e-21,3.0991387445872373e-24
40,144439.0,5.065002703187104e-31,3.8899220760476955e-28,8.721798376788556e-31
41,180313.0,1.9259917295691817e-14,1.4791616483091314e-11,2.7090872679654424e-14
42,147765.0,3.3173881663449505e-29,2.547754111752922e-26,5.599459586270158e-29
43,299.0,8.156084084657014e-165,6.263872577016587e-162,3.131936288508294e-162
44,73307.0,1.4203206735778342e-83,1.0908062773077766e-80,4.641728839607561e-83
45,162229.0,5.689547939232409e-22,4.36957281733049e-19,8.687023493698788e-22
46,106425.0,7.619179018653741e-56,5.851529486326073e-53,1.7363588980196064e-55
47,73448.0,1.9164905738672038e-83,1.4718647607300126e-80,6.236715087839036e-83
48,230287.0,0.028874276773545024,1.0,0.031454531293734156
49,159702.0,3.706422975437488e-23,2.8465328451359907e-20,5.773900294393491e-23
50,76245.0,6.956049835913743e-81,5.342246273981754e-78,2.1628527425027345e-80
51,248473.0,0.845772838307328,1.0,0.8513152553342436
52,242317.0,0.38519424106294453,1.0,0.39761986174239433
53,236559.0,0.13396437356820964,1.0,0.14230240511809822
54,2564.0,7.048712769841784e-162,5.41341140723849e-159,6.766764259048114e-160
55,202275.0,1.5089771893299106e-07,0.00011588944814053713,1.8813222100736547e-07
56,8824.0,6.694075004691402e-154,5.1410496036029965e-151,1.4280693343341658e-152
57,189986.0,4.20567071220131e-11,3.2299551069706064e-08,5.559303110104314e-11
58,86928.0,1.7618333010663569e-71,1.3530879752189622e-68,4.867222932442309e-71
59,210703.0,1.4984830485351046e-05,0.011508349812749603,1.800993710915431e-05
60,8463.0,2.35057781164502e-154,1.8052437593433756e-151,5.823366965623791e-153
61,237071.0,0.1491316219142597,1.0,0.1577590711159111
62,32712.0,2.4942279881455205e-125,1.9155670948957598e-122,1.520291345155365e-124
63,65280.0,3.7549471778123147e-91,2.8837994325598576e-88,1.347569828298999e-90
64,212677.0,3.9083416672206814e-05,0.030016064004254835,4.61785600065459e-05
65,203090.0,2.4400065492206e-07,0.00018739250298014209,3.027342536028143e-07
66,119387.0,1.5364598751118673e-46,1.1800011840859142e-43,3.12169625419554e-46
