Rank,Feature,Importance
1,13,1.083851831114953
2,28,0.7189109894832733
3,143,1.134406721047813
4,196,0.7642425269817801
5,202,0.6875810727518966
6,230,0.9199655924190275
7,357,0.7438418909841403
8,392,0.6501494141530494
9,415,0.8090160282540289
10,457,0.7330399368062472
11,461,0.7647228823118771
12,472,0.7057197209312537
13,478,1.137692042690548
14,534,0.7579509784503139
15,616,0.523251894127673
16,620,0.7195531527604238
17,677,0.580858685341652
18,723,0.7054759926285054
19,743,0.852113526552247
20,761,0.9414270982630782
