Rank,Feature,Importance
1,2,1.4551044548238456
2,6,1.2395169346703632
3,43,1.9962474738574727
4,78,1.3296920641196557
5,114,1.6280806452038308
6,144,1.5587349966064923
7,208,1.4679337413292193
8,215,1.7909542880283902
9,232,1.486728489138198
10,350,1.7387679676045247
11,359,1.3966591316161883
12,388,2.115647867682844
13,406,1.3171359571824717
14,415,1.7372410640362415
15,499,1.2384815550784012
16,524,1.4364513380847341
17,526,1.3530845628747707
18,647,1.3643854027164786
19,695,2.227524840348958
20,741,1.7220247642125714
