Rank,Feature,Importance
1,2,0.6153010246457437
2,6,0.8224640885487104
3,49,1.1552866159838064
4,139,0.8886211987155677
5,176,0.7382969015910729
6,191,0.56584907070399
7,271,0.6967114224477585
8,394,0.6892537951673532
9,408,0.7622805286847638
10,415,0.5135544344231414
11,420,0.6279452030161187
12,479,1.1874520063331415
13,490,0.5475943134899923
14,503,0.5476875541905785
15,527,1.8077605800935013
16,551,1.6533401083954409
17,605,0.554718479750088
18,627,1.2923820433909117
19,703,0.7475552122843732
20,723,0.596128576709782
