Rank,Feature,Importance
1,49,2.529310729092214
2,68,1.6557785433026393
3,77,1.924376803252904
4,102,3.4255212067733676
5,142,2.4189935325986855
6,214,2.0781336043106937
7,232,3.2411576155998794
8,268,1.955360525477971
9,346,1.91770429249478
10,414,1.7509587330564536
11,452,2.438541086884775
12,517,2.173533108983372
13,569,2.109353156466017
14,635,2.1455513406710236
15,645,2.4188384445595354
16,695,2.6450429301218827
17,705,2.372679854557278
18,709,2.5910647028915292
19,721,2.490309688767623
20,723,2.323652389887588
