Rank,Feature,Importance
1,49,2.3321982448383176
2,91,1.9517373911893288
3,139,2.5509138258071653
4,221,1.8548203403933554
5,241,1.9101412947850687
6,293,2.296017226384322
7,297,1.8733654887974258
8,307,1.9043563310920761
9,343,1.8335269129972243
10,354,1.7978204377096412
11,466,1.8656606761798746
12,522,1.8266639740029822
13,527,2.2610797747385516
14,563,1.6878747900883202
15,616,1.6230672805904838
16,629,1.8817061288482286
17,721,2.8003697283349682
18,736,1.7218774270138766
19,743,1.9097676410869013
20,745,1.7570125133345396
