dimension,edi_score,mi_score,wilcoxon_score,rfe_score
166,0.9346469985470061,0.7447864974632296,1.0,0.9284484952718008
178,0.933964872733042,0.9412491400440146,1.0,0.7285752236211951
91,0.9062421446092778,0.7078173098455597,1.0,0.8233934132008291
635,0.9057477582025101,0.7086305476711562,1.0,0.8201082433413943
407,0.9014531963769956,0.507265981884978,1.0,1.0
568,0.8990463961742508,0.7133131553559802,1.0,0.7819188255152734
464,0.8946662498644998,0.6470887345840717,1.0,0.8262425147384271
363,0.8928635086330876,0.6890120463486236,1.0,0.7753054968168146
129,0.8633453308303376,0.617995071676029,1.0,0.6987315824756587
3,0.8627231511382922,0.5408096543451888,1.0,0.772806101346272
122,0.8557490727097061,0.6199761337843542,1.0,0.6587692297641765
344,0.845090651543247,0.6058364518511544,1.0,0.6196168058650806
705,0.8350223267859527,0.3632677140471668,1.0,0.8118439198825965
612,0.829924424409996,0.4354019204802797,1.0,0.7142202015697
41,0.8106981789992045,0.3072006743976527,1.0,0.74629022059837
569,0.8099610272227391,0.4054923370413366,1.0,0.6443127990723589
519,0.804005785928187,0.3920028815238221,1.0,0.6280260481171125
563,0.8,1.0,1.0,0.0
56,0.7914734567218609,0.9573672836093045,1.0,0.0
182,0.789959627545704,0.38923120216734036,1.0,0.5605669355611798
361,0.7779365999310451,0.8896829996552256,1.0,0.0
346,0.7726846278272426,0.20357521451389896,1.0,0.6598479246223135
419,0.7678468048594481,0.14869392722385594,1.0,0.6905400970733847
738,0.7400401658353314,0.700200829176657,1.0,0.0
179,0.7395237977110626,0.6976189885553129,1.0,0.0
633,0.7378703509255214,0.6893517546276074,1.0,0.0
261,0.7311680479241751,0.6558402396208758,1.0,0.0
302,0.7258675580515039,0.6293377902575196,1.0,0.0
564,0.7227125291821049,0.6135626459105247,1.0,0.0
196,0.7214068857037751,0.6070344285188753,1.0,0.0
554,0.7188694437112739,0.5943472185563697,1.0,0.0
145,0.7185789739853053,0.5928948699265268,1.0,0.0
232,0.7171150142909506,0.5855750714952132,0.9999999999865131,0.0
499,0.7161939970776796,0.5809699853883982,1.0,0.0
605,0.709204215780197,0.5460210789009847,1.0,0.0
198,0.7069058642962415,0.5345293214812075,1.0,0.0
368,0.7017835121438044,0.508917560719022,1.0,0.0
12,0.7002373532327748,0.5011867661638738,1.0,0.0
87,0.6999140338971012,0.49957016948550587,1.0,0.0
420,0.6993445870048086,0.49672293502404324,1.0,0.0
278,0.695396541270216,0.47698270635107987,1.0,0.0
596,0.6902877326067303,0.4514386630336516,1.0,0.0
418,0.6894787222080667,0.4473936110403339,1.0,0.0
57,0.688541545781769,0.44270772890884497,1.0,0.0
709,0.687788103979375,0.43894051989687455,1.0,0.0
736,0.6869496435529989,0.4347482177649947,1.0,0.0
389,0.6867077453535294,0.4335387267676472,1.0,0.0
276,0.6861832516913607,0.4309162584568038,1.0,0.0
138,0.6856946577159095,0.4284732885795481,1.0,0.0
235,0.6851723120840717,0.42586156042035855,1.0,0.0
409,0.6849580385119443,0.42479019255972145,1.0,0.0
703,0.6848853520078757,0.42442676015418446,0.9999999999617313,0.0
470,0.6844705110394949,0.4223525551974742,1.0,0.0
271,0.683453336930735,0.41726668465367467,1.0,0.0
351,0.681250438539948,0.40625219269974056,1.0,0.0
343,0.6803638884623973,0.4018194423119861,1.0,0.0
483,0.679100793428754,0.39550396714376973,1.0,0.0
137,0.6776114678456557,0.38805733922827895,1.0,0.0
753,0.6774406213434149,0.3872031067170746,1.0,0.0
176,0.6773576440339456,0.3867882201697283,1.0,0.0
664,0.6771147906710694,0.3855739533553469,1.0,0.0
393,0.677022169423136,0.3851108471156799,1.0,0.0
141,0.6764361447416029,0.38218072370801426,1.0,0.0
336,0.6756255520662441,0.37812776033122053,1.0,0.0
260,0.675423873061718,0.3771193653085901,1.0,0.0
270,0.6748301586663389,0.37415079333169454,1.0,0.0
412,0.6743504760051202,0.3717523800256009,1.0,0.0
146,0.6743209203253995,0.37160460162699743,1.0,0.0
523,0.6741582034322448,0.3707910171612238,1.0,0.0
37,0.6731942697477254,0.36597134873862724,1.0,0.0
630,0.6731469990073926,0.3657349950369629,1.0,0.0
601,0.6728345010957913,0.36417250547895696,1.0,0.0
453,0.672204569595081,0.361022847975405,1.0,0.0
763,0.670391103349919,0.35195551674959535,1.0,0.0
510,0.6700498447463636,0.35024922373181855,1.0,0.0
61,0.6700456672262405,0.3502283361312023,1.0,0.0
767,0.6696942871031973,0.3484714355159867,1.0,0.0
593,0.668864661327256,0.34432330663628,1.0,0.0
191,0.6685295932464749,0.34264796623237465,1.0,0.0
370,0.6683065798295834,0.34153289914791723,1.0,0.0
725,0.6682806853255959,0.3414034266279798,1.0,0.0
373,0.668217981757318,0.34108990878658996,1.0,0.0
46,0.6678669207799214,0.3393346038996071,1.0,0.0
322,0.6675626021090842,0.3378130105454211,1.0,0.0
64,0.665835329376243,0.329176646881215,1.0,0.0
473,0.6652041987398006,0.32602099369900345,1.0,0.0
45,0.6649952154226274,0.32497607711313714,1.0,0.0
625,0.6648465089042429,0.32423254452121464,1.0,0.0
304,0.6644291928698817,0.32214596434940856,1.0,0.0
481,0.6643901584823431,0.32195079241171565,1.0,0.0
558,0.6643479618607392,0.3217398093036962,1.0,0.0
695,0.6643457575678181,0.32172878783909054,1.0,0.0
40,0.664147584288398,0.3207379214419901,1.0,0.0
