Rank,Feature,Importance
1,3,3.419824150669814
2,41,3.302485986284224
3,91,3.643683292693026
4,122,2.9151878042125277
5,129,3.092029341413431
6,166,4.108573394092381
7,178,3.2240935222676383
8,182,2.480622682661924
9,344,2.7419303667076496
10,346,2.919961248315303
11,363,3.4308844838857997
12,407,4.425203352706826
13,419,3.055780352747639
14,464,3.656291146369407
15,519,2.779142973715065
16,568,3.4601498082147715
17,569,2.8512151586469225
18,612,3.1605696305571818
19,635,3.629145748016844
20,705,3.592574436139118
