Rank,Feature,Importance
1,78,1.8876595550363615
2,90,3.0300736441300486
3,104,2.601208678049942
4,178,1.9168191846667506
5,184,1.6490094543306915
6,190,1.7759729949407737
7,220,2.480602467289011
8,238,2.344262488312525
9,246,2.396194297726728
10,282,2.2877359827883055
11,320,2.215327938406127
12,361,2.8405897972650673
13,389,2.0526931834097977
14,396,2.7327488457270053
15,420,3.066385508618328
16,461,2.1565341643651585
17,471,2.496236012568309
18,569,2.0436043038781744
19,643,3.008386772358691
20,693,1.738190857538078
