Rank,Feature,Importance
1,22,1.6483182220416501
2,83,0.8632963964092484
3,203,1.0277945386874647
4,204,1.0917975961607203
5,216,0.9833143796372215
6,301,0.9678782999392617
7,329,1.5688855774010824
8,423,1.318409734417056
9,426,0.8913058040379
10,454,1.3202307325860412
11,497,0.8533961703989057
12,529,0.8810938454369979
13,533,1.1793676186690023
14,538,0.7860922915558844
15,558,1.2033316511217858
16,564,1.1723177025848242
17,681,1.0003172554844324
18,717,1.1826211721029458
19,764,1.4161604858085863
20,767,1.610446913989037
