Baseline Accuracy: 0.9950
Low EDI Score Dimensions Accuracy: 0.4500

Cross-Property Accuracies:
polarity: 0.6900
quantity: 0.6225
intensifier: 0.6350
voice: 0.6125
synonym: 0.7350
negation: 0.6975
factuality: 0.7400
control: 0.7000
definiteness: 0.7525

Incremental Results:
Dimensions: 1, Test Accuracy: 0.6300
Dimensions: 2, Test Accuracy: 0.6650
Dimensions: 3, Test Accuracy: 0.7275
Dimensions: 4, Test Accuracy: 0.7375
Dimensions: 5, Test Accuracy: 0.7775
Dimensions: 6, Test Accuracy: 0.7850
Dimensions: 7, Test Accuracy: 0.7925
Dimensions: 8, Test Accuracy: 0.8025
Dimensions: 9, Test Accuracy: 0.8225
Dimensions: 10, Test Accuracy: 0.8325
Dimensions: 11, Test Accuracy: 0.8425
Dimensions: 12, Test Accuracy: 0.8625
Dimensions: 13, Test Accuracy: 0.8700
Dimensions: 14, Test Accuracy: 0.8725
Dimensions: 15, Test Accuracy: 0.8650
Dimensions: 16, Test Accuracy: 0.8800
Dimensions: 17, Test Accuracy: 0.8750
Dimensions: 18, Test Accuracy: 0.8925
Dimensions: 19, Test Accuracy: 0.9000
Dimensions: 20, Test Accuracy: 0.9125
Dimensions: 21, Test Accuracy: 0.9200
Dimensions: 22, Test Accuracy: 0.9125
Dimensions: 23, Test Accuracy: 0.9200
Dimensions: 24, Test Accuracy: 0.9250
Dimensions: 25, Test Accuracy: 0.9225
Dimensions: 26, Test Accuracy: 0.9225
Dimensions: 27, Test Accuracy: 0.9300
Dimensions: 28, Test Accuracy: 0.9275
Dimensions: 29, Test Accuracy: 0.9175
Dimensions: 30, Test Accuracy: 0.9150
Dimensions: 31, Test Accuracy: 0.9350
Dimensions: 32, Test Accuracy: 0.9275
Dimensions: 33, Test Accuracy: 0.9300
Dimensions: 34, Test Accuracy: 0.9325
Dimensions: 35, Test Accuracy: 0.9300
Dimensions: 36, Test Accuracy: 0.9300
Dimensions: 37, Test Accuracy: 0.9275
Dimensions: 38, Test Accuracy: 0.9250
Dimensions: 39, Test Accuracy: 0.9275
Dimensions: 40, Test Accuracy: 0.9300
Dimensions: 41, Test Accuracy: 0.9275
Dimensions: 42, Test Accuracy: 0.9300
Dimensions: 43, Test Accuracy: 0.9300
Dimensions: 44, Test Accuracy: 0.9300
Dimensions: 45, Test Accuracy: 0.9300
Dimensions: 46, Test Accuracy: 0.9325
Dimensions: 47, Test Accuracy: 0.9300
Dimensions: 48, Test Accuracy: 0.9300
Dimensions: 49, Test Accuracy: 0.9300
Dimensions: 50, Test Accuracy: 0.9325
Dimensions: 51, Test Accuracy: 0.9325
Dimensions: 52, Test Accuracy: 0.9400
Dimensions: 53, Test Accuracy: 0.9275
Dimensions: 54, Test Accuracy: 0.9325
Dimensions: 55, Test Accuracy: 0.9350
Dimensions: 56, Test Accuracy: 0.9275
Dimensions: 57, Test Accuracy: 0.9275
Dimensions: 58, Test Accuracy: 0.9250
Dimensions: 59, Test Accuracy: 0.9275
Dimensions: 60, Test Accuracy: 0.9300
Dimensions: 61, Test Accuracy: 0.9275
Dimensions: 62, Test Accuracy: 0.9325
Dimensions: 63, Test Accuracy: 0.9425
Dimensions: 64, Test Accuracy: 0.9425
Dimensions: 65, Test Accuracy: 0.9425
Dimensions: 66, Test Accuracy: 0.9400
Dimensions: 67, Test Accuracy: 0.9450
Dimensions: 68, Test Accuracy: 0.9450
Dimensions: 69, Test Accuracy: 0.9375
Dimensions: 70, Test Accuracy: 0.9400
Dimensions: 71, Test Accuracy: 0.9400
Dimensions: 72, Test Accuracy: 0.9375
Dimensions: 73, Test Accuracy: 0.9375
Dimensions: 74, Test Accuracy: 0.9400
Dimensions: 75, Test Accuracy: 0.9375
Dimensions: 76, Test Accuracy: 0.9475
