Rank,Feature,Importance
1,2,3.300241086404386
2,14,2.7700940569319883
3,24,2.494466359893591
4,69,3.1433562967231277
5,129,2.1706300939872127
6,227,2.019420820325234
7,239,3.0140539577694967
8,257,2.3358767822365376
9,360,4.132187837131107
10,467,2.3184023974888315
11,469,2.918525457322333
12,488,3.2362140833211757
13,541,2.4820936311000685
14,555,3.2015252588218095
15,650,2.4510951066506568
16,658,2.473890155270706
17,675,2.6002753673674017
18,694,2.597169164337363
19,750,3.6603238854199627
20,758,2.3547757488202112
