Rank,Feature,Importance
1,73,1.8296885360134558
2,79,1.5950581491106988
3,80,1.277420257750389
4,102,3.234819953655315
5,189,1.6079029844122426
6,191,2.3056111967204487
7,263,1.6529125334607335
8,319,1.3655760535100556
9,362,1.4174538979851508
10,487,1.6249069427981788
11,500,2.051253779102301
12,592,1.2912965186659757
13,614,1.6438318615197955
14,642,1.8611970431385891
15,674,2.1237112701754213
16,691,1.6584521714538114
17,715,1.5626050368574858
18,721,5.485860326211985
19,728,1.9995358881055791
20,738,1.2636262492606374
