Baseline Accuracy: 1.0000
Low EDI Score Dimensions Accuracy: 0.5633

Cross-Property Accuracies:
tense: 0.9433
polarity: 0.9467
factuality: 0.9800
voice: 0.9467
quantity: 0.9733
negation: 0.9467
definiteness: 0.9000

Incremental Results:
Dimensions: 1, Test Accuracy: 0.6300
Dimensions: 2, Test Accuracy: 0.7433
Dimensions: 3, Test Accuracy: 0.7733
Dimensions: 4, Test Accuracy: 0.8133
Dimensions: 5, Test Accuracy: 0.8100
Dimensions: 6, Test Accuracy: 0.8500
Dimensions: 7, Test Accuracy: 0.8600
Dimensions: 8, Test Accuracy: 0.8600
Dimensions: 9, Test Accuracy: 0.8467
Dimensions: 10, Test Accuracy: 0.8867
Dimensions: 11, Test Accuracy: 0.8933
Dimensions: 12, Test Accuracy: 0.9300
Dimensions: 13, Test Accuracy: 0.9400
Dimensions: 14, Test Accuracy: 0.9367
Dimensions: 15, Test Accuracy: 0.9433
Dimensions: 16, Test Accuracy: 0.9500
Dimensions: 17, Test Accuracy: 0.9567
Dimensions: 18, Test Accuracy: 0.9600
Dimensions: 19, Test Accuracy: 0.9700
Dimensions: 20, Test Accuracy: 0.9833
Dimensions: 21, Test Accuracy: 0.9800
Dimensions: 22, Test Accuracy: 0.9800
Dimensions: 23, Test Accuracy: 0.9733
Dimensions: 24, Test Accuracy: 0.9733
Dimensions: 25, Test Accuracy: 0.9667
Dimensions: 26, Test Accuracy: 0.9700
Dimensions: 27, Test Accuracy: 0.9733
Dimensions: 28, Test Accuracy: 0.9700
Dimensions: 29, Test Accuracy: 0.9667
Dimensions: 30, Test Accuracy: 0.9667
Dimensions: 31, Test Accuracy: 0.9800
Dimensions: 32, Test Accuracy: 0.9733
Dimensions: 33, Test Accuracy: 0.9733
Dimensions: 34, Test Accuracy: 0.9800
Dimensions: 35, Test Accuracy: 0.9733
Dimensions: 36, Test Accuracy: 0.9700
Dimensions: 37, Test Accuracy: 0.9733
Dimensions: 38, Test Accuracy: 0.9733
Dimensions: 39, Test Accuracy: 0.9733
Dimensions: 40, Test Accuracy: 0.9700
Dimensions: 41, Test Accuracy: 0.9700
Dimensions: 42, Test Accuracy: 0.9667
Dimensions: 43, Test Accuracy: 0.9667
Dimensions: 44, Test Accuracy: 0.9667
Dimensions: 45, Test Accuracy: 0.9667
Dimensions: 46, Test Accuracy: 0.9667
Dimensions: 47, Test Accuracy: 0.9667
Dimensions: 48, Test Accuracy: 0.9667
Dimensions: 49, Test Accuracy: 0.9633
Dimensions: 50, Test Accuracy: 0.9667
Dimensions: 51, Test Accuracy: 0.9667
Dimensions: 52, Test Accuracy: 0.9667
Dimensions: 53, Test Accuracy: 0.9667
Dimensions: 54, Test Accuracy: 0.9667
Dimensions: 55, Test Accuracy: 0.9700
Dimensions: 56, Test Accuracy: 0.9767
Dimensions: 57, Test Accuracy: 0.9767
Dimensions: 58, Test Accuracy: 0.9767
Dimensions: 59, Test Accuracy: 0.9800
Dimensions: 60, Test Accuracy: 0.9800
Dimensions: 61, Test Accuracy: 0.9800
Dimensions: 62, Test Accuracy: 0.9800
Dimensions: 63, Test Accuracy: 0.9800
Dimensions: 64, Test Accuracy: 0.9733
Dimensions: 65, Test Accuracy: 0.9800
Dimensions: 66, Test Accuracy: 0.9767
