dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
0,120944.0,1.7605861291363762e-45,1.352130147176737e-42,4.347685360696903e-45
1,60376.0,6.03241940265245e-96,4.632898101237082e-93,4.497959321589399e-95
2,246484.0,0.6801668321116252,1.0,0.6891400093162641
3,159690.0,3.6580711977060625e-23,2.809398679838256e-20,6.443574953757467e-23
4,87501.0,5.415480325841995e-71,4.159088890246652e-68,2.0899944172093732e-70
5,176739.0,8.506180434053203e-16,6.53274657335286e-13,1.2859737349119803e-15
6,248406.0,0.840035002595205,1.0,0.8455398191259731
7,88773.0,6.457611116315174e-70,4.959445337330054e-67,2.407497736567987e-69
8,207971.0,3.6928218913120397e-06,0.0028360872125276467,4.55230692219526e-06
9,90923.0,4.077888384810318e-68,3.1318182795343245e-65,1.4772727733652474e-67
10,141510.0,1.1424470307175899e-32,8.773993195911091e-30,2.315037782562293e-32
11,27751.0,5.096776532771067e-131,3.914324377168179e-128,1.5055093758339152e-129
12,132352.0,4.196271460607223e-38,3.2227364817463474e-35,9.181585418080762e-38
13,66411.0,4.598174926425164e-90,3.531398343494526e-87,2.7806286169248232e-89
14,182550.0,1.257235905382542e-13,9.655571753337922e-11,1.8461896277892777e-13
15,14591.0,9.882155175428951e-147,7.589495174729434e-144,1.0842135963899192e-144
16,42442.0,1.5307234577172986e-114,1.1755956155268854e-111,2.0624484482927813e-113
17,243808.0,0.4807125843572967,1.0,0.49224968638187183
18,159155.0,2.0317964023874873e-23,1.5604196370335904e-20,3.587171579387564e-23
19,233292.0,0.06341597212306657,1.0,0.06840374521139765
20,96935.0,3.292297898874249e-63,2.5284847863354233e-60,1.0898641320411308e-62
21,193823.0,6.54817608550518e-10,5.028999233667978e-07,8.822805673101716e-10
22,151462.0,2.96874322475255e-27,2.2799947966099585e-24,5.671628847288454e-27
23,106511.0,8.841621239032125e-56,6.790365111576672e-53,2.5624019288968575e-55
24,109426.0,1.2989914020620455e-53,9.97625396783651e-51,3.6543054827239962e-53
25,40095.0,4.243423677138592e-117,3.2589493840424385e-114,6.933934859664763e-116
26,88250.0,2.336130840496992e-70,1.79414848550169e-67,8.83816987931867e-70
27,95471.0,2.1869102697481847e-64,1.679547087166606e-61,7.334266756186052e-64
28,21026.0,6.171197047602488e-139,4.739479332558711e-136,2.494462806609848e-137
29,134834.0,1.376241673871651e-36,1.056953605533428e-33,2.952384372998402e-36
30,53022.0,2.276211725060228e-103,1.748130604846255e-100,1.942367338718061e-102
31,73094.0,9.029367517648477e-84,6.93455425355403e-81,4.7824512093476064e-83
32,245370.0,0.5932193424367433,1.0,0.6026355224754218
33,184660.0,6.989507293529983e-13,5.367941601431026e-10,1.0052325096312785e-12
34,30044.0,2.2541828997883637e-128,1.7312124670374633e-125,5.584556345282139e-127
35,215009.0,0.0001145221235205797,0.0879529908638052,0.00013615014065604522
36,87546.0,5.913731754241287e-71,4.541745987257309e-68,2.270872993628654e-70
37,84821.0,2.7428631203381528e-73,2.1065188764197014e-70,1.1264806825773804e-72
38,132566.0,5.686108209264582e-38,4.366931104715199e-35,1.2370909645085549e-37
39,227405.0,0.012395896023769531,1.0,0.013717648625727665
40,75021.0,5.335392801120713e-82,4.0975816712607075e-79,2.713630245868018e-81
41,153324.0,2.684527800851111e-26,2.0617173510536532e-23,5.016343919838572e-26
42,36243.0,2.33746969437458e-121,1.7951767252796775e-118,4.6030172443068655e-120
43,126702.0,1.1307790055353026e-41,8.684382762511123e-39,2.6316311401548857e-41
44,210450.0,1.3209569517127297e-05,0.010144949389153765,1.597629825063585e-05
45,227923.0,0.01452673491999744,1.0,0.016052564631018756
