Rank,Feature,Importance
1,2,1.203009097078999
2,136,1.338370426081999
3,162,0.9146485516767304
4,164,1.0513510142123956
5,222,1.2564149263151123
6,253,0.922553607894055
7,273,1.1716497475217418
8,364,1.0636668022055542
9,395,1.1130714108860849
10,473,1.4758091515131322
11,547,1.6529367980777372
12,569,1.0316635483544994
13,603,1.1764584209841749
14,624,1.0089740567955008
15,659,1.1828416539559983
16,724,1.0869827972930042
17,738,1.3186346615631854
18,746,0.8991890939875701
19,747,0.9943973599591502
20,764,1.0369314607809643
