Rank,Feature,Importance
1,73,2.244207803305992
2,79,2.4999087608153316
3,102,2.1342192142842524
4,126,2.774135219631346
5,236,3.715768196614672
6,272,2.655281244343351
7,343,2.0486438235249467
8,378,1.8703631937542802
9,382,2.7293947057370636
10,385,3.3070347589266818
11,418,2.428719217395322
12,438,2.0929985585562716
13,461,2.8730002723462524
14,507,2.926061215082913
15,510,3.751722940380548
16,587,2.527473439724131
17,611,2.562681350647351
18,709,3.0830548434006215
19,737,2.539792685466368
20,751,2.9166307270353387
