Baseline Accuracy: 0.9975
Low EDI Score Dimensions Accuracy: 0.4825

Cross-Property Accuracies:
intensifier: 0.8500
definiteness: 0.8025
quantity: 0.8875
voice: 0.8475
negation: 0.8875
synonym: 0.8100
tense: 0.8750
polarity: 0.8750
control: 0.7775

Incremental Results:
Dimensions: 1, Test Accuracy: 0.7200
Dimensions: 2, Test Accuracy: 0.7850
Dimensions: 3, Test Accuracy: 0.8025
Dimensions: 4, Test Accuracy: 0.8425
Dimensions: 5, Test Accuracy: 0.8550
Dimensions: 6, Test Accuracy: 0.8700
Dimensions: 7, Test Accuracy: 0.8750
Dimensions: 8, Test Accuracy: 0.8950
Dimensions: 9, Test Accuracy: 0.9050
Dimensions: 10, Test Accuracy: 0.9125
Dimensions: 11, Test Accuracy: 0.9175
Dimensions: 12, Test Accuracy: 0.9300
Dimensions: 13, Test Accuracy: 0.9400
Dimensions: 14, Test Accuracy: 0.9375
Dimensions: 15, Test Accuracy: 0.9450
Dimensions: 16, Test Accuracy: 0.9525
