Rank,Feature,Importance
1,181,2.9353107885697063
2,187,2.8906855035114294
3,210,2.5886459428880775
4,260,2.6204245533674837
5,295,3.1465152876579574
6,308,3.0899642670164673
7,350,2.761534500292808
8,359,3.545509538833146
9,363,3.461135881351974
10,402,3.8564179550301523
11,453,3.5927843537910116
12,524,3.6704357573789457
13,532,3.020266816244895
14,591,2.422386168985088
15,596,3.9091067984960417
16,622,2.6701091607087757
17,628,3.245598868384721
18,636,3.0217190268269407
19,670,3.365559085937473
20,758,3.4737930059889726
