Rank,Feature,Importance
1,33,2.991008154902916
2,123,2.6513313353617933
3,154,2.398137708997032
4,167,3.367131433791595
5,173,2.795626717771131
6,239,3.1767767164477827
7,250,2.993819695603964
8,340,2.2495744865224525
9,366,3.4350408007114615
10,451,2.604367467410942
11,488,2.2213127140356788
12,516,2.9527896557723934
13,570,2.4789511335501637
14,593,2.2350163225199884
15,598,2.4606371378320055
16,601,2.4445569248724754
17,633,2.105573789667139
18,671,2.486289708021341
19,675,2.8949378669011745
20,765,2.4225798550752358
