Baseline Accuracy: 0.9750
Low EDI Score Dimensions Accuracy: 0.6025

Cross-Property Accuracies:
factuality: 0.8900
intensifier: 0.8050
definiteness: 0.8225
quantity: 0.8625
voice: 0.8350
synonym: 0.7875
tense: 0.8800
polarity: 0.8775
control: 0.8675

Incremental Results:
Dimensions: 1, Test Accuracy: 0.7875
Dimensions: 2, Test Accuracy: 0.8200
Dimensions: 3, Test Accuracy: 0.8100
Dimensions: 4, Test Accuracy: 0.8525
Dimensions: 5, Test Accuracy: 0.8675
Dimensions: 6, Test Accuracy: 0.8950
Dimensions: 7, Test Accuracy: 0.9000
Dimensions: 8, Test Accuracy: 0.9025
Dimensions: 9, Test Accuracy: 0.9075
Dimensions: 10, Test Accuracy: 0.9125
Dimensions: 11, Test Accuracy: 0.9175
Dimensions: 12, Test Accuracy: 0.9075
Dimensions: 13, Test Accuracy: 0.9125
Dimensions: 14, Test Accuracy: 0.9100
Dimensions: 15, Test Accuracy: 0.9100
Dimensions: 16, Test Accuracy: 0.9175
Dimensions: 17, Test Accuracy: 0.9150
Dimensions: 18, Test Accuracy: 0.9225
Dimensions: 19, Test Accuracy: 0.9225
Dimensions: 20, Test Accuracy: 0.9225
Dimensions: 21, Test Accuracy: 0.9200
Dimensions: 22, Test Accuracy: 0.9225
Dimensions: 23, Test Accuracy: 0.9250
Dimensions: 24, Test Accuracy: 0.9250
Dimensions: 25, Test Accuracy: 0.9250
Dimensions: 26, Test Accuracy: 0.9300
