Rank,Feature,Importance
1,71,3.5086954811279902
2,83,2.525642813511673
3,92,2.6653880494763067
4,127,2.90616304123564
5,181,2.997858228073003
6,227,3.0685852310814785
7,308,3.8958183589648563
8,338,2.696600515309238
9,365,2.8649304674992395
10,442,2.8213085821508503
11,463,3.6721981792976455
12,477,2.8168246167351962
13,478,2.5297878419493816
14,523,3.722288015184967
15,550,2.7702826873513695
16,631,3.0413953617689913
17,667,3.1527557638533437
18,694,3.3934121523607237
19,738,3.167178980968626
20,760,2.732609171665553
