Rank,Feature,Importance
1,6,2.843632974267296
2,126,2.1392287703248782
3,150,2.350225632783422
4,286,2.9382833487502285
5,313,2.663491613635471
6,384,2.2698439016795504
7,396,2.470015255764067
8,406,2.76725848455536
9,407,2.5762250600738286
10,415,2.3862701985382784
11,440,2.289378995179408
12,516,2.541550201242873
13,531,2.902190898003982
14,576,3.217655315041704
15,611,2.9792180151823717
16,665,2.8013952956957837
17,673,2.799911361988167
18,704,2.8364469686771714
19,706,2.6474974212395157
20,738,2.5652362541096685
