Baseline Accuracy: 0.9950
Low EDI Score Dimensions Accuracy: 0.5025

Cross-Property Accuracies:
factuality: 0.7800
intensifier: 0.7150
definiteness: 0.7975
voice: 0.7575
negation: 0.8525
synonym: 0.8050
tense: 0.8300
polarity: 0.8525
control: 0.7500

Incremental Results:
Dimensions: 1, Test Accuracy: 0.6800
Dimensions: 2, Test Accuracy: 0.7625
Dimensions: 3, Test Accuracy: 0.7400
Dimensions: 4, Test Accuracy: 0.8050
Dimensions: 5, Test Accuracy: 0.8075
Dimensions: 6, Test Accuracy: 0.8525
Dimensions: 7, Test Accuracy: 0.8625
Dimensions: 8, Test Accuracy: 0.8775
Dimensions: 9, Test Accuracy: 0.8550
Dimensions: 10, Test Accuracy: 0.8775
Dimensions: 11, Test Accuracy: 0.8775
Dimensions: 12, Test Accuracy: 0.8975
Dimensions: 13, Test Accuracy: 0.9050
Dimensions: 14, Test Accuracy: 0.9150
Dimensions: 15, Test Accuracy: 0.9275
Dimensions: 16, Test Accuracy: 0.9225
Dimensions: 17, Test Accuracy: 0.9200
Dimensions: 18, Test Accuracy: 0.9425
Dimensions: 19, Test Accuracy: 0.9400
Dimensions: 20, Test Accuracy: 0.9475
