Dimension,Mutual_Information
1,0.03506736074959233
2,0.0170138881007589
3,0.04780309594646334
4,0.020133052453495344
5,0.0018782691426844282
6,0.01957506411902163
7,0.03678459760058801
8,0.024040387936659115
9,0.0068489220677981424
10,0.030783717029092376
11,0.013546294030317617
12,0.030070486621606198
13,0.019203123945668386
14,0.045546304679394314
15,0.010098350971629933
16,0.00991538472788369
17,0.0058929339988712595
18,0.02034319750364303
19,0.01365560346048391
20,0.007865824416245275
21,0.014176931765023291
22,0.00556582934184912
23,0.008079380493624798
24,0.018128227357726658
25,0.007065541604857818
26,0.060312399921707525
27,0.008908345776850853
28,0.0402759373546382
29,0.02423923222575542
30,0.005640186549941022
31,0.018103926452868215
32,0.011727639844248842
33,0.009669684501762817
34,0.012976234799053014
35,0.014447531041829283
36,0.013361411893830576
37,0.04876124753590623
38,0.0356084605131845
39,0.010722379014515733
40,0.011748909338377321
41,0.008986878868588156
42,0.0111216934618237
43,0.008543227392416093
44,0.060154851739950804
45,0.013620179849744861
46,0.010323041633500514
47,0.042339277059208626
48,0.0141602872806346
49,0.02952891892621317
50,0.008821248812830744
51,0.01646047170531654
52,0.005399836107240978
53,0.016548653539669646
54,0.011463933767459196
55,0.007173762274842337
56,0.0335872497380395
57,0.015598723373784963
58,0.025019687245728554
59,0.029933270467775684
60,0.002936689357182796
61,0.0056789381614259435
62,0.005818548829460972
63,0.0045868660507296585
64,0.0546657695176139
65,0.02318421205993877
66,0.008375675413649981
67,0.03208043496046221
68,0.007742689333936105
69,0.009495117277385771
70,0.01616805904684792
71,0.015183320202152205
72,0.05685747140659565
73,0.010630126658329818
74,0.03213328219618359
75,0.018669914865131025
76,0.04571006327338483
77,0.014204739612492363
78,0.011675399359947818
79,0.0114916533705295
80,0.007779253349865635
81,0.013676682344848852
82,0.007764666794790008
83,0.019507141618835815
84,0.043917290263209195
85,0.013199568971861274
86,0.009109635016005889
87,0.005737440010113025
88,0.014521524867079534
89,0.01923858556110792
90,0.011554733573680191
91,0.0025019786479667447
92,0.0078403361185573
93,0.03640497982813553
94,0.016271231205666627
95,0.0059492391292662525
96,0.005204336495210397
97,0.026216359397195736
98,0.016294558636313912
99,0.02008511984145869
100,0.014497312748103335
101,0.006155655164692485
102,0.003110609183182837
103,0.09492270240925314
104,0.008141073589483612
105,0.004440214830606477
106,0.004274483983439596
107,0.01589796951228157
108,0.01809036531654177
109,0.012642649323375617
110,0.005504675855428756
111,0.0062176066421973306
112,0.014458940875139749
113,0.013191066899431857
114,0.016016486282119623
115,0.0022554791990827753
116,0.011028043348449847
117,0.013423859030871309
118,0.004152415506578598
119,0.015065069992576195
120,0.005460800438891487
121,0.007922808764704158
122,0.02304202402041903
123,0.006200868686151349
124,0.02090198627399196
125,0.009425269440671867
126,0.05541560608204618
127,0.007217445583185898
128,0.006022577024183733
129,0.03641467349230907
130,0.019625241405015904
131,0.012217973234777045
132,0.00426701961967426
133,0.045283843221058835
134,0.03139744455947909
135,0.008320735930561922
136,0.029452495360071766
137,0.03283125160502963
138,0.0037890399096712143
139,0.016921399832436644
140,0.018060455730701343
141,0.008412633978718227
142,0.008173835756769367
143,0.011776489329420069
144,0.009792025828420255
145,0.01768513948007775
146,0.024914806473795063
147,0.0024166526015697506
148,0.00624246852831583
149,0.011672200107576837
150,0.023099599531320215
151,0.020198964389580902
152,0.010252464453145364
153,0.011405948419622856
154,0.03691345057874601
155,0.025802976246854993
156,0.013226688541383574
157,0.003670184566805838
158,0.02382433187998457
159,0.01382883507474928
160,0.015296373487899577
161,0.012426506007476502
162,0.007162736248624978
163,0.021010616543599016
164,0.03189626913894871
165,0.02692965543218912
166,0.06798487693079529
167,0.02015355628976883
168,0.01987297410989481
169,0.01947496063572255
170,0.027365480369579455
171,0.004649548871132579
172,0.018893870922115315
173,0.005903409372002892
174,0.017295923798934326
175,0.006998190593596763
176,0.03192974115623195
177,0.01999830266350803
178,0.0069980781307143955
179,0.0057560857351581715
180,0.0046925535678481855
181,0.02016452912487312
182,0.04027041331558167
183,0.02774792702783093
184,0.01375925261404335
185,0.023143148180133723
186,0.008343945772279267
187,0.024857090613882533
188,0.017166352436491263
189,0.008934295243807337
190,0.013211005891731235
191,0.008481531168325625
192,0.013295940027761459
193,0.007379487953044321
194,0.008149550724277322
195,0.005155510235345266
196,0.014791129493869702
197,0.013735615807582008
198,0.011583229966255819
199,0.04796955449551552
200,0.019518283550337467
201,0.008553899156973986
202,0.011758332352590155
203,0.013791105619067469
204,0.01512647371315868
205,0.03718613371421892
206,0.019791658995624607
207,0.02329038651260499
208,0.01280022916452244
209,0.011827793627147878
210,0.01422429847308794
211,0.05256187139848771
212,0.017248881102054865
213,0.02868003543736715
214,0.014731169368865642
215,0.018410020985305066
216,0.01330311180555762
217,0.009882153768872255
218,0.05919584030136774
219,0.011913929809880895
220,0.06572152548101468
221,0.016875166365876056
222,0.03359848300556916
223,0.0012947270278306153
224,0.014077375614668465
225,0.02746474402546189
226,0.019795293630478113
227,0.020874753754715425
228,0.0062517427673849865
229,0.003183669961542311
230,0.041353762327727424
231,0.026138942662919377
232,0.009376168998611482
233,0.006009806024797691
234,0.050080107164455816
235,0.00730488901345213
236,0.007975788742689054
237,0.007998146902787197
238,0.05657571606182325
239,0.01592576895108709
240,0.0070367946038974935
241,0.007819845205415794
242,0.010002853843323771
243,0.009663331309951416
244,0.008675344589149293
245,0.028429811219587854
246,0.009408739486365898
247,0.016326667696527124
248,0.011968277438316043
249,0.004571903893685746
250,0.03108648547236916
251,0.00978850297333602
252,0.040821884116900194
253,0.004949055816144486
254,0.01654167457909051
255,0.009458075327376476
256,0.003966256669374078
257,0.00717102263655655
258,0.010191171271589743
259,0.008351739285236588
260,0.008520352412662725
261,0.01699457043656207
262,0.009120426341877104
263,0.04589089954205893
264,0.009778639943148239
265,0.009808833289857717
266,0.011551242878117061
267,0.009864084312863435
268,0.018770289948044812
269,0.010268690898184461
270,0.010126105619330493
271,0.0021079375540941844
272,0.008032615736570443
273,0.006776000817737431
274,0.022838944896932035
275,0.011653390669392437
276,0.01685910021410126
277,0.01936680305198308
278,0.013470248287434462
279,0.0075394102344191315
280,0.023002959164966412
281,0.011428598506157593
282,0.027765346187519142
283,0.015127780253880223
284,0.019846358188820173
285,0.003390718128536994
286,0.006710442329916334
287,0.008989543256967929
288,0.02956214168234305
289,0.009450606469164353
290,0.017138112174419413
291,0.00932606785269769
292,0.006044580244370774
293,0.016375423312287994
294,0.017346035339813902
295,0.007758986342785344
296,0.004682457999984312
297,0.015028195589155663
298,0.02066555530382986
299,0.004952881853695988
300,0.06316343681186723
301,0.007160854991424041
302,0.014276653099951665
303,0.011168464821324352
304,0.03366683351576979
305,0.07666219742849952
306,0.04066730636265344
307,0.009419404394969848
308,0.018316806086057034
309,0.010468155321704496
310,0.006160068868564343
311,0.005268114997576533
312,0.030937822636881197
313,0.011867030150971215
314,0.009837467373672788
315,0.010311079997628654
316,0.00745977816899062
317,0.008478725508434475
318,0.007484827830769404
319,0.007954465346070909
320,0.011346336452483959
321,0.012026366197341022
322,0.0052604525162706015
323,0.019698067628200804
324,0.06551767858103998
325,0.006258930527012256
326,0.01454118052654068
327,0.02869561012704134
328,0.005320394420322609
329,0.05410557977282237
330,0.018246532799108782
331,0.0075347191005296285
332,0.005661636763909371
333,0.009608320701022417
334,0.012776736467050895
335,0.015134933217032083
336,0.0355046490113637
337,0.005378830288628643
338,0.01403040713836879
339,0.01506761460617722
340,0.016992066035368535
341,0.007631535557941813
342,0.008048915583066772
343,0.00359624815629974
344,0.012319684699307769
345,0.014952856346973402
346,0.10008223630327945
347,0.012472382196475097
348,0.0201761097462742
349,0.011200415517114627
350,0.016014736361109227
351,0.04375486311675389
352,0.008597652138536103
353,0.00797569141583069
354,0.054401370451445344
355,0.04216840096587443
356,0.012659787280000924
357,0.0024966221071799563
358,0.010943887127142234
359,0.007384618367810243
360,0.014445701314330116
361,0.008441746621503966
362,0.00812959378882682
363,0.00615352721590761
364,0.025972000025178646
365,0.007822983634446133
366,0.01726584540215812
367,0.018528835509291318
368,0.015254817524517274
369,0.021178940073863596
370,0.008341096928548043
371,0.024680216583792262
372,0.0043836450763634835
373,0.005549164066067917
374,0.006811405610234654
375,0.03193665159255964
376,0.010728226903934247
377,0.026267120213073904
378,0.004584252925868414
379,0.03508214905682318
380,0.012375524416263488
381,0.04928153706221346
382,0.002103707934256814
383,0.029747378693725367
384,0.02777543002475407
385,0.05659139750110131
386,0.009708094522894013
387,0.006587000635918515
388,0.010459938061498107
389,0.005482329765927101
390,0.006990679198585377
391,0.02923718926356781
392,0.018104038489552804
393,0.007650992658467325
394,0.0147321551484395
395,0.0038209701509761204
396,0.0024702318517323615
397,0.008685852172439772
398,0.008005607681471967
399,0.009701157367942796
400,0.004458289102098716
401,0.008076443166872775
402,0.010304960258179903
403,0.02809202562422352
404,0.05097553876266386
405,0.03731414184157738
406,0.013681415625184802
407,0.006033521923206116
408,0.011633285183924126
409,0.017283497419272396
410,0.004299597747408311
411,0.009009670414348823
412,0.1002823145874255
413,0.0148671773186368
414,0.0077804022532215675
415,0.03097034363453694
416,0.011418919110131868
417,0.005500383770890092
418,0.011833895202934062
419,0.008817086658423255
420,0.007767754231560391
421,0.034981968546930836
422,0.0072459207501116354
423,0.008365631943632122
424,0.012973850881081404
425,0.036546286275792914
426,0.007786119493705411
427,0.0044854109309009835
428,0.05096453154327353
429,0.013561579845001288
430,0.009440531582237836
431,0.030523112501232255
432,0.0148331361498956
433,0.004565217888402882
434,0.009437081377571217
435,0.007252351476749387
436,0.008493536478886947
437,0.006876905305734836
438,0.010239956841064261
439,0.00816502062677179
440,0.0175024012694927
441,0.0429408004120164
