Rank,Feature,Importance
1,28,3.4687819142039578
2,47,3.5530856220213387
3,71,3.5785092228558857
4,75,3.0602430277593657
5,125,3.380122113771126
6,150,3.471996607197179
7,181,3.8656691148220075
8,224,4.37914831793386
9,304,4.474396578063141
10,345,5.143734801880549
11,411,3.6272592799238628
12,427,2.8415384985585157
13,430,3.7260662942869924
14,452,3.0772462338126667
15,553,3.673036478364815
16,576,3.096479585582003
17,591,4.439539642058975
18,658,3.4351203139403013
19,684,3.3822832169872465
20,706,4.5495382219731635
