Rank,Feature,Importance
1,11,1.1957812196450073
2,18,1.3339121299756636
3,129,1.1375882280124623
4,146,1.3465263340589377
5,237,1.206582151027549
6,275,1.1933540459219223
7,313,1.2266658536312165
8,344,1.211356837960197
9,407,1.2187625568432872
10,442,1.1185321856803896
11,490,1.1783854397266122
12,511,1.1130586419838824
13,535,2.0710404787409793
14,583,1.5487463950762306
15,586,1.8110433520784393
16,609,1.2820971213616235
17,632,1.3069026627538445
18,675,1.3993113101407428
19,698,1.0225703902644645
20,749,1.1636253891302066
