Baseline Accuracy: 0.9925
Low EDI Score Dimensions Accuracy: 0.5200

Cross-Property Accuracies:
factuality: 0.8050
intensifier: 0.8325
definiteness: 0.7725
quantity: 0.8475
voice: 0.7600
negation: 0.7925
synonym: 0.8025
polarity: 0.7875
control: 0.7275

Incremental Results:
Dimensions: 1, Test Accuracy: 0.6825
Dimensions: 2, Test Accuracy: 0.7525
Dimensions: 3, Test Accuracy: 0.7750
Dimensions: 4, Test Accuracy: 0.8000
Dimensions: 5, Test Accuracy: 0.8500
Dimensions: 6, Test Accuracy: 0.8650
Dimensions: 7, Test Accuracy: 0.8650
Dimensions: 8, Test Accuracy: 0.8675
Dimensions: 9, Test Accuracy: 0.9050
Dimensions: 10, Test Accuracy: 0.9300
Dimensions: 11, Test Accuracy: 0.9175
Dimensions: 12, Test Accuracy: 0.9250
Dimensions: 13, Test Accuracy: 0.9300
Dimensions: 14, Test Accuracy: 0.9250
Dimensions: 15, Test Accuracy: 0.9275
Dimensions: 16, Test Accuracy: 0.9375
Dimensions: 17, Test Accuracy: 0.9525
