Rank,Feature,Importance
1,33,3.415781957647284
2,48,3.6986707597956685
3,94,3.659696782214101
4,106,3.0132732079568885
5,112,3.2053698669031423
6,116,3.767182005377441
7,181,2.9789863730078463
8,183,3.325053131498664
9,256,3.530187881647024
10,259,3.4235520107558304
11,362,2.871753046224101
12,427,4.331628996783047
13,456,3.350065369796196
14,601,3.6634709868619293
15,630,2.8192774750580667
16,675,2.6485273326063203
17,694,2.974000964383575
18,717,3.3348150842540183
19,737,3.0081051677350903
20,759,3.7273577087641736
