Rank,Feature,Importance
1,118,3.533152803880919
2,178,2.0570067491355037
3,183,2.8740590775579
4,205,2.94158388658728
5,271,2.3153295637397946
6,364,3.133596106688862
7,381,2.1095871591590076
8,402,2.197084794874544
9,442,5.5359180284575755
10,444,2.3316692777478036
11,484,2.0394600288462854
12,540,1.9746653636919085
13,541,2.5490027829658644
14,576,2.4031071468262066
15,610,2.7031272473937817
16,620,2.7108830129660393
17,687,2.682304119861754
18,690,2.8168536668216895
19,730,2.3978909442457517
20,748,2.3055054549148215
