dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
0,24229.0,3.893804981411645e-135,2.9904422257241435e-132,8.544120644926124e-134
1,153729.0,4.310248066135762e-26,3.310270514792265e-23,7.058146086977111e-26
2,132162.0,3.2026814293109516e-38,2.459659337710811e-35,6.405362858621903e-38
3,158620.0,1.1246933249665923e-23,8.63764473574343e-21,1.7627846399476384e-23
4,203700.0,3.4786678160822527e-07,0.000267161688275117,4.1874872770394516e-07
5,79331.0,4.1652452656610837e-78,3.198908364027712e-75,1.5232896971560534e-77
6,131467.0,1.1875779102282137e-38,9.120598350552682e-36,2.3875911912441576e-38
7,188371.0,1.2576874372365303e-11,9.659039517976552e-09,1.6827594979053227e-11
8,86809.0,1.3947869478143604e-71,1.0711963759214287e-68,4.558282450729485e-71
9,212868.0,4.278085707365425e-05,0.03285569823256646,4.948147324181696e-05
10,141508.0,1.1394575444543635e-32,8.751033941409512e-30,2.0885522533196927e-32
11,134536.0,9.086203177729427e-37,6.978204040496199e-34,1.789283087306718e-36
12,155991.0,5.853823870986274e-25,4.495736732917458e-22,9.327254632608836e-25
13,99458.0,3.3187005094824934e-61,2.548761991282555e-58,9.03816308965445e-61
14,140719.0,4.031947767807944e-33,3.096535885676501e-30,7.515863800185682e-33
15,121849.0,7.16966754146634e-45,5.5063046718461494e-42,1.559859680409674e-44
16,166340.0,4.1155938457806305e-20,3.160776073559524e-17,6.173390768670946e-20
17,157194.0,2.2867584749468598e-24,1.7562305087591883e-21,3.628575431320637e-24
18,233653.0,0.06925574278160927,1.0,0.07397553610052285
19,71206.0,1.5896972072533264e-85,1.2208874551705548e-82,6.635257908535623e-85
20,69939.0,1.03188711263916e-86,7.924893025068749e-84,4.3543368269608515e-86
21,189045.0,2.0892306348909996e-11,1.6045291275962877e-08,2.785640846521333e-11
22,96931.0,3.268134367678345e-63,2.509927194376969e-60,9.061109004971007e-63
23,144656.0,6.680844446195029e-31,5.130888534677782e-28,1.1877056793235607e-30
24,205622.0,1.0338222138228582e-06,0.0007939754602159551,1.2347985384384992e-06
25,56263.0,4.606353885838408e-100,3.537679784323897e-97,2.8301438274591177e-99
26,45418.0,2.433737989715201e-111,1.8691107761012742e-108,2.1239895182969026e-110
