dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
0,102540.0,8.385744227047043e-59,6.440251566372129e-56,3.2041052569015566e-58
1,182808.0,1.5550285803994847e-13,1.1942619497468042e-10,2.422438031940779e-13
2,182579.0,1.2876913954554116e-13,9.889469917097561e-11,2.0141486592866725e-13
3,92444.0,7.406474994051075e-67,5.688172795431226e-64,3.6697889002782105e-66
4,202301.0,1.532482138053951e-07,0.00011769462820254345,2.0540074729937774e-07
5,88380.0,3.008812627084765e-70,2.3107680976010997e-67,1.6505486411436426e-69
6,83220.0,1.1198660801372048e-74,8.600571495453733e-72,6.719196480823229e-74
7,101626.0,1.6450151412670749e-59,1.2633716284931134e-56,6.413053951741693e-59
8,119100.0,9.771135644150595e-47,7.504232174707657e-44,3.0259000704466356e-46
9,93696.0,7.890158910601477e-66,6.059642043341935e-63,3.7637528219515122e-65
10,176650.0,7.855238321752713e-16,6.032823031106084e-13,1.2835793683204435e-15
11,68895.0,1.0683895171230735e-87,8.205231491505205e-85,8.547116136984588e-87
12,160445.0,8.339283453667308e-23,6.404569692416493e-20,1.6549275690998689e-22
13,205822.0,1.1550518022032443e-06,0.0008870797840920916,1.5009810221524393e-06
14,214323.0,8.401231704972051e-05,0.06452145949418535,0.00010423499110530752
15,132641.0,6.324211856313351e-38,4.856994705648654e-35,1.6244129450329943e-37
16,79508.0,5.990106563325354e-78,4.600401840633872e-75,3.965863655718855e-77
17,118506.0,3.816775546107603e-47,2.9312836194106394e-44,1.1915787070774957e-46
18,240722.0,0.2969677813633622,1.0,0.3128549466214845
19,109975.0,3.2871583431226094e-53,2.524537607518164e-50,1.1371791024856594e-52
20,127547.0,3.9603203755738033e-41,3.041526048440681e-38,1.098023844202412e-40
21,118289.0,2.7045786379199723e-47,2.0771163939225387e-44,8.547804090216209e-47
22,37099.0,2.0982296431840186e-120,1.6114403659653264e-117,4.739530488133312e-119
23,79588.0,7.058295590403048e-78,5.420771013429541e-75,4.5938737401945255e-77
24,191091.0,9.438138677512917e-11,7.24849050432992e-08,1.385944647099411e-10
25,110663.0,1.0469210258192645e-52,8.040353478291952e-50,3.589443517094621e-52
26,36506.0,4.591901487366274e-121,3.5265803422972985e-118,1.1020563569679058e-119
27,172623.0,1.9415316692635122e-17,1.4910963219943773e-14,3.313547382209727e-17
28,158656.0,1.1704800747532108e-23,8.989286974104658e-21,2.3781182471176345e-23
29,160058.0,5.470854106321425e-23,4.201615953654854e-20,1.091328819131131e-22
30,240047.0,0.26406058108751473,1.0,0.27933681305125524
31,118435.0,3.4101774611343076e-47,2.6190162901511483e-44,1.0689862408780196e-46
32,237903.0,0.17652492292020183,1.0,0.19014185245822582
33,52604.0,8.449830618457314e-104,6.489469914975217e-101,1.118874123271589e-102
34,107014.0,2.1067887992454887e-55,1.6180137978205353e-52,7.560812139348296e-55
35,101684.0,1.824679185818035e-59,1.401353614708251e-56,7.07754350862753e-59
36,141282.0,8.468204026569973e-33,6.503580692405739e-30,1.9949634025784476e-32
37,192679.0,2.9409307518144544e-10,2.2586348173935009e-07,4.237588775597563e-10
38,78086.0,3.200017445417025e-79,2.4576133980802752e-76,2.214066124396644e-78
39,174874.0,1.572860091398284e-16,1.2079565501938821e-13,2.6146245675192253e-16
40,112720.0,3.231808114678063e-51,2.4820286320727524e-48,1.0838552978483635e-50
41,246598.0,0.6893356875769954,1.0,0.7040024043339528
42,40495.0,1.1629697824070104e-116,8.931607928885839e-114,2.178440958264839e-115
43,62529.0,7.955066697778679e-94,6.109491223894025e-91,7.733533194802564e-93
44,121077.0,2.1654548558435933e-45,1.6630693292878796e-42,6.471086884388636e-45
45,203690.0,3.4586234812271935e-07,0.00026562228335824846,4.587604203078557e-07
46,208522.0,4.932278941196112e-06,0.0037879902268386136,6.271506998077175e-06
