dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
0,250230.5,0.9982969008821364,1.0,0.9982969008821364
1,204311.5,4.942140379708938e-07,0.00037955638116164643,3.450512556014968e-06
2,233622.5,0.06874550832152794,1.0,0.11784944283690503
3,234717.5,0.0890882099832105,1.0,0.14313754239980264
4,229700.5,0.024487009410379013,1.0,0.048469132028791446
5,241543.5,0.34057196510331567,1.0,0.4442302547929579
6,220921.5,0.0013256304234143927,1.0,0.003827384079632532
7,248854.5,0.8785914894938205,1.0,0.9064277620551952
8,209871.5,9.873115199835584e-06,0.007582552473473728,5.055034982315819e-05
9,247706.5,0.7806914969093333,1.0,0.8350572000367241
10,249633.5,0.9461966656941039,1.0,0.9586794713101211
11,237945.5,0.1780182370170944,1.0,0.2594269564120086
12,237101.5,0.15007449107995527,1.0,0.22336668439807295
13,212131.5,3.01211583811489e-05,0.023133049636722355,0.00013218885506698487
14,225806.5,0.007458494238317358,1.0,0.017305509290113992
15,202328.5,1.5576623407091338e-07,0.00011962846776646148,1.2592470291206471e-06
16,185922.5,1.9024606326590215e-12,1.4610897658821286e-09,7.305448829410642e-11
17,239740.5,0.24998050973439634,1.0,0.34467689672534363
18,243889.5,0.48628068210910647,1.0,0.5872068614147701
19,204179.5,4.583020935219789e-07,0.0003519760078248798,3.289495400232522e-06
20,218604.5,0.0005322118835507518,0.40873872656697735,0.0017393137300722441
21,242204.5,0.3784905108062018,1.0,0.4820575660019286
22,228120.5,0.0154204221339233,1.0,0.03288307354966055
23,235512.5,0.10670010690386897,1.0,0.16621842211393786
24,196804.5,4.907432717927006e-09,3.768908327367941e-06,6.178538241586789e-08
25,243660.5,0.4707228002395285,1.0,0.5756610041145827
26,246544.5,0.6850266097928353,1.0,0.7580697929695929
27,248419.5,0.8411902763879775,1.0,0.8898541766748853
28,219245.5,0.000689220134291495,0.5293210631358681,0.0021872771203961493
29,229224.5,0.021363105904853342,1.0,0.043404405647955994
30,225363.5,0.006446919616667193,1.0,0.01532889865510961
31,236615.5,0.13557670807648517,1.0,0.20456367741206408
32,234755.5,0.08987308656619826,1.0,0.1440971408827563
33,224008.5,0.0040728752579157305,1.0,0.01016982274879197
34,215502.5,0.00014263711267037556,0.10954530253084843,0.0005423034778754873
35,225886.5,0.007655650603814,1.0,0.0177094568184613
36,185851.5,1.7991786946209247e-12,1.3817692374688701e-09,7.272469670888791e-11
37,189910.5,3.977432401218311e-11,3.054668084135663e-08,9.695085353578318e-10
38,224411.5,0.004678888096695107,1.0,0.011517263007249494
39,211920.5,2.7209614276392688e-05,0.020896983764269586,0.00012079181366629819
40,202227.5,1.4669073117531377e-07,0.00011265848154264099,1.2245487124200106e-06
41,231326.5,0.03832006209858179,1.0,0.07007097069454955
42,237386.5,0.159109876592194,1.0,0.2349930485053942
43,244938.5,0.5609639161929354,1.0,0.6507859329851577
44,247606.5,0.7723026388582978,1.0,0.8295502470533883
45,228612.5,0.017860571880551183,1.0,0.03727423696810681
46,237143.5,0.15138087833347208,1.0,0.22487526994217902
47,223789.5,0.003774301006296701,1.0,0.009598222426608828
48,241823.5,0.35632715511090196,1.0,0.45762417245012155
49,221940.5,0.0019428633441633428,1.0,0.0053857591595706
50,237980.5,0.17925551912488957,1.0,0.2607353005452939
51,235771.5,0.11299960030724064,1.0,0.17461507653110828
52,236828.5,0.1417916524397785,1.0,0.21227288318469764
53,219389.5,0.0007299671446065394,0.5606147670578223,0.002297601504335337
54,229648.5,0.024127502799485993,1.0,0.047935491501984215
55,242963.5,0.42510328550457543,1.0,0.5291399080510761
56,244924.5,0.5599317823364548,1.0,0.6507859329851577
57,209424.5,7.863627530741e-06,0.006039265943609088,4.10834417932591e-05
58,234660.5,0.0879212581763407,1.0,0.14155875530278753
59,225318.5,0.006351405046544362,1.0,0.015195884971171558
60,229922.5,0.026074519930930174,1.0,0.05095478704059637
61,242400.5,0.39021566199824276,1.0,0.4937160270422577
62,208748.5,5.549605034502731e-06,0.004262096666498097,2.980487179369299e-05
63,245586.5,0.6097161856521933,1.0,0.6926953115101842
64,222162.5,0.002108348598519972,1.0,0.005741885544905456
65,235385.5,0.10371455534606126,1.0,0.1632229067741292
66,231532.5,0.0404752811144547,1.0,0.07348703521489647
67,246207.5,0.6581257094546216,1.0,0.7389481650016804
68,247820.5,0.7902859749571419,1.0,0.8429717066209513
69,195461.5,2.0063856684986578e-09,1.540904193406969e-06,2.9632772950134024e-08
70,238386.5,0.194078140449096,1.0,0.2775642679048524
71,233111.5,0.060651984565551265,1.0,0.1056252248216403
72,230314.5,0.029095456575590237,1.0,0.055723966708362355
73,225740.5,0.007299281438701042,1.0,0.016987418620976972
74,197209.5,6.400257716837521e-09,4.915397926531216e-06,7.680309260205026e-08
75,222237.5,0.0021671137568918222,1.0,0.005860363962299012
76,231987.5,0.0456018720291952,1.0,0.08221182563009839
77,233953.5,0.07444698142852038,1.0,0.12423209125211813
78,210923.5,1.671523876670407e-05,0.012837303372828724,8.023314608017953e-05
79,195686.5,2.3341586337614963e-09,1.7926338307288292e-06,3.296732109471986e-08
80,246496.5,0.6811695477890578,1.0,0.7559800761589544
81,218730.5,0.0005601610038474878,0.43020365095487056,0.00182289682607996
82,236049.5,0.12008354756981143,1.0,0.18408016872977082
83,247593.5,0.7712140162886908,1.0,0.829541126764306
84,222731.5,0.002593229347985291,1.0,0.006915278261294109
85,213530.5,5.8343992055415586e-05,0.04480818589855917,0.00024220641026248202
86,233594.5,0.06828013270370742,1.0,0.11731351659160469
87,205231.5,8.314364448537129e-07,0.0006385431896476515,5.650824687147359e-06
88,242021.5,0.3677411296130515,1.0,0.4699254368433004
89,229530.5,0.023328633243779155,1.0,0.04665726648755831
90,244779.5,0.5492963203750875,1.0,0.6440604183939956
91,185583.5,1.456597295600666e-12,1.1186667230213116e-09,6.214815127896175e-11
92,241666.5,0.3474372259292474,1.0,0.4484567890985916
93,223543.5,0.003462739860897752,1.0,0.008954155599897217
94,234425.5,0.08323970304025359,1.0,0.13544087274346345
95,248593.5,0.8561127020191703,1.0,0.8958971922908606
96,229307.5,0.021881444501714423,1.0,0.044283701106720204
97,244390.5,0.5212655344043875,1.0,0.6177961889237186
98,219466.5,0.0007526629242280847,0.578045125807169,0.002340263667235502
99,241263.5,0.32527029409932884,1.0,0.42922265613107313
100,208860.5,5.881628930345131e-06,0.00451709101850506,3.1368687628507366e-05
101,200002.5,3.793182420082507e-08,2.913164098623365e-05,3.641455123279206e-07
102,233174.5,0.061605028080843595,1.0,0.10690621545674073
103,237811.5,0.17333994689419463,1.0,0.25357157945665043
104,248667.5,0.8624749718010327,1.0,0.8975349300043267
105,240169.5,0.2698373122230934,1.0,0.36743804217612713
106,204579.5,5.756579454504593e-07,0.0004421053021059527,3.982930649603177e-06
107,242975.5,0.4258661950077014,1.0,0.5292317763202503
108,238198.5,0.1871062752030408,1.0,0.2701083070600288
109,210016.5,1.062427016779747e-05,0.008159439488868457,5.387055138695325e-05
110,232393.5,0.0506281617434098,1.0,0.0895908484307344
111,220094.5,0.0009637588650800416,0.7401668083814719,0.0029139595745931095
112,219718.5,0.0008316028185586202,0.6386709646530203,0.0025546838586120815
113,213621.5,6.086054502391659e-05,0.04674089857836794,0.00024995132929608524
114,234148.5,0.07798294391589788,1.0,0.12879763640303135
115,186120.5,2.222195808541516e-12,1.706646380959884e-09,8.126887528380401e-11
116,219419.5,0.0007387329883353444,0.5673469350415445,0.002309041730103597
117,222160.5,0.002106801724775364,1.0,0.005741885544905456
118,220056.5,0.0009495686437719213,0.7292687184168356,0.002882485053030971
119,215469.5,0.00014057044409968708,0.10795810106855969,0.0005371049804405954
120,204167.5,4.5516516212629303e-07,0.00034956684451299306,3.289495400232522e-06
121,240636.5,0.292653551006433,1.0,0.3915643330539033
122,203957.5,4.0350799443273534e-07,0.0003098941397243407,2.9513727592794355e-06
123,228372.5,0.016630927789999844,1.0,0.03508943006241726
124,233724.5,0.07046289631174342,1.0,0.11999003185680475
125,201537.5,9.703281276425005e-08,7.452120020294404e-05,8.560712297043738e-07
126,215646.5,0.00015199474542138734,0.11673196448362548,0.0005750343078011108
127,249292.5,0.9165262603443873,1.0,0.9347837555703712
128,245063.5,0.5702199872583055,1.0,0.6585397747584641
129,214178.5,7.864946075286059e-05,0.06040278585819693,0.0003129678023740774
130,194660.5,1.1651406920597303e-09,8.948280515018728e-07,1.8274277653492263e-08
131,242532.5,0.3982352087297204,1.0,0.5022079479547213
132,244295.5,0.5145335671218298,1.0,0.6107600920395136
133,246828.5,0.7080129184599356,1.0,0.7801347508999004
134,242708.5,0.4090810530120408,1.0,0.5108524369321095
135,229722.5,0.02464050018092139,1.0,0.04852283112550674
136,234212.5,0.07917284212068304,1.0,0.1302028752648492
137,245121.5,0.5745393921888217,1.0,0.6625319117132358
138,202155.5,1.405355585009469e-07,0.00010793130892872721,1.198843842650813e-06
139,218086.5,0.00043041107609777273,0.33055570644308946,0.0014309770841692184
140,199777.5,3.297694664544781e-08,2.5326295023703917e-05,3.246960900474861e-07
141,249665.5,0.948985464378915,1.0,0.9602382564466492
142,249374.5,0.9236520427014934,1.0,0.9383131862364377
143,241521.5,0.3393532568277319,1.0,0.4442302547929579
144,227693.5,0.013545634199988712,1.0,0.029140187858799245
145,228796.5,0.01885654341046474,1.0,0.038929638008701396
146,211537.5,2.2595282906716787e-05,0.017353177272358494,0.00010148056884420171
147,186714.5,3.5316734392375543e-12,2.7123252013344417e-09,1.0849300805337766e-10
148,238837.5,0.21157679065147572,1.0,0.2949019513980642
149,195703.5,2.3609409638145732e-09,1.8132026602095921e-06,3.296732109471986e-08
150,240235.5,0.2729856781181089,1.0,0.36975837882664486
151,228650.5,0.018062400259585196,1.0,0.03759328834515293
152,207009.5,2.2099052117627123e-06,0.0016972072026337631,1.3259431270576274e-05
153,213549.5,5.886114458056085e-05,0.045205359037870735,0.00024303956471973513
154,237265.5,0.15522475563490068,1.0,0.23014017823861724
155,227036.5,0.011053306773382378,1.0,0.024393504603326628
156,199400.5,2.6047959344433034e-08,2.000483277652457e-05,2.632214839016391e-07
157,232700.5,0.05473005484671178,1.0,0.0957464285245436
158,232356.5,0.050151653619608993,1.0,0.08895258655856744
159,185531.5,1.397969482910305e-12,1.0736405628751142e-09,6.214815127896175e-11
160,201290.5,8.357649072233969e-08,6.418674487475688e-05,7.463574985436847e-07
161,245728.5,0.6206460443609668,1.0,0.7019972931800037
162,238525.5,0.19935417079285456,1.0,0.28247971064374966
163,211157.5,1.8759581686998195e-05,0.014407358735614613,8.792043714445826e-05
164,215877.5,0.00016822218350429695,0.12919463693130007,0.0006181561575660289
165,245384.5,0.5943173834539062,1.0,0.6822656958035873
166,238682.5,0.2054385865390489,1.0,0.28791393149998096
167,232540.5,0.05255894566640896,1.0,0.09236903952357456
168,246914.5,0.7150275407476471,1.0,0.7833682614753109
169,219588.5,0.0007899679326910391,0.6066953723067181,0.0024463523076883793
170,225896.5,0.007680620784823683,1.0,0.01771386415238615
171,247952.5,0.80143512249501,1.0,0.8524960859780717
172,232826.5,0.056491997591612365,1.0,0.09860421397808704
173,241411.5,0.3333017400062923,1.0,0.4383146169945762
174,241657.5,0.3469319244760418,1.0,0.4484567890985916
175,235007.5,0.09521988494290384,1.0,0.15235181590864616
176,225465.5,0.0066682198554833495,1.0,0.01575751645849604
177,241030.5,0.31288350917175256,1.0,0.41573448969533905
178,242014.5,0.36733376259583705,1.0,0.4699254368433004
179,211171.5,1.8889156417754703e-05,0.014506872128835613,8.792043714445826e-05
180,233960.5,0.07457160685836778,1.0,0.12423209125211813
181,246442.5,0.6768402995080034,1.0,0.7522624457628749
182,243524.5,0.4616148254024933,1.0,0.5690532679119019
183,221956.5,0.001954379143553241,1.0,0.0053857591595706
184,232026.5,0.046065693436990816,1.0,0.08268136973976543
185,248862.5,0.879282138972813,1.0,0.9064277620551952
