dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
0,217295.0,0.00037378043292067434,0.2870633724830779,0.0004471392094751992
1,20791.0,4.969640514965863e-139,3.8166839154937826e-136,1.0904811187125095e-137
2,26275.0,1.519929495935903e-132,1.1673058528787735e-129,2.714664774136682e-131
3,31143.0,6.419961349967305e-127,4.93053031677489e-124,9.481789070720943e-126
4,9490.0,6.874762603432061e-153,5.279817679435823e-150,7.542596684908318e-151
5,58085.0,5.136384089987416e-98,3.944742981110336e-95,3.343002526364691e-97
6,70644.0,7.797585885120386e-86,5.988545959772456e-83,4.217285887163701e-85
7,208385.0,5.768262442126187e-06,0.004430025555552912,7.1915999278456355e-06
8,110220.0,8.102875166667343e-53,6.22300812800052e-50,2.430862550000203e-52
9,51523.0,1.045461918803701e-104,8.029147536412423e-102,8.029147536412423e-104
10,96936.0,5.429480086608164e-63,4.1698407065150697e-60,1.9304818085717916e-62
11,219370.0,0.0008670247913238825,0.6658750397367418,0.0010260016020596945
12,182542.0,1.7347438080971254e-13,1.3322832446185925e-10,2.591990748285199e-13
13,214658.0,0.0001195624008994468,0.09182392389077514,0.0001446046045524018
14,135532.0,5.705827426220325e-36,4.382075463337209e-33,1.230920073971126e-35
15,186491.0,4.065714930987897e-12,3.1224690669987047e-09,5.803845849439971e-12
16,36758.0,1.3904869449822155e-120,1.0678939737463416e-117,1.6950697995973675e-119
17,131169.0,1.2290639748114738e-38,9.439211326552119e-36,2.809289085283369e-38
18,184384.0,7.729879019809152e-13,5.936547087213429e-10,1.1350950453562961e-12
19,164253.0,7.066174134939586e-21,5.426821735633602e-18,1.2167761739088795e-20
20,201319.0,1.1002727348505683e-07,8.450094603652364e-05,1.444460616008951e-07
21,217268.0,0.00036959164951906663,0.28384638683064317,0.00044281807617885054
22,242200.0,0.4078506669570964,1.0,0.423282854355473
23,144639.0,1.0105849134396961e-30,7.761292135216866e-28,2.0478343364688304e-30
24,14744.0,2.3084923132833123e-146,1.7729220966015839e-143,9.33116892948202e-145
25,154828.0,2.328240399952568e-25,1.788088627163572e-22,4.287982319337104e-25
26,185984.0,2.7398857050876356e-12,2.104232221507304e-09,3.9405097781035655e-12
27,52421.0,8.876761627269797e-104,6.817352929743204e-101,6.555147047830004e-103
28,93897.0,1.8979416500622066e-65,1.4576191872477746e-62,7.110337498769633e-65
29,182768.0,2.088296527384136e-13,1.6038117330310166e-10,3.1081622733159235e-13
30,232922.0,0.06506680760623103,1.0,0.072004766918711
