dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
0,47397.0,3.087994664679221e-109,2.3715799024736417e-106,4.474679061271022e-108
1,236008.0,0.11900494983774898,1.0,0.12945580945522836
2,105869.0,2.9062905407945408e-56,2.232031135330207e-53,1.1330107285940138e-55
3,202332.0,1.5609572541575636e-07,0.00011988151711930088,2.1796639476236524e-07
4,176027.0,4.487319523338664e-16,3.446261393924094e-13,7.658358653164653e-16
5,149396.0,2.457898017189379e-28,1.887665677201443e-25,5.4243266586248365e-28
6,215262.0,0.00012821036331951818,0.09846555902938997,0.00016356405154383715
7,130122.0,1.712996955546992e-39,1.31558166186009e-36,4.732308136187373e-39
8,89606.0,3.239333022825077e-69,2.487807761529659e-66,1.5745618743858603e-68
9,107109.0,2.4813639737045798e-55,1.9056875318051173e-52,9.434096692104541e-55
10,125763.0,2.7806030585054802e-42,2.1355031489322087e-39,8.542012595728836e-42
11,133090.0,1.1937470274075682e-37,9.167977170490124e-35,3.1613714381000426e-37
12,157423.0,2.958177157671149e-24,2.2718800570914422e-21,6.0102647013001125e-24
13,231999.0,0.04573849510592668,1.0,0.05150610592573562
14,237655.0,0.1679936893562689,1.0,0.17969241424180293
15,132081.0,2.8538245440261875e-38,2.191737249812112e-35,7.663416957385008e-38
16,46136.0,1.4182666754941126e-110,1.0892288067794784e-107,2.2229159322030176e-109
17,172209.0,1.3128417497209674e-17,1.008262463785703e-14,2.3125285866644564e-17
18,128886.0,2.836257877521424e-40,2.1782460499364536e-37,8.067577962727605e-40
19,83444.0,1.7551244346208841e-74,1.347935565788839e-71,9.838945735684956e-74
20,122761.0,2.922564698628305e-44,2.244529688546538e-41,9.198892166174337e-44
21,103370.0,3.648789305188162e-58,2.8022701863845087e-55,1.482682638298682e-57
22,205570.0,1.0043668790274764e-06,0.0007713537630931018,1.3604122805874813e-06
23,204707.0,6.188270013261617e-07,0.00047525913701849216,8.486770303901647e-07
24,171756.0,8.53618788605373e-18,6.555792296489264e-15,1.5140397913370125e-17
25,183198.0,2.1411437877924856e-13,1.644398429024629e-10,3.4329821065232336e-13
26,28500.0,3.754133728829954e-130,2.883174703741405e-127,1.1089133475928481e-128
27,16582.0,2.690227767691926e-144,2.0660949255873992e-141,2.066094925587399e-142
28,23664.5,8.40475110300846e-136,6.454848847110497e-133,3.796969910064998e-134
29,183878.0,3.723771359342405e-13,2.859856403974967e-10,5.933312041441841e-13
30,45360.0,2.110176136765976e-111,1.6206152730362697e-108,3.376281818825562e-110
31,188078.0,1.0070055013648354e-11,7.733802250481936e-09,1.5592343246939385e-11
32,184922.0,8.617246605099239e-13,6.618045392716216e-10,1.3617377351267933e-12
33,53961.0,2.0926689882792168e-102,1.6071697829984386e-99,2.3987608701469234e-101
34,148975.0,1.4701925889802033e-28,1.129107908336796e-25,3.26331765415259e-28
35,164732.0,7.898009910131585e-21,6.0656716109810575e-18,1.4940077859559252e-20
36,156182.0,7.276029058501326e-25,5.587990316929019e-22,1.4941150580024114e-24
37,221799.0,0.0018437233256929086,1.0,0.0022440245865802755
38,29403.0,4.13189857097533e-129,3.173298102509053e-126,1.1752955935218715e-127
39,175548.0,2.9084900073651073e-16,2.2337203256564025e-13,4.985982869768755e-16
40,173591.0,4.8087875477651275e-17,3.693148836683618e-14,8.39352008337186e-17
41,242171.0,0.37650898025634794,1.0,0.39341346508418396
42,86624.0,9.695856571997413e-72,7.446417847294014e-69,4.964278564862676e-71
43,121686.0,5.571508320338452e-45,4.278918390019931e-42,1.7681480950495583e-44
44,141777.0,1.6210166536368392e-32,1.2449407899930925e-29,3.842409845657693e-32
45,201450.0,9.204536169789517e-08,7.069083778398349e-05,1.2947039887176464e-07
46,236764.0,0.13988747115696107,1.0,0.15131489837823395
47,209336.0,7.515336189725745e-06,0.005771778193709372,9.832671539538965e-06
48,161660.0,3.0965579771045467e-22,2.378156526416292e-19,5.990318706338266e-22
49,126426.0,7.495125375239423e-42,5.756256288183877e-39,2.2573554071309322e-41
50,111166.0,2.4331760166695187e-52,1.8686791808021905e-49,8.89847228953424e-52
51,219617.0,0.0007989383420181885,0.6135846466699688,0.0009880590123509964
52,192183.0,2.0686713719430778e-10,1.5887396136522837e-07,3.1090794787715923e-10
53,237360.0,0.15825328278946793,1.0,0.16998394570952638
54,128640.0,1.9786020936979223e-40,1.5195664079600043e-37,5.648945754498157e-40
55,199407.0,2.6155496858432437e-08,2.0087421587276112e-05,3.726794357565142e-08
56,53109.0,2.79690029255568e-103,2.1480194246827622e-100,3.4095546423535905e-102
57,157798.0,4.503249439658936e-24,3.458495569658063e-21,9.101304130679112e-24
58,234093.0,0.07696326784473934,1.0,0.08468164714148971
59,162819.0,1.0648369396569449e-21,8.177947696565337e-19,2.0444869241413342e-21
60,172100.0,1.1839286598725567e-17,9.092572107821235e-15,2.0950626976546627e-17
61,202384.0,1.6098762567226472e-07,0.0001236384965162993,2.2438928587350147e-07
62,117028.0,3.613714217140307e-48,2.775332518763756e-45,1.2119355977134307e-47
63,136885.0,2.3294760895082768e-35,1.7890376367423565e-32,5.923965684577339e-35
64,160548.0,9.326589427113995e-23,7.162820680023547e-20,1.827250173475395e-22
65,134420.0,7.728017738836528e-37,5.935117623426454e-34,2.0256374141387214e-36
66,107879.0,9.311480830096424e-55,7.151217277514054e-52,3.522767131780322e-54
67,75712.0,2.2788588340179742e-81,1.7501635845258042e-78,1.4345603151850854e-80
68,137530.0,5.612044596238593e-35,4.3100502499112396e-32,1.3993669642568959e-34
69,136924.0,2.457020304540208e-35,1.8869915938868796e-32,6.227695029329635e-35
70,14948.0,2.710017527216495e-146,2.0812934609022685e-143,2.6016168261278356e-144
71,129385.0,5.875006003393293e-40,4.512004610606049e-37,1.6527489416139375e-39
72,181247.0,4.245765758723781e-14,3.2607481026998636e-11,6.96741047585441e-14
73,61647.0,1.0839501925746212e-94,8.32473747897309e-92,9.91040176068225e-94
74,78438.0,6.623164153319628e-79,5.0865900697494745e-76,3.943093077325174e-78
75,207657.0,3.1264494827777626e-06,0.0024011132027733214,4.147000350212991e-06
76,72408.0,2.0910394747670524e-84,1.6059183166210963e-81,1.4211666518770765e-83
77,160360.0,7.602983588867938e-23,5.839091396250576e-20,1.4933737586318608e-22
78,58378.0,6.186629382351731e-98,4.751331365646129e-95,6.091450468777089e-97
79,84832.0,2.803523479951197e-73,2.1531060326025193e-70,1.505668554267496e-72
80,90479.0,1.7402276850081065e-68,1.3364948620862258e-65,8.353092888038911e-68
81,91452.5,1.1224049005819595e-67,8.620069636469449e-65,5.3540805195462414e-67
82,247994.0,0.8049490708519889,1.0,0.8166458208907892
83,162759.0,9.992725614662183e-22,7.6744132720605565e-19,1.9234118476342247e-21
84,119768.0,2.7981296345668596e-46,2.148963559347348e-43,9.223019568014369e-46
85,233576.0,0.06797441388243117,1.0,0.07522240614078837
86,126433.0,7.573794013650743e-42,5.816673802483771e-39,2.272138204095223e-41
87,83806.0,3.623476779731389e-74,2.7828301668337065e-71,2.0165435991548598e-73
88,129735.0,9.773878025509301e-40,7.506338323591144e-37,2.729577572214961e-39
89,168417.0,3.317066494827811e-19,2.5475070680277586e-16,6.079969136104436e-19
90,48283.0,2.6593862460617956e-108,2.042408636975459e-105,3.6471582803133194e-107
91,179631.0,1.0743961646238459e-14,8.251362544311137e-12,1.7860092087253543e-14
92,126262.0,5.867693429207674e-42,4.5063885536314933e-39,1.7811812464946615e-41
93,89454.0,2.415034677958808e-69,1.8547466326723646e-66,1.1889401491489518e-68
94,133869.0,3.573781623028312e-37,2.7446642864857437e-34,9.399535227690903e-37
